"site_group","Type","swab_type2","Genus","detection_prevalence"
"Antecubital","Type 1","Copan","Corynebacteriaceae_f",0.8
"Antecubital","Type 1","Copan","Corynebacterium",1
"Antecubital","Type 1","Copan","Cutibacterium",1
"Antecubital","Type 1","Copan","Dietzia",0.4
"Antecubital","Type 1","Copan","Gordonia",0.4
"Antecubital","Type 1","Copan","Neisseriaceae_f",0.4
"Antecubital","Type 1","Copan","Rothia",1
"Antecubital","Type 1","Copan","Staphylococcus",1
"Antecubital","Type 1","Copan","Streptococcus",1
"Antecubital","Type 1","Copan","Williamsia",0.6
"Antecubital","Type 2","Eswab","Corynebacteriaceae_f",1
"Antecubital","Type 2","Eswab","Corynebacterium",1
"Antecubital","Type 2","Eswab","Cutibacterium",1
"Antecubital","Type 2","Eswab","Dietzia",0.6
"Antecubital","Type 2","Eswab","Gordonia",0.6
"Antecubital","Type 2","Eswab","Neisseriaceae_f",0.2
"Antecubital","Type 2","Eswab","Rothia",1
"Antecubital","Type 2","Eswab","Staphylococcus",1
"Antecubital","Type 2","Eswab","Streptococcus",1
"Antecubital","Type 2","Eswab","Williamsia",0.8
"Antecubital","Type 3","Omni","Corynebacteriaceae_f",1
"Antecubital","Type 3","Omni","Corynebacterium",1
"Antecubital","Type 3","Omni","Cutibacterium",1
"Antecubital","Type 3","Omni","Dietzia",0.2
"Antecubital","Type 3","Omni","Gordonia",0.6
"Antecubital","Type 3","Omni","Neisseriaceae_f",0.2
"Antecubital","Type 3","Omni","Rothia",0.8
"Antecubital","Type 3","Omni","Staphylococcus",1
"Antecubital","Type 3","Omni","Streptococcus",1
"Antecubital","Type 3","Omni","Williamsia",0.8
"Antecubital","Type 4","Puritan_buffer","Corynebacteriaceae_f",1
"Antecubital","Type 4","Puritan_buffer","Corynebacterium",1
"Antecubital","Type 4","Puritan_buffer","Cutibacterium",1
"Antecubital","Type 4","Puritan_buffer","Dietzia",0.4
"Antecubital","Type 4","Puritan_buffer","Gordonia",0.2
"Antecubital","Type 4","Puritan_buffer","Neisseriaceae_f",0
"Antecubital","Type 4","Puritan_buffer","Rothia",1
"Antecubital","Type 4","Puritan_buffer","Staphylococcus",1
"Antecubital","Type 4","Puritan_buffer","Streptococcus",1
"Antecubital","Type 4","Puritan_buffer","Williamsia",0.8
"Antecubital","Type 5","Puritan_gel","Corynebacteriaceae_f",0.8
"Antecubital","Type 5","Puritan_gel","Corynebacterium",1
"Antecubital","Type 5","Puritan_gel","Cutibacterium",1
"Antecubital","Type 5","Puritan_gel","Dietzia",0.2
"Antecubital","Type 5","Puritan_gel","Gordonia",0.2
"Antecubital","Type 5","Puritan_gel","Neisseriaceae_f",0
"Antecubital","Type 5","Puritan_gel","Rothia",0.6
"Antecubital","Type 5","Puritan_gel","Staphylococcus",1
"Antecubital","Type 5","Puritan_gel","Streptococcus",0.8
"Antecubital","Type 5","Puritan_gel","Williamsia",0.8
"Forehead","Type 1","Copan","Corynebacteriaceae_f",1
"Forehead","Type 1","Copan","Corynebacterium",1
"Forehead","Type 1","Copan","Cutibacterium",1
"Forehead","Type 1","Copan","Dietzia",0.4
"Forehead","Type 1","Copan","Gordonia",0.4
