"sample_name","total_reads","observed_ASV","subject_id","site_group","swab_type2","Type","union_ASV","recovery_rate"
"001AcCUSw",17606,110,"S001","Antecubital","Eswab","Type 2",250,0.44
"001AcLUSw_3",17993,112,"S001","Antecubital","Puritan_buffer","Type 4",250,0.448
"001AcLUSw_4",19654,110,"S001","Antecubital","Omni","Type 3",250,0.44
"001AcRUSw_1",22970,70,"S001","Antecubital","Copan","Type 1",250,0.28
"001AcRUSw_2",16405,90,"S001","Antecubital","Puritan_gel","Type 5",250,0.36
"001FhCUSw",21232,19,"S001","Forehead","Eswab","Type 2",72,0.263888888888889
"001FhLUSw_3",24445,38,"S001","Forehead","Puritan_buffer","Type 4",72,0.527777777777778
"001FhLUSw_4",15076,24,"S001","Forehead","Omni","Type 3",72,0.333333333333333
"001FhRUSw_1",31707,33,"S001","Forehead","Copan","Type 1",72,0.458333333333333
"001FhRUSw_2",26960,33,"S001","Forehead","Puritan_gel","Type 5",72,0.458333333333333
"002AcCUSw",7977,54,"S002","Antecubital","Eswab","Type 2",337,0.160237388724036
"002AcLUSw_3",22663,139,"S002","Antecubital","Puritan_buffer","Type 4",337,0.412462908011869
"002AcLUSw_4",6423,90,"S002","Antecubital","Omni","Type 3",337,0.267062314540059
"002AcRUSw_1",22337,103,"S002","Antecubital","Copan","Type 1",337,0.305637982195846
"002AcRUSw_2",19939,123,"S002","Antecubital","Puritan_gel","Type 5",337,0.364985163204748
"002FhCUSw",18360,9,"S002","Forehead","Eswab","Type 2",54,0.166666666666667
"002FhLUSw_3",19696,18,"S002","Forehead","Puritan_buffer","Type 4",54,0.333333333333333
"002FhLUSw_4",20113,13,"S002","Forehead","Omni","Type 3",54,0.240740740740741
"002FhRUSw_1",12325,28,"S002","Forehead","Copan","Type 1",54,0.518518518518518
"002FhRUSw_2",25903,28,"S002","Forehead","Puritan_gel","Type 5",54,0.518518518518518
"003AcCUSw",12205,124,"S003","Antecubital","Eswab","Type 2",297,0.417508417508417
"003AcLUSw_3",5876,25,"S003","Antecubital","Puritan_buffer","Type 4",297,0.0841750841750842
"003AcLUSw_4",16910,136,"S003","Antecubital","Omni","Type 3",297,0.457912457912458
"003AcRUSw_1",14708,159,"S003","Antecubital","Copan","Type 1",297,0.535353535353535
"003AcRUSw_2",7525,15,"S003","Antecubital","Puritan_gel","Type 5",297,0.0505050505050505
"003FhCUSw",6251,29,"S003","Forehead","Eswab","Type 2",59,0.491525423728814
"003FhLUSw_3",12344,8,"S003","Forehead","Puritan_buffer","Type 4",59,0.135593220338983
"003FhLUSw_4",10540,28,"S003","Forehead","Omni","Type 3",59,0.474576271186441
"003FhRUSw_1",7479,16,"S003","Forehead","Copan","Type 1",59,0.271186440677966
"003FhRUSw_2",9047,6,"S003","Forehead","Puritan_gel","Type 5",59,0.101694915254237
"004AcCUSw",17051,153,"S004","Antecubital","Eswab","Type 2",667,0.229385307346327
"004AcLUSw_3",22236,258,"S004","Antecubital","Puritan_buffer","Type 4",667,0.386806596701649
"004AcLUSw_4",20965,285,"S004","Antecubital","Omni","Type 3",667,0.427286356821589
"004AcRUSw_1",18880,224,"S004","Antecubital","Copan","Type 1",667,0.335832083958021
"004AcRUSw_2",17221,212,"S004","Antecubital","Puritan_gel","Type 5",667,0.31784107946027
"004FhCUSw",21625,88,"S004","Forehead","Eswab","Type 2",458,0.192139737991266
"004FhLUSw_3",10531,149,"S004","Forehead","Puritan_buffer","Type 4",458,0.325327510917031
"004FhLUSw_4",25735,146,"S004","Forehead","Omni","Type 3",458,0.318777292576419
"004FhRUSw_1",13227,163,"S004","Forehead","Copan","Type 1",458,0.35589519650655
"004FhRUSw_2",14460,164,"S004","Forehead","Puritan_gel","Type 5",458,0.358078602620087
"005AcCUSw",15867,37,"S005","Antecubital","Eswab","Type 2",134,0.276119402985075
"005AcLUSw_3",12305,54,"S005","Antecubital","Puritan_buffer","Type 4",134,0.402985074626866
"005AcLUSw_4",12616,58,"S005","Antecubital","Omni","Type 3",134,0.432835820895522
"005AcRUSw_1",17736,37,"S005","Antecubital","Copan","Type 1",134,0.276119402985075
"005AcRUSw_2",18014,25,"S005","Antecubital","Puritan_gel","Type 5",134,0.186567164179104
"005FhCUSw",20935,101,"S005","Forehead","Eswab","Type 2",289,0.349480968858132
"005FhLUSw_3",26325,98,"S005","Forehead","Puritan_buffer","Type 4",289,0.339100346020761
"005FhLUSw_4",11770,29,"S005","Forehead","Omni","Type 3",289,0.100346020761246
"005FhRUSw_1",21479,74,"S005","Forehead","Copan","Type 1",289,0.256055363321799
"005FhRUSw_2",15502,95,"S005","Forehead","Puritan_gel","Type 5",289,0.328719723183391
