"swab_pair","n","median_spearman_rho","IQR_spearman_rho"
"Copan - Eswab",10,0.751405149414761,0.153835646493607
"Copan - Omni",10,0.873408229517941,0.0726171878951039
"Copan - Puritan_buffer",10,0.841620797596077,0.150224022767149
"Copan - Puritan_gel",10,0.882655059915955,0.13227645958809
"Eswab - Omni",10,0.805363663430592,0.251523862876794
"Eswab - Puritan_buffer",10,0.745693039018291,0.181053241619347
"Eswab - Puritan_gel",10,0.756903731431341,0.119978397251775
"Omni - Puritan_buffer",10,0.861315993639601,0.10836216155552
"Omni - Puritan_gel",10,0.856852839217613,0.163414432334123
"Puritan_buffer - Puritan_gel",10,0.870453863262871,0.140724882437587
