"distance_method","swab_pair","n","median","IQR"
"Bray-Curtis","Copan - Eswab",10,0.491235534377127,0.233917631041525
"Bray-Curtis","Copan - Omni",10,0.409462219196732,0.391252552756978
"Bray-Curtis","Copan - Puritan_buffer",10,0.356279782164738,0.391465282505106
"Bray-Curtis","Copan - Puritan_gel",10,0.288631722260041,0.362619128658952
"Bray-Curtis","Eswab - Omni",10,0.523230088495575,0.239448604492852
"Bray-Curtis","Eswab - Puritan_buffer",10,0.438053097345133,0.309223961878829
"Bray-Curtis","Eswab - Puritan_gel",10,0.496170864533696,0.159036759700477
"Bray-Curtis","Omni - Puritan_buffer",10,0.290673927842069,0.30641592920354
"Bray-Curtis","Omni - Puritan_gel",10,0.492597004765146,0.377382573179033
"Bray-Curtis","Puritan_buffer - Puritan_gel",10,0.297311095983662,0.351982641252553
"Jaccard","Copan - Eswab",10,0.773335190860964,0.0879098475863116
"Jaccard","Copan - Omni",10,0.792218350754936,0.120516852045387
"Jaccard","Copan - Puritan_buffer",10,0.775549012391118,0.12767358339984
"Jaccard","Copan - Puritan_gel",10,0.761161202783735,0.129125621540482
"Jaccard","Eswab - Omni",10,0.804080887025035,0.109825359736537
"Jaccard","Eswab - Puritan_buffer",10,0.822944518716577,0.0657570962607699
"Jaccard","Eswab - Puritan_gel",10,0.815293402249924,0.0964045890588541
"Jaccard","Omni - Puritan_buffer",10,0.727941176470588,0.12105657222651
"Jaccard","Omni - Puritan_gel",10,0.799903483372817,0.0911848072562358
"Jaccard","Puritan_buffer - Puritan_gel",10,0.770833333333333,0.0590725501630707
