"Genus","swab_type2","detection_prevalence","n_detected","n_samples"
"Corynebacteriaceae_f","Copan",0.9,9,10
"Corynebacteriaceae_f","Eswab",1,10,10
"Corynebacteriaceae_f","Omni",0.9,9,10
"Corynebacteriaceae_f","Puritan_buffer",1,10,10
"Corynebacteriaceae_f","Puritan_gel",0.9,9,10
"Corynebacterium","Copan",1,10,10
"Corynebacterium","Eswab",0.9,9,10
"Corynebacterium","Omni",1,10,10
"Corynebacterium","Puritan_buffer",0.9,9,10
"Corynebacterium","Puritan_gel",1,10,10
"Cutibacterium","Copan",1,10,10
"Cutibacterium","Eswab",1,10,10
"Cutibacterium","Omni",1,10,10
"Cutibacterium","Puritan_buffer",1,10,10
"Cutibacterium","Puritan_gel",1,10,10
"Dietzia","Copan",0.4,4,10
"Dietzia","Eswab",0.5,5,10
"Dietzia","Omni",0.3,3,10
"Dietzia","Puritan_buffer",0.4,4,10
"Dietzia","Puritan_gel",0.3,3,10
"Gordonia","Copan",0.4,4,10
"Gordonia","Eswab",0.5,5,10
"Gordonia","Omni",0.4,4,10
"Gordonia","Puritan_buffer",0.2,2,10
"Gordonia","Puritan_gel",0.2,2,10
"Neisseriaceae_f","Copan",0.5,5,10
"Neisseriaceae_f","Eswab",0.2,2,10
"Neisseriaceae_f","Omni",0.2,2,10
"Neisseriaceae_f","Puritan_buffer",0.3,3,10
"Neisseriaceae_f","Puritan_gel",0.3,3,10
"Rothia","Copan",0.8,8,10
"Rothia","Eswab",0.7,7,10
"Rothia","Omni",0.6,6,10
"Rothia","Puritan_buffer",0.8,8,10
"Rothia","Puritan_gel",0.5,5,10
"Staphylococcus","Copan",1,10,10
"Staphylococcus","Eswab",1,10,10
"Staphylococcus","Omni",1,10,10
"Staphylococcus","Puritan_buffer",1,10,10
"Staphylococcus","Puritan_gel",1,10,10
"Streptococcus","Copan",0.9,9,10
"Streptococcus","Eswab",0.8,8,10
"Streptococcus","Omni",1,10,10
"Streptococcus","Puritan_buffer",0.9,9,10
"Streptococcus","Puritan_gel",0.8,8,10
"Williamsia","Copan",0.4,4,10
"Williamsia","Eswab",0.7,7,10
"Williamsia","Omni",0.6,6,10
"Williamsia","Puritan_buffer",0.5,5,10
"Williamsia","Puritan_gel",0.5,5,10
