"subject_id","site_group","swab_1","swab_2","spearman_rho","swab_pair"
"S001","Antecubital","Eswab","Puritan_buffer",0.870718159752349,"Eswab - Puritan_buffer"
"S001","Antecubital","Eswab","Omni",0.910279779280901,"Eswab - Omni"
"S001","Antecubital","Eswab","Copan",0.776051472853894,"Copan - Eswab"
"S001","Antecubital","Eswab","Puritan_gel",0.882508531777416,"Eswab - Puritan_gel"
"S001","Antecubital","Puritan_buffer","Omni",0.952006858989899,"Omni - Puritan_buffer"
"S001","Antecubital","Puritan_buffer","Copan",0.898718555503275,"Copan - Puritan_buffer"
"S001","Antecubital","Puritan_buffer","Puritan_gel",0.942341814736194,"Puritan_buffer - Puritan_gel"
"S001","Antecubital","Omni","Copan",0.936285426674794,"Copan - Omni"
"S001","Antecubital","Omni","Puritan_gel",0.990580847723705,"Omni - Puritan_gel"
"S001","Antecubital","Copan","Puritan_gel",0.949177480742605,"Copan - Puritan_gel"
"S002","Antecubital","Eswab","Puritan_buffer",0.818307080146986,"Eswab - Puritan_buffer"
"S002","Antecubital","Eswab","Omni",0.830817756673267,"Eswab - Omni"
"S002","Antecubital","Eswab","Copan",0.847933884297521,"Copan - Eswab"
"S002","Antecubital","Eswab","Puritan_gel",0.868699798471748,"Eswab - Puritan_gel"
"S002","Antecubital","Puritan_buffer","Omni",0.949817643137239,"Omni - Puritan_buffer"
"S002","Antecubital","Puritan_buffer","Copan",0.898849115594524,"Copan - Puritan_buffer"
"S002","Antecubital","Puritan_buffer","Puritan_gel",0.972770935406987,"Puritan_buffer - Puritan_gel"
"S002","Antecubital","Omni","Copan",0.869962054824219,"Copan - Omni"
"S002","Antecubital","Omni","Puritan_gel",0.943607640878333,"Omni - Puritan_gel"
"S002","Antecubital","Copan","Puritan_gel",0.903863359771433,"Copan - Puritan_gel"
"S003","Antecubital","Eswab","Puritan_buffer",0.632603939005852,"Eswab - Puritan_buffer"
"S003","Antecubital","Eswab","Omni",0.83980288946218,"Eswab - Omni"
"S003","Antecubital","Eswab","Copan",0.779519271898658,"Copan - Eswab"
"S003","Antecubital","Eswab","Puritan_gel",0.756288965508146,"Eswab - Puritan_gel"
"S003","Antecubital","Puritan_buffer","Omni",0.779482732550831,"Omni - Puritan_buffer"
"S003","Antecubital","Puritan_buffer","Copan",0.86893839817016,"Copan - Puritan_buffer"
