"subject_id","site_group","swab_1","swab_2","distance","swab_pair","distance_method"
"S001","Antecubital","Eswab","Puritan_buffer",0.29646017699115,"Eswab - Puritan_buffer","Bray-Curtis"
"S001","Antecubital","Eswab","Omni",0.341218515997277,"Eswab - Omni","Bray-Curtis"
"S001","Antecubital","Eswab","Copan",0.459155888359428,"Copan - Eswab","Bray-Curtis"
"S001","Antecubital","Eswab","Puritan_gel",0.493362831858407,"Eswab - Puritan_gel","Bray-Curtis"
"S001","Antecubital","Puritan_buffer","Omni",0.211708645336964,"Omni - Puritan_buffer","Bray-Curtis"
"S001","Antecubital","Puritan_buffer","Copan",0.370149761742682,"Copan - Puritan_buffer","Bray-Curtis"
"S001","Antecubital","Puritan_buffer","Puritan_gel",0.405377808032675,"Puritan_buffer - Puritan_gel","Bray-Curtis"
"S001","Antecubital","Omni","Copan",0.27212389380531,"Copan - Omni","Bray-Curtis"
"S001","Antecubital","Omni","Puritan_gel",0.442988427501702,"Omni - Puritan_gel","Bray-Curtis"
"S001","Antecubital","Copan","Puritan_gel",0.568413886997958,"Copan - Puritan_gel","Bray-Curtis"
"S002","Antecubital","Eswab","Puritan_buffer",0.498638529611981,"Eswab - Puritan_buffer","Bray-Curtis"
"S002","Antecubital","Eswab","Omni",0.572498298162015,"Eswab - Omni","Bray-Curtis"
"S002","Antecubital","Eswab","Copan",0.517699115044248,"Copan - Eswab","Bray-Curtis"
"S002","Antecubital","Eswab","Puritan_gel",0.49574540503744,"Eswab - Puritan_gel","Bray-Curtis"
"S002","Antecubital","Puritan_buffer","Omni",0.485194009530293,"Omni - Puritan_buffer","Bray-Curtis"
"S002","Antecubital","Puritan_buffer","Copan",0.278761061946903,"Copan - Puritan_buffer","Bray-Curtis"
"S002","Antecubital","Puritan_buffer","Puritan_gel",0.204901293396869,"Puritan_buffer - Puritan_gel","Bray-Curtis"
"S002","Antecubital","Omni","Copan",0.561946902654867,"Copan - Omni","Bray-Curtis"
"S002","Antecubital","Omni","Puritan_gel",0.542205582028591,"Omni - Puritan_gel","Bray-Curtis"
"S002","Antecubital","Copan","Puritan_gel",0.290673927842069,"Copan - Puritan_gel","Bray-Curtis"
"S003","Antecubital","Eswab","Puritan_buffer",0.59428182437032,"Eswab - Puritan_buffer","Bray-Curtis"
"S003","Antecubital","Eswab","Omni",0.527910142954391,"Eswab - Omni","Bray-Curtis"
"S003","Antecubital","Eswab","Copan",0.494383934649421,"Copan - Eswab","Bray-Curtis"
"S003","Antecubital","Eswab","Puritan_gel",0.524506466984343,"Eswab - Puritan_gel","Bray-Curtis"
"S003","Antecubital","Puritan_buffer","Omni",0.507658270932607,"Omni - Puritan_buffer","Bray-Curtis"
"S003","Antecubital","Puritan_buffer","Copan",0.573349217154527,"Copan - Puritan_buffer","Bray-Curtis"
"S003","Antecubital","Puritan_buffer","Puritan_gel",0.479748127978216,"Puritan_buffer - Puritan_gel","Bray-Curtis"
"S003","Antecubital","Omni","Copan",0.460517358747447,"Copan - Omni","Bray-Curtis"
"S003","Antecubital","Omni","Puritan_gel",0.613172226004084,"Omni - Puritan_gel","Bray-Curtis"
"S003","Antecubital","Copan","Puritan_gel",0.537780803267529,"Copan - Puritan_gel","Bray-Curtis"
"S004","Antecubital","Eswab","Puritan_buffer",0.655888359428182,"Eswab - Puritan_buffer","Bray-Curtis"
"S004","Antecubital","Eswab","Omni",0.557181756296801,"Eswab - Omni","Bray-Curtis"
"S004","Antecubital","Eswab","Copan",0.655377808032675,"Copan - Eswab","Bray-Curtis"
"S004","Antecubital","Eswab","Puritan_gel",0.680054458815521,"Eswab - Puritan_gel","Bray-Curtis"
"S004","Antecubital","Puritan_buffer","Omni",0.545949625595643,"Omni - Puritan_buffer","Bray-Curtis"
"S004","Antecubital","Puritan_buffer","Copan",0.669843430905378,"Copan - Puritan_buffer","Bray-Curtis"
"S004","Antecubital","Puritan_buffer","Puritan_gel",0.648230088495575,"Puritan_buffer - Puritan_gel","Bray-Curtis"
"S004","Antecubital","Omni","Copan",0.529611980939415,"Copan - Omni","Bray-Curtis"
"S004","Antecubital","Omni","Puritan_gel",0.619128658951668,"Omni - Puritan_gel","Bray-Curtis"
"S004","Antecubital","Copan","Puritan_gel",0.585942818243703,"Copan - Puritan_gel","Bray-Curtis"
"S005","Antecubital","Eswab","Puritan_buffer",0.31211708645337,"Eswab - Puritan_buffer","Bray-Curtis"
"S005","Antecubital","Eswab","Omni",0.51855003403676,"Eswab - Omni","Bray-Curtis"
"S005","Antecubital","Eswab","Copan",0.488087134104833,"Copan - Eswab","Bray-Curtis"
"S005","Antecubital","Eswab","Puritan_gel",0.496596324029952,"Eswab - Puritan_gel","Bray-Curtis"
"S005","Antecubital","Puritan_buffer","Omni",0.368447923757658,"Omni - Puritan_buffer","Bray-Curtis"
"S005","Antecubital","Puritan_buffer","Copan",0.680565010211028,"Copan - Puritan_buffer","Bray-Curtis"
"S005","Antecubital","Puritan_buffer","Puritan_gel",0.683458134785568,"Puritan_buffer - Puritan_gel","Bray-Curtis"
"S005","Antecubital","Omni","Copan",0.850578624914908,"Copan - Omni","Bray-Curtis"
"S005","Antecubital","Omni","Puritan_gel",0.853301565690946,"Omni - Puritan_gel","Bray-Curtis"
"S005","Antecubital","Copan","Puritan_gel",0.172736555479918,"Copan - Puritan_gel","Bray-Curtis"
"S001","Forehead","Eswab","Puritan_buffer",0.0869639210347175,"Eswab - Puritan_buffer","Bray-Curtis"
