"site_group","outcome","swab_1","swab_2","n_pair","median_difference","statistic","p_value","p_adjust_BH"
"Antecubital","total_reads","Copan","Eswab",5,2503,15,0.0590582290905367,0.528227146009385
"Antecubital","total_reads","Copan","Omni",5,3316,12,0.280712665268496,0.701781663171239
"Antecubital","total_reads","Copan","Puritan_buffer",5,4977,12,0.280712665268496,0.701781663171239
"Antecubital","total_reads","Copan","Puritan_gel",5,2398,14,0.105645429201877,0.528227146009385
"Antecubital","total_reads","Eswab","Omni",5,-2048,4,0.41849223344682,0.836984466893639
"Antecubital","total_reads","Eswab","Puritan_buffer",5,-387,6,0.787406490666269,1
"Antecubital","total_reads","Eswab","Puritan_gel",5,-170,6,0.787406490666269,1
"Antecubital","total_reads","Omni","Puritan_buffer",5,311,8,1,1
"Antecubital","total_reads","Omni","Puritan_gel",5,3249,7,1,1
"Antecubital","total_reads","Puritan_buffer","Puritan_gel",5,1588,8,1,1
"Forehead","total_reads","Copan","Eswab",5,544,8,1,1
"Forehead","total_reads","Copan","Omni",5,-3061,8,1,1
"Forehead","total_reads","Copan","Puritan_buffer",5,-4846,5,0.589638551626567,1
"Forehead","total_reads","Copan","Puritan_gel",5,-1233,7,1,1
"Forehead","total_reads","Eswab","Omni",5,-1753,9,0.787406490666269,1
"Forehead","total_reads","Eswab","Puritan_buffer",5,-3213,5,0.589638551626567,1
"Forehead","total_reads","Eswab","Puritan_gel",5,-2796,6,0.787406490666269,1
"Forehead","total_reads","Omni","Puritan_buffer",5,-1804,6,0.787406490666269,1
"Forehead","total_reads","Omni","Puritan_gel",5,-3732,5,0.589638551626567,1
"Forehead","total_reads","Puritan_buffer","Puritan_gel",5,-2515,7,1,1
"Antecubital","detected_taxa","Copan","Eswab",5,35,8,0.361310428526179,0.6974870557447
"Antecubital","detected_taxa","Copan","Omni",5,-21,4,0.41849223344682,0.6974870557447
"Antecubital","detected_taxa","Copan","Puritan_buffer",5,-34,5,0.589638551626567,0.737048189533209
"Antecubital","detected_taxa","Copan","Puritan_gel",5,12,8,1,1
"Antecubital","detected_taxa","Eswab","Omni",5,-21,0,0.100348246462291,0.501741232311454
"Antecubital","detected_taxa","Eswab","Puritan_buffer",5,-17,4,0.41849223344682,0.6974870557447
"Antecubital","detected_taxa","Eswab","Puritan_gel",5,12,8,1,1
"Antecubital","detected_taxa","Omni","Puritan_buffer",5,4,10,0.589638551626567,0.737048189533209
"Antecubital","detected_taxa","Omni","Puritan_gel",5,33,12.5,0.222800991181134,0.6974870557447
"Antecubital","detected_taxa","Puritan_buffer","Puritan_gel",5,22,15,0.0590582290905367,0.501741232311454
"Forehead","detected_taxa","Copan","Eswab",5,14,10,0.589638551626567,0.789268026134281
"Forehead","detected_taxa","Copan","Omni",5,15,13,0.177529852412153,0.789268026134281
"Forehead","detected_taxa","Copan","Puritan_buffer",5,8,9,0.787406490666269,0.789268026134281
"Forehead","detected_taxa","Copan","Puritan_gel",5,0,2,0.789268026134281,0.789268026134281
"Forehead","detected_taxa","Eswab","Omni",5,-4,6,0.787406490666269,0.789268026134281
"Forehead","detected_taxa","Eswab","Puritan_buffer",5,-9,5,0.589638551626567,0.789268026134281
"Forehead","detected_taxa","Eswab","Puritan_gel",5,-14,5,0.589638551626567,0.789268026134281
"Forehead","detected_taxa","Omni","Puritan_buffer",5,-5,4,0.41849223344682,0.789268026134281
"Forehead","detected_taxa","Omni","Puritan_gel",5,-15,4,0.41849223344682,0.789268026134281
"Forehead","detected_taxa","Puritan_buffer","Puritan_gel",5,2,6,0.787406490666269,0.789268026134281
"Antecubital","recovery_rate","Copan","Eswab",5,0.106446776611694,6,0.855132140584706,0.855132140584706
"Antecubital","recovery_rate","Copan","Omni",5,-0.0914542728635682,3,0.280712665268496,0.701781663171239
"Antecubital","recovery_rate","Copan","Puritan_buffer",5,-0.106824925816024,5,0.589638551626567,0.737048189533209
"Antecubital","recovery_rate","Copan","Puritan_gel",5,0.0179910044977512,10,0.589638551626567,0.737048189533209
"Antecubital","recovery_rate","Eswab","Omni",5,-0.106824925816024,0,0.100348246462291,0.501741232311454
"Antecubital","recovery_rate","Eswab","Puritan_buffer",5,-0.126865671641791,5,0.589638551626567,0.737048189533209
"Antecubital","recovery_rate","Eswab","Puritan_gel",5,0.08,9,0.787406490666269,0.855132140584706
"Antecubital","recovery_rate","Omni","Puritan_buffer",5,0.0298507462686567,10,0.589638551626567,0.737048189533209
"Antecubital","recovery_rate","Omni","Puritan_gel",5,0.109445277361319,13,0.177529852412153,0.591766174707178
"Antecubital","recovery_rate","Puritan_buffer","Puritan_gel",5,0.0689655172413793,15,0.0590582290905367,0.501741232311454
"Forehead","recovery_rate","Copan","Eswab",5,0.163755458515284,10,0.589638551626567,0.984258113332837
"Forehead","recovery_rate","Copan","Omni",5,0.125,11,0.41849223344682,0.984258113332837
"Forehead","recovery_rate","Copan","Puritan_buffer",5,0.0305676855895197,10,0.589638551626567,0.984258113332837
"Forehead","recovery_rate","Copan","Puritan_gel",5,0,3,1,1
