"site_group","swab_type2","n","median_recovery","IQR_recovery"
"Antecubital","Copan",5,0.305637982195846,0.055832083958021
"Antecubital","Eswab",5,0.276119402985075,0.188123110162091
"Antecubital","Omni",5,0.432835820895522,0.0127136431784108
"Antecubital","Puritan_buffer",5,0.402985074626866,0.0256563113102202
"Antecubital","Puritan_gel",5,0.31784107946027,0.173432835820895
"Forehead","Copan",5,0.35589519650655,0.187146892655367
"Forehead","Eswab",5,0.263888888888889,0.157341230866865
"Forehead","Omni",5,0.318777292576419,0.0925925925925926
"Forehead","Puritan_buffer",5,0.333333333333333,0.0137728351037307
"Forehead","Puritan_gel",5,0.358078602620087,0.129613610149942
