"subject_id","site_group","swab_type2","sample_id","total_reads","detected_taxa","union_taxa","recovery_rate"
"S001","Antecubital","Copan","001AcRUSw_1",22970,70,250,0.28
"S001","Antecubital","Eswab","001AcCUSw",17606,110,250,0.44
"S001","Antecubital","Omni","001AcLUSw_4",19654,110,250,0.44
"S001","Antecubital","Puritan_buffer","001AcLUSw_3",17993,112,250,0.448
"S001","Antecubital","Puritan_gel","001AcRUSw_2",16405,90,250,0.36
"S001","Forehead","Copan","001FhRUSw_1",31707,33,72,0.458333333333333
"S001","Forehead","Eswab","001FhCUSw",21232,19,72,0.263888888888889
"S001","Forehead","Omni","001FhLUSw_4",15076,24,72,0.333333333333333
"S001","Forehead","Puritan_buffer","001FhLUSw_3",24445,38,72,0.527777777777778
"S001","Forehead","Puritan_gel","001FhRUSw_2",26960,33,72,0.458333333333333
"S002","Antecubital","Copan","002AcRUSw_1",22337,103,337,0.305637982195846
"S002","Antecubital","Eswab","002AcCUSw",7977,54,337,0.160237388724036
"S002","Antecubital","Omni","002AcLUSw_4",6423,90,337,0.267062314540059
"S002","Antecubital","Puritan_buffer","002AcLUSw_3",22663,139,337,0.412462908011869
"S002","Antecubital","Puritan_gel","002AcRUSw_2",19939,123,337,0.364985163204748
"S002","Forehead","Copan","002FhRUSw_1",12325,28,54,0.518518518518518
"S002","Forehead","Eswab","002FhCUSw",18360,9,54,0.166666666666667
"S002","Forehead","Omni","002FhLUSw_4",20113,13,54,0.240740740740741
"S002","Forehead","Puritan_buffer","002FhLUSw_3",19696,18,54,0.333333333333333
"S002","Forehead","Puritan_gel","002FhRUSw_2",25903,28,54,0.518518518518518
"S003","Antecubital","Copan","003AcRUSw_1",14708,159,297,0.535353535353535
"S003","Antecubital","Eswab","003AcCUSw",12205,124,297,0.417508417508417
"S003","Antecubital","Omni","003AcLUSw_4",16910,136,297,0.457912457912458
"S003","Antecubital","Puritan_buffer","003AcLUSw_3",5876,25,297,0.0841750841750842
"S003","Antecubital","Puritan_gel","003AcRUSw_2",7525,15,297,0.0505050505050505
"S003","Forehead","Copan","003FhRUSw_1",7479,16,59,0.271186440677966
"S003","Forehead","Eswab","003FhCUSw",6251,29,59,0.491525423728814
"S003","Forehead","Omni","003FhLUSw_4",10540,28,59,0.474576271186441
"S003","Forehead","Puritan_buffer","003FhLUSw_3",12344,8,59,0.135593220338983
"S003","Forehead","Puritan_gel","003FhRUSw_2",9047,6,59,0.101694915254237
"S004","Antecubital","Copan","004AcRUSw_1",18880,224,667,0.335832083958021
"S004","Antecubital","Eswab","004AcCUSw",17051,153,667,0.229385307346327
"S004","Antecubital","Omni","004AcLUSw_4",20965,285,667,0.427286356821589
"S004","Antecubital","Puritan_buffer","004AcLUSw_3",22236,258,667,0.386806596701649
"S004","Antecubital","Puritan_gel","004AcRUSw_2",17221,212,667,0.31784107946027
"S004","Forehead","Copan","004FhRUSw_1",13227,163,458,0.35589519650655
"S004","Forehead","Eswab","004FhCUSw",21625,88,458,0.192139737991266
"S004","Forehead","Omni","004FhLUSw_4",25735,146,458,0.318777292576419
"S004","Forehead","Puritan_buffer","004FhLUSw_3",10531,149,458,0.325327510917031
"S004","Forehead","Puritan_gel","004FhRUSw_2",14460,164,458,0.358078602620087
"S005","Antecubital","Copan","005AcRUSw_1",17736,37,134,0.276119402985075
"S005","Antecubital","Eswab","005AcCUSw",15867,37,134,0.276119402985075
"S005","Antecubital","Omni","005AcLUSw_4",12616,58,134,0.432835820895522
"S005","Antecubital","Puritan_buffer","005AcLUSw_3",12305,54,134,0.402985074626866
"S005","Antecubital","Puritan_gel","005AcRUSw_2",18014,25,134,0.186567164179104
"S005","Forehead","Copan","005FhRUSw_1",21479,74,289,0.256055363321799
"S005","Forehead","Eswab","005FhCUSw",20935,101,289,0.349480968858132
"S005","Forehead","Omni","005FhLUSw_4",11770,29,289,0.100346020761246
"S005","Forehead","Puritan_buffer","005FhLUSw_3",26325,98,289,0.339100346020761
"S005","Forehead","Puritan_gel","005FhRUSw_2",15502,95,289,0.328719723183391
