"site_group","swab_type2","n","median_reads","IQR_reads","median_observed_ASV","IQR_observed_ASV","median_recovery","IQR_recovery"
"Antecubital","Copan",5,18880,4601,103,89,0.305637982195846,0.055832083958021
"Antecubital","Eswab",5,15867,4846,110,70,0.276119402985075,0.188123110162091
"Antecubital","Omni",5,16910,7038,110,46,0.432835820895522,0.0127136431784108
"Antecubital","Puritan_buffer",5,17993,9931,112,85,0.402985074626866,0.0256563113102202
"Antecubital","Puritan_gel",5,17221,1609,90,98,0.31784107946027,0.173432835820895
"Forehead","Copan",5,13227,9154,33,46,0.35589519650655,0.187146892655367
"Forehead","Eswab",5,20935,2872,29,69,0.263888888888889,0.157341230866865
"Forehead","Omni",5,15076,8343,28,5,0.318777292576419,0.0925925925925926
"Forehead","Puritan_buffer",5,19696,12101,38,80,0.333333333333333,0.0137728351037307
"Forehead","Puritan_gel",5,15502,11443,33,67,0.358078602620087,0.129613610149942
