"subject_id","site_group","swab_type2","sample_id","union_taxa","detected_taxa","recovery_rate"
"S001","Antecubital","Copan","001AcRUSw_1",250,70,0.28
"S001","Antecubital","Eswab","001AcCUSw",250,110,0.44
"S001","Antecubital","Omni","001AcLUSw_4",250,110,0.44
"S001","Antecubital","Puritan_buffer","001AcLUSw_3",250,112,0.448
"S001","Antecubital","Puritan_gel","001AcRUSw_2",250,90,0.36
"S001","Forehead","Copan","001FhRUSw_1",72,33,0.458333333333333
"S001","Forehead","Eswab","001FhCUSw",72,19,0.263888888888889
"S001","Forehead","Omni","001FhLUSw_4",72,24,0.333333333333333
"S001","Forehead","Puritan_buffer","001FhLUSw_3",72,38,0.527777777777778
"S001","Forehead","Puritan_gel","001FhRUSw_2",72,33,0.458333333333333
"S002","Antecubital","Copan","002AcRUSw_1",337,103,0.305637982195846
"S002","Antecubital","Eswab","002AcCUSw",337,54,0.160237388724036
"S002","Antecubital","Omni","002AcLUSw_4",337,90,0.267062314540059
"S002","Antecubital","Puritan_buffer","002AcLUSw_3",337,139,0.412462908011869
"S002","Antecubital","Puritan_gel","002AcRUSw_2",337,123,0.364985163204748
"S002","Forehead","Copan","002FhRUSw_1",54,28,0.518518518518518
"S002","Forehead","Eswab","002FhCUSw",54,9,0.166666666666667
"S002","Forehead","Omni","002FhLUSw_4",54,13,0.240740740740741
"S002","Forehead","Puritan_buffer","002FhLUSw_3",54,18,0.333333333333333
"S002","Forehead","Puritan_gel","002FhRUSw_2",54,28,0.518518518518518
"S003","Antecubital","Copan","003AcRUSw_1",297,159,0.535353535353535
"S003","Antecubital","Eswab","003AcCUSw",297,124,0.417508417508417
"S003","Antecubital","Omni","003AcLUSw_4",297,136,0.457912457912458
"S003","Antecubital","Puritan_buffer","003AcLUSw_3",297,25,0.0841750841750842
"S003","Antecubital","Puritan_gel","003AcRUSw_2",297,15,0.0505050505050505
"S003","Forehead","Copan","003FhRUSw_1",59,16,0.271186440677966
"S003","Forehead","Eswab","003FhCUSw",59,29,0.491525423728814
"S003","Forehead","Omni","003FhLUSw_4",59,28,0.474576271186441
"S003","Forehead","Puritan_buffer","003FhLUSw_3",59,8,0.135593220338983
"S003","Forehead","Puritan_gel","003FhRUSw_2",59,6,0.101694915254237
"S004","Antecubital","Copan","004AcRUSw_1",667,224,0.335832083958021
"S004","Antecubital","Eswab","004AcCUSw",667,153,0.229385307346327
"S004","Antecubital","Omni","004AcLUSw_4",667,285,0.427286356821589
"S004","Antecubital","Puritan_buffer","004AcLUSw_3",667,258,0.386806596701649
"S004","Antecubital","Puritan_gel","004AcRUSw_2",667,212,0.31784107946027
"S004","Forehead","Copan","004FhRUSw_1",458,163,0.35589519650655
"S004","Forehead","Eswab","004FhCUSw",458,88,0.192139737991266
"S004","Forehead","Omni","004FhLUSw_4",458,146,0.318777292576419
"S004","Forehead","Puritan_buffer","004FhLUSw_3",458,149,0.325327510917031
"S004","Forehead","Puritan_gel","004FhRUSw_2",458,164,0.358078602620087
"S005","Antecubital","Copan","005AcRUSw_1",134,37,0.276119402985075
"S005","Antecubital","Eswab","005AcCUSw",134,37,0.276119402985075
"S005","Antecubital","Omni","005AcLUSw_4",134,58,0.432835820895522
"S005","Antecubital","Puritan_buffer","005AcLUSw_3",134,54,0.402985074626866
"S005","Antecubital","Puritan_gel","005AcRUSw_2",134,25,0.186567164179104
"S005","Forehead","Copan","005FhRUSw_1",289,74,0.256055363321799
"S005","Forehead","Eswab","005FhCUSw",289,101,0.349480968858132
"S005","Forehead","Omni","005FhLUSw_4",289,29,0.100346020761246
"S005","Forehead","Puritan_buffer","005FhLUSw_3",289,98,0.339100346020761
"S005","Forehead","Puritan_gel","005FhRUSw_2",289,95,0.328719723183391
