"Genus","swab_type2","detection_prevalence","n_detected","n_samples"
"1174-901-12","Copan",0,0,10
"1174-901-12","Eswab",0.1,1,10
"1174-901-12","Omni",0,0,10
"1174-901-12","Puritan_buffer",0,0,10
"1174-901-12","Puritan_gel",0.1,1,10
"28-YEA-48","Copan",0,0,10
"28-YEA-48","Eswab",0,0,10
"28-YEA-48","Omni",0,0,10
"28-YEA-48","Puritan_buffer",0,0,10
"28-YEA-48","Puritan_gel",0.1,1,10
"67-14","Copan",0,0,10
"67-14","Eswab",0,0,10
"67-14","Omni",0.3,3,10
"67-14","Puritan_buffer",0,0,10
"67-14","Puritan_gel",0,0,10
"AKYG1722","Copan",0,0,10
"AKYG1722","Eswab",0,0,10
"AKYG1722","Omni",0.1,1,10
"AKYG1722","Puritan_buffer",0,0,10
"AKYG1722","Puritan_gel",0,0,10
"Abditibacterium","Copan",0.1,1,10
"Abditibacterium","Eswab",0,0,10
"Abditibacterium","Omni",0,0,10
"Abditibacterium","Puritan_buffer",0,0,10
"Abditibacterium","Puritan_gel",0,0,10
"Acetobacter","Copan",0.3,3,10
"Acetobacter","Eswab",0,0,10
"Acetobacter","Omni",0.2,2,10
"Acetobacter","Puritan_buffer",0.1,1,10
"Acetobacter","Puritan_gel",0.2,2,10
"Acetobacteraceae_f","Copan",0.1,1,10
"Acetobacteraceae_f","Eswab",0.2,2,10
"Acetobacteraceae_f","Omni",0.1,1,10
"Acetobacteraceae_f","Puritan_buffer",0.1,1,10
"Acetobacteraceae_f","Puritan_gel",0.1,1,10
"Acidimicrobiia_c","Copan",0.1,1,10
"Acidimicrobiia_c","Eswab",0,0,10
"Acidimicrobiia_c","Omni",0.1,1,10
"Acidimicrobiia_c","Puritan_buffer",0.2,2,10
"Acidimicrobiia_c","Puritan_gel",0.1,1,10
"Acidobacteriaceae_(Subgroup_1)_f","Copan",0,0,10
"Acidobacteriaceae_(Subgroup_1)_f","Eswab",0,0,10
"Acidobacteriaceae_(Subgroup_1)_f","Omni",0,0,10
"Acidobacteriaceae_(Subgroup_1)_f","Puritan_buffer",0,0,10
"Acidobacteriaceae_(Subgroup_1)_f","Puritan_gel",0.1,1,10
"Acidocella","Copan",0.1,1,10
"Acidocella","Eswab",0,0,10
"Acidocella","Omni",0,0,10
"Acidocella","Puritan_buffer",0,0,10
"Acidocella","Puritan_gel",0,0,10
"Acidovorax","Copan",0.2,2,10
"Acidovorax","Eswab",0.1,1,10
"Acidovorax","Omni",0,0,10
"Acidovorax","Puritan_buffer",0.1,1,10
"Acidovorax","Puritan_gel",0.1,1,10
"Acinetobacter","Copan",0.2,2,10
"Acinetobacter","Eswab",0,0,10
"Acinetobacter","Omni",0.1,1,10
"Acinetobacter","Puritan_buffer",0.2,2,10
"Acinetobacter","Puritan_gel",0.1,1,10
"Actinobacteria_c","Copan",0,0,10
"Actinobacteria_c","Eswab",0.1,1,10
"Actinobacteria_c","Omni",0.1,1,10
"Actinobacteria_c","Puritan_buffer",0,0,10
"Actinobacteria_c","Puritan_gel",0.1,1,10
"Actinomyces","Copan",0.5,5,10
"Actinomyces","Eswab",0.6,6,10
"Actinomyces","Omni",0.5,5,10
"Actinomyces","Puritan_buffer",0.6,6,10
"Actinomyces","Puritan_gel",0.5,5,10
"Actinomycetaceae","Copan",0.3,3,10
"Actinomycetaceae","Eswab",0,0,10
"Actinomycetaceae","Omni",0.1,1,10
"Actinomycetaceae","Puritan_buffer",0.3,3,10
"Actinomycetaceae","Puritan_gel",0.2,2,10
"Actinomycetospora","Copan",0.2,2,10
"Actinomycetospora","Eswab",0.2,2,10
"Actinomycetospora","Omni",0.2,2,10
"Actinomycetospora","Puritan_buffer",0.1,1,10
"Actinomycetospora","Puritan_gel",0.2,2,10
"Afipia","Copan",0,0,10
"Afipia","Eswab",0,0,10
"Afipia","Omni",0,0,10
"Afipia","Puritan_buffer",0,0,10
"Afipia","Puritan_gel",0.1,1,10
"Agrococcus","Copan",0,0,10
"Agrococcus","Eswab",0,0,10
"Agrococcus","Omni",0.2,2,10
"Agrococcus","Puritan_buffer",0,0,10
"Agrococcus","Puritan_gel",0,0,10
"Aliihoeflea","Copan",0.1,1,10
"Aliihoeflea","Eswab",0,0,10
"Aliihoeflea","Omni",0,0,10
"Aliihoeflea","Puritan_buffer",0,0,10
"Aliihoeflea","Puritan_gel",0,0,10
"Alishewanella","Copan",0.1,1,10
"Alishewanella","Eswab",0,0,10
"Alishewanella","Omni",0,0,10
"Alishewanella","Puritan_buffer",0,0,10
"Alishewanella","Puritan_gel",0,0,10
"Alistipes","Copan",0.1,1,10
"Alistipes","Eswab",0,0,10
"Alistipes","Omni",0.1,1,10
"Alistipes","Puritan_buffer",0,0,10
"Alistipes","Puritan_gel",0,0,10
"Alkalibacterium","Copan",0,0,10
"Alkalibacterium","Eswab",0.1,1,10
"Alkalibacterium","Omni",0,0,10
"Alkalibacterium","Puritan_buffer",0,0,10
"Alkalibacterium","Puritan_gel",0,0,10
"Alloprevotella","Copan",0.3,3,10
"Alloprevotella","Eswab",0,0,10
"Alloprevotella","Omni",0.1,1,10
"Alloprevotella","Puritan_buffer",0,0,10
"Alloprevotella","Puritan_gel",0,0,10
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Copan",0.3,3,10
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Eswab",0,0,10
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Omni",0.1,1,10
