"sample_name","Observed","Shannon","subject_id","site_group","swab_type2","Type","filter_id","filter"
"001AcCUSw",103,2.57325534169114,"S001","Antecubital","Eswab","Type 5","no_filter","No additional filter"
"001AcLUSw_3",104,2.69621598278196,"S001","Antecubital","Puritan_buffer","Type 3","no_filter","No additional filter"
"001AcLUSw_4",103,2.54446358884137,"S001","Antecubital","Omni","Type 4","no_filter","No additional filter"
"001AcRUSw_1",61,1.563978527073,"S001","Antecubital","Copan","Type 1","no_filter","No additional filter"
"001AcRUSw_2",82,2.62011168575166,"S001","Antecubital","Puritan_gel","Type 2","no_filter","No additional filter"
"001FhCUSw",17,0.157600968533743,"S001","Forehead","Eswab","Type 5","no_filter","No additional filter"
"001FhLUSw_3",32,0.551333535477732,"S001","Forehead","Puritan_buffer","Type 3","no_filter","No additional filter"
"001FhLUSw_4",22,0.622890012149153,"S001","Forehead","Omni","Type 4","no_filter","No additional filter"
"001FhRUSw_1",28,0.27825096283151,"S001","Forehead","Copan","Type 1","no_filter","No additional filter"
"001FhRUSw_2",29,0.452122903009046,"S001","Forehead","Puritan_gel","Type 2","no_filter","No additional filter"
"002AcCUSw",53,2.16209957028386,"S002","Antecubital","Eswab","Type 5","no_filter","No additional filter"
"002AcLUSw_3",132,2.26140231610363,"S002","Antecubital","Puritan_buffer","Type 3","no_filter","No additional filter"
"002AcLUSw_4",90,3.04598899592501,"S002","Antecubital","Omni","Type 4","no_filter","No additional filter"
"002AcRUSw_1",90,1.44234303722375,"S002","Antecubital","Copan","Type 1","no_filter","No additional filter"
"002AcRUSw_2",111,1.85150224828289,"S002","Antecubital","Puritan_gel","Type 2","no_filter","No additional filter"
"002FhCUSw",8,0.0614619982615141,"S002","Forehead","Eswab","Type 5","no_filter","No additional filter"
"002FhLUSw_3",16,0.121852139280514,"S002","Forehead","Puritan_buffer","Type 3","no_filter","No additional filter"
"002FhLUSw_4",10,0.0987342287373922,"S002","Forehead","Omni","Type 4","no_filter","No additional filter"
"002FhRUSw_1",27,0.410601702632061,"S002","Forehead","Copan","Type 1","no_filter","No additional filter"
"002FhRUSw_2",25,0.525252127218902,"S002","Forehead","Puritan_gel","Type 2","no_filter","No additional filter"
