"filter_id","filter","site_group","metric","pairwise_tests","significant_pairs","minimum_adjusted_p"
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","Antecubital","Observed",10,0,1
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","Antecubital","Shannon",10,0,1
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","Forehead","Observed",10,0,1
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","Forehead","Shannon",10,0,1
"mean_abundance_ge_1pct","Mean abundance >=1%","Antecubital","Observed",10,0,1
"mean_abundance_ge_1pct","Mean abundance >=1%","Antecubital","Shannon",10,0,1
"mean_abundance_ge_1pct","Mean abundance >=1%","Forehead","Observed",10,0,1
"mean_abundance_ge_1pct","Mean abundance >=1%","Forehead","Shannon",10,0,1
"no_filter","No additional filter","Antecubital","Observed",10,0,1
"no_filter","No additional filter","Antecubital","Shannon",10,0,1
"no_filter","No additional filter","Forehead","Observed",10,0,1
"no_filter","No additional filter","Forehead","Shannon",10,0,1
"prevalence_ge_10pct","Prevalence >=10% samples","Antecubital","Observed",10,0,1
"prevalence_ge_10pct","Prevalence >=10% samples","Antecubital","Shannon",10,0,1
"prevalence_ge_10pct","Prevalence >=10% samples","Forehead","Observed",10,0,1
"prevalence_ge_10pct","Prevalence >=10% samples","Forehead","Shannon",10,0,1
"prevalence_ge_2","Prevalence >=2 samples","Antecubital","Observed",10,0,1
"prevalence_ge_2","Prevalence >=2 samples","Antecubital","Shannon",10,0,1
"prevalence_ge_2","Prevalence >=2 samples","Forehead","Observed",10,0,1
"prevalence_ge_2","Prevalence >=2 samples","Forehead","Shannon",10,0,1
"prevalence_ge_5","Prevalence >=5 samples","Antecubital","Observed",10,0,1
"prevalence_ge_5","Prevalence >=5 samples","Antecubital","Shannon",10,0,1
"prevalence_ge_5","Prevalence >=5 samples","Forehead","Observed",10,0,1
"prevalence_ge_5","Prevalence >=5 samples","Forehead","Shannon",10,0,1
"remove_count_le_1","Remove count <=1","Antecubital","Observed",10,0,1
"remove_count_le_1","Remove count <=1","Antecubital","Shannon",10,0,1
"remove_count_le_1","Remove count <=1","Forehead","Observed",10,0,1
"remove_count_le_1","Remove count <=1","Forehead","Shannon",10,0,1
"remove_count_le_10","Remove count <=10","Antecubital","Observed",10,0,1
"remove_count_le_10","Remove count <=10","Antecubital","Shannon",10,0,1
"remove_count_le_10","Remove count <=10","Forehead","Observed",10,0,1
"remove_count_le_10","Remove count <=10","Forehead","Shannon",10,0,1
"remove_count_le_2","Remove count <=2","Antecubital","Observed",10,0,1
"remove_count_le_2","Remove count <=2","Antecubital","Shannon",10,0,1
"remove_count_le_2","Remove count <=2","Forehead","Observed",10,0,1
"remove_count_le_2","Remove count <=2","Forehead","Shannon",10,0,1
