"group1","group2","p_adjusted","filter_id","filter","site_group","metric","significant_0.05"
"Type 2","Type 1",1,"no_filter","No additional filter","Antecubital","Shannon",FALSE
"Type 3","Type 1",1,"no_filter","No additional filter","Antecubital","Shannon",FALSE
"Type 4","Type 1",1,"no_filter","No additional filter","Antecubital","Shannon",FALSE
"Type 5","Type 1",1,"no_filter","No additional filter","Antecubital","Shannon",FALSE
"Type 3","Type 2",1,"no_filter","No additional filter","Antecubital","Shannon",FALSE
"Type 4","Type 2",1,"no_filter","No additional filter","Antecubital","Shannon",FALSE
"Type 5","Type 2",1,"no_filter","No additional filter","Antecubital","Shannon",FALSE
"Type 4","Type 3",1,"no_filter","No additional filter","Antecubital","Shannon",FALSE
"Type 5","Type 3",1,"no_filter","No additional filter","Antecubital","Shannon",FALSE
"Type 5","Type 4",1,"no_filter","No additional filter","Antecubital","Shannon",FALSE
"Type 2","Type 1",1,"no_filter","No additional filter","Antecubital","Observed",FALSE
"Type 3","Type 1",1,"no_filter","No additional filter","Antecubital","Observed",FALSE
"Type 4","Type 1",1,"no_filter","No additional filter","Antecubital","Observed",FALSE
"Type 5","Type 1",1,"no_filter","No additional filter","Antecubital","Observed",FALSE
"Type 3","Type 2",1,"no_filter","No additional filter","Antecubital","Observed",FALSE
"Type 4","Type 2",1,"no_filter","No additional filter","Antecubital","Observed",FALSE
"Type 5","Type 2",1,"no_filter","No additional filter","Antecubital","Observed",FALSE
"Type 4","Type 3",1,"no_filter","No additional filter","Antecubital","Observed",FALSE
"Type 5","Type 3",1,"no_filter","No additional filter","Antecubital","Observed",FALSE
"Type 5","Type 4",1,"no_filter","No additional filter","Antecubital","Observed",FALSE
"Type 2","Type 1",1,"no_filter","No additional filter","Forehead","Shannon",FALSE
"Type 3","Type 1",1,"no_filter","No additional filter","Forehead","Shannon",FALSE
"Type 4","Type 1",1,"no_filter","No additional filter","Forehead","Shannon",FALSE
"Type 5","Type 1",1,"no_filter","No additional filter","Forehead","Shannon",FALSE
"Type 3","Type 2",1,"no_filter","No additional filter","Forehead","Shannon",FALSE
"Type 4","Type 2",1,"no_filter","No additional filter","Forehead","Shannon",FALSE
"Type 5","Type 2",1,"no_filter","No additional filter","Forehead","Shannon",FALSE
"Type 4","Type 3",1,"no_filter","No additional filter","Forehead","Shannon",FALSE
"Type 5","Type 3",1,"no_filter","No additional filter","Forehead","Shannon",FALSE
"Type 5","Type 4",1,"no_filter","No additional filter","Forehead","Shannon",FALSE
"Type 2","Type 1",1,"no_filter","No additional filter","Forehead","Observed",FALSE
"Type 3","Type 1",1,"no_filter","No additional filter","Forehead","Observed",FALSE
"Type 4","Type 1",1,"no_filter","No additional filter","Forehead","Observed",FALSE
"Type 5","Type 1",1,"no_filter","No additional filter","Forehead","Observed",FALSE
"Type 3","Type 2",1,"no_filter","No additional filter","Forehead","Observed",FALSE
"Type 4","Type 2",1,"no_filter","No additional filter","Forehead","Observed",FALSE
"Type 5","Type 2",1,"no_filter","No additional filter","Forehead","Observed",FALSE
"Type 4","Type 3",1,"no_filter","No additional filter","Forehead","Observed",FALSE
"Type 5","Type 3",1,"no_filter","No additional filter","Forehead","Observed",FALSE
"Type 5","Type 4",1,"no_filter","No additional filter","Forehead","Observed",FALSE
"Type 2","Type 1",1,"remove_count_le_1","Remove count <=1","Antecubital","Shannon",FALSE
"Type 3","Type 1",1,"remove_count_le_1","Remove count <=1","Antecubital","Shannon",FALSE
"Type 4","Type 1",1,"remove_count_le_1","Remove count <=1","Antecubital","Shannon",FALSE
"Type 5","Type 1",1,"remove_count_le_1","Remove count <=1","Antecubital","Shannon",FALSE
"Type 3","Type 2",1,"remove_count_le_1","Remove count <=1","Antecubital","Shannon",FALSE
"Type 4","Type 2",1,"remove_count_le_1","Remove count <=1","Antecubital","Shannon",FALSE
"Type 5","Type 2",1,"remove_count_le_1","Remove count <=1","Antecubital","Shannon",FALSE
"Type 4","Type 3",1,"remove_count_le_1","Remove count <=1","Antecubital","Shannon",FALSE
"Type 5","Type 3",1,"remove_count_le_1","Remove count <=1","Antecubital","Shannon",FALSE
"Type 5","Type 4",1,"remove_count_le_1","Remove count <=1","Antecubital","Shannon",FALSE
"Type 2","Type 1",1,"remove_count_le_1","Remove count <=1","Antecubital","Observed",FALSE
"Type 3","Type 1",1,"remove_count_le_1","Remove count <=1","Antecubital","Observed",FALSE
"Type 4","Type 1",1,"remove_count_le_1","Remove count <=1","Antecubital","Observed",FALSE
"Type 5","Type 1",1,"remove_count_le_1","Remove count <=1","Antecubital","Observed",FALSE
"Type 3","Type 2",1,"remove_count_le_1","Remove count <=1","Antecubital","Observed",FALSE
"Type 4","Type 2",1,"remove_count_le_1","Remove count <=1","Antecubital","Observed",FALSE
"Type 5","Type 2",1,"remove_count_le_1","Remove count <=1","Antecubital","Observed",FALSE
"Type 4","Type 3",1,"remove_count_le_1","Remove count <=1","Antecubital","Observed",FALSE
"Type 5","Type 3",1,"remove_count_le_1","Remove count <=1","Antecubital","Observed",FALSE
"Type 5","Type 4",1,"remove_count_le_1","Remove count <=1","Antecubital","Observed",FALSE
"Type 2","Type 1",1,"remove_count_le_1","Remove count <=1","Forehead","Shannon",FALSE
"Type 3","Type 1",1,"remove_count_le_1","Remove count <=1","Forehead","Shannon",FALSE
"Type 4","Type 1",1,"remove_count_le_1","Remove count <=1","Forehead","Shannon",FALSE
"Type 5","Type 1",1,"remove_count_le_1","Remove count <=1","Forehead","Shannon",FALSE
"Type 3","Type 2",1,"remove_count_le_1","Remove count <=1","Forehead","Shannon",FALSE
"Type 4","Type 2",1,"remove_count_le_1","Remove count <=1","Forehead","Shannon",FALSE
"Type 5","Type 2",1,"remove_count_le_1","Remove count <=1","Forehead","Shannon",FALSE
"Type 4","Type 3",1,"remove_count_le_1","Remove count <=1","Forehead","Shannon",FALSE
"Type 5","Type 3",1,"remove_count_le_1","Remove count <=1","Forehead","Shannon",FALSE
"Type 5","Type 4",1,"remove_count_le_1","Remove count <=1","Forehead","Shannon",FALSE
"Type 2","Type 1",1,"remove_count_le_1","Remove count <=1","Forehead","Observed",FALSE
"Type 3","Type 1",1,"remove_count_le_1","Remove count <=1","Forehead","Observed",FALSE
"Type 4","Type 1",1,"remove_count_le_1","Remove count <=1","Forehead","Observed",FALSE
"Type 5","Type 1",1,"remove_count_le_1","Remove count <=1","Forehead","Observed",FALSE
"Type 3","Type 2",1,"remove_count_le_1","Remove count <=1","Forehead","Observed",FALSE
"Type 4","Type 2",1,"remove_count_le_1","Remove count <=1","Forehead","Observed",FALSE
"Type 5","Type 2",1,"remove_count_le_1","Remove count <=1","Forehead","Observed",FALSE
"Type 4","Type 3",1,"remove_count_le_1","Remove count <=1","Forehead","Observed",FALSE
"Type 5","Type 3",1,"remove_count_le_1","Remove count <=1","Forehead","Observed",FALSE
"Type 5","Type 4",1,"remove_count_le_1","Remove count <=1","Forehead","Observed",FALSE
"Type 2","Type 1",1,"remove_count_le_2","Remove count <=2","Antecubital","Shannon",FALSE
"Type 3","Type 1",1,"remove_count_le_2","Remove count <=2","Antecubital","Shannon",FALSE
"Type 4","Type 1",1,"remove_count_le_2","Remove count <=2","Antecubital","Shannon",FALSE
"Type 5","Type 1",1,"remove_count_le_2","Remove count <=2","Antecubital","Shannon",FALSE
"Type 3","Type 2",1,"remove_count_le_2","Remove count <=2","Antecubital","Shannon",FALSE
"Type 4","Type 2",1,"remove_count_le_2","Remove count <=2","Antecubital","Shannon",FALSE
"Type 5","Type 2",1,"remove_count_le_2","Remove count <=2","Antecubital","Shannon",FALSE
"Type 4","Type 3",1,"remove_count_le_2","Remove count <=2","Antecubital","Shannon",FALSE
"Type 5","Type 3",1,"remove_count_le_2","Remove count <=2","Antecubital","Shannon",FALSE
"Type 5","Type 4",1,"remove_count_le_2","Remove count <=2","Antecubital","Shannon",FALSE
"Type 2","Type 1",1,"remove_count_le_2","Remove count <=2","Antecubital","Observed",FALSE
"Type 3","Type 1",1,"remove_count_le_2","Remove count <=2","Antecubital","Observed",FALSE
"Type 4","Type 1",1,"remove_count_le_2","Remove count <=2","Antecubital","Observed",FALSE
"Type 5","Type 1",1,"remove_count_le_2","Remove count <=2","Antecubital","Observed",FALSE
"Type 3","Type 2",1,"remove_count_le_2","Remove count <=2","Antecubital","Observed",FALSE
"Type 4","Type 2",1,"remove_count_le_2","Remove count <=2","Antecubital","Observed",FALSE
"Type 5","Type 2",1,"remove_count_le_2","Remove count <=2","Antecubital","Observed",FALSE
"Type 4","Type 3",1,"remove_count_le_2","Remove count <=2","Antecubital","Observed",FALSE
"Type 5","Type 3",1,"remove_count_le_2","Remove count <=2","Antecubital","Observed",FALSE
"Type 5","Type 4",1,"remove_count_le_2","Remove count <=2","Antecubital","Observed",FALSE
"Type 2","Type 1",1,"remove_count_le_2","Remove count <=2","Forehead","Shannon",FALSE
"Type 3","Type 1",1,"remove_count_le_2","Remove count <=2","Forehead","Shannon",FALSE
"Type 4","Type 1",1,"remove_count_le_2","Remove count <=2","Forehead","Shannon",FALSE
"Type 5","Type 1",1,"remove_count_le_2","Remove count <=2","Forehead","Shannon",FALSE
"Type 3","Type 2",1,"remove_count_le_2","Remove count <=2","Forehead","Shannon",FALSE
"Type 4","Type 2",1,"remove_count_le_2","Remove count <=2","Forehead","Shannon",FALSE
"Type 5","Type 2",1,"remove_count_le_2","Remove count <=2","Forehead","Shannon",FALSE
"Type 4","Type 3",1,"remove_count_le_2","Remove count <=2","Forehead","Shannon",FALSE
"Type 5","Type 3",1,"remove_count_le_2","Remove count <=2","Forehead","Shannon",FALSE
"Type 5","Type 4",1,"remove_count_le_2","Remove count <=2","Forehead","Shannon",FALSE
"Type 2","Type 1",1,"remove_count_le_2","Remove count <=2","Forehead","Observed",FALSE
"Type 3","Type 1",1,"remove_count_le_2","Remove count <=2","Forehead","Observed",FALSE
"Type 4","Type 1",1,"remove_count_le_2","Remove count <=2","Forehead","Observed",FALSE
"Type 5","Type 1",1,"remove_count_le_2","Remove count <=2","Forehead","Observed",FALSE
"Type 3","Type 2",1,"remove_count_le_2","Remove count <=2","Forehead","Observed",FALSE
"Type 4","Type 2",1,"remove_count_le_2","Remove count <=2","Forehead","Observed",FALSE
