"filter_id","distance_id","spearman_rho","mantel_r","mantel_p","note","filter","distance"
"no_filter","wunifrac",1,1,1e-04,NA,"No additional filter","Weighted UniFrac"
"remove_count_le_1","wunifrac",0.999775773278316,0.999775773278316,1e-04,NA,"Remove count <=1","Weighted UniFrac"
"remove_count_le_2","wunifrac",0.999472689565222,0.999472689565222,1e-04,NA,"Remove count <=2","Weighted UniFrac"
"remove_count_le_10","wunifrac",0.992112805970675,0.992112805970675,1e-04,NA,"Remove count <=10","Weighted UniFrac"
"prevalence_ge_2","wunifrac",NA,NA,NA,"Different sample sets after rarefaction","Prevalence >=2 samples","Weighted UniFrac"
"prevalence_ge_5","wunifrac",NA,NA,NA,"Different sample sets after rarefaction","Prevalence >=5 samples","Weighted UniFrac"
"prevalence_ge_10pct","wunifrac",NA,NA,NA,"Different sample sets after rarefaction","Prevalence >=10% samples","Weighted UniFrac"
"mean_abundance_ge_0.1pct","wunifrac",NA,NA,NA,"Different sample sets after rarefaction","Mean abundance >=0.1%","Weighted UniFrac"
"mean_abundance_ge_1pct","wunifrac",NA,NA,NA,"Different sample sets after rarefaction","Mean abundance >=1%","Weighted UniFrac"
"no_filter","unifrac",1,1,1e-04,NA,"No additional filter","Unweighted UniFrac"
"remove_count_le_1","unifrac",0.994516253483449,0.994516253483449,1e-04,NA,"Remove count <=1","Unweighted UniFrac"
"remove_count_le_2","unifrac",0.988440335351106,0.988440335351106,1e-04,NA,"Remove count <=2","Unweighted UniFrac"
"remove_count_le_10","unifrac",0.837788890433824,0.837788890433824,1e-04,NA,"Remove count <=10","Unweighted UniFrac"
"prevalence_ge_2","unifrac",NA,NA,NA,"Different sample sets after rarefaction","Prevalence >=2 samples","Unweighted UniFrac"
"prevalence_ge_5","unifrac",NA,NA,NA,"Different sample sets after rarefaction","Prevalence >=5 samples","Unweighted UniFrac"
"prevalence_ge_10pct","unifrac",NA,NA,NA,"Different sample sets after rarefaction","Prevalence >=10% samples","Unweighted UniFrac"
"mean_abundance_ge_0.1pct","unifrac",NA,NA,NA,"Different sample sets after rarefaction","Mean abundance >=0.1%","Unweighted UniFrac"
"mean_abundance_ge_1pct","unifrac",NA,NA,NA,"Different sample sets after rarefaction","Mean abundance >=1%","Unweighted UniFrac"
"no_filter","bray",1,1,1e-04,NA,"No additional filter","Bray-Curtis"
"remove_count_le_1","bray",0.999952137034809,0.999952137034809,1e-04,NA,"Remove count <=1","Bray-Curtis"
"remove_count_le_2","bray",0.999948995468343,0.999948995468343,1e-04,NA,"Remove count <=2","Bray-Curtis"
"remove_count_le_10","bray",0.999848569451274,0.999848569451274,1e-04,NA,"Remove count <=10","Bray-Curtis"
"prevalence_ge_2","bray",NA,NA,NA,"Different sample sets after rarefaction","Prevalence >=2 samples","Bray-Curtis"
"prevalence_ge_5","bray",NA,NA,NA,"Different sample sets after rarefaction","Prevalence >=5 samples","Bray-Curtis"
"prevalence_ge_10pct","bray",NA,NA,NA,"Different sample sets after rarefaction","Prevalence >=10% samples","Bray-Curtis"
"mean_abundance_ge_0.1pct","bray",NA,NA,NA,"Different sample sets after rarefaction","Mean abundance >=0.1%","Bray-Curtis"
"mean_abundance_ge_1pct","bray",NA,NA,NA,"Different sample sets after rarefaction","Mean abundance >=1%","Bray-Curtis"
