"filter_id","filter","distance_id","distance","comparison_group","n_pairs","mean_distance","median_distance","sd_distance","q25","q75"
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","bray","Bray-Curtis","Between participants and sites",460,0.786918045402078,0.897804628999319,0.211690691664745,0.668311776718856,0.959836623553438
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","bray","Bray-Curtis","Between participants, same site",461,0.706926886677525,0.786078965282505,0.277573355283105,0.605173587474472,0.92716133424098
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","bray","Bray-Curtis","Within participant, between sites",115,0.670032852872407,0.703029271613342,0.234781083839314,0.490895166780123,0.885466303607897
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","bray","Bray-Curtis","Within participant/site, between systems",92,0.316149702548317,0.32215793056501,0.218602842648098,0.0980258679373724,0.482343430905378
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","unifrac","Unweighted UniFrac","Between participants and sites",460,0.455066040770777,0.491263191127671,0.141134249650915,0.337109592098427,0.568365665221383
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","unifrac","Unweighted UniFrac","Between participants, same site",461,0.439136136910085,0.46630918734293,0.137374739170315,0.333926858001649,0.55550566059814
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","unifrac","Unweighted UniFrac","Within participant, between sites",115,0.276341834742063,0.25270251418005,0.119434476526936,0.187887560637421,0.368366736116256
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","unifrac","Unweighted UniFrac","Within participant/site, between systems",92,0.197399775701096,0.167497921515005,0.116684340027548,0.120982925718274,0.247047367982215
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","wunifrac","Weighted UniFrac","Between participants and sites",460,0.705996247759502,0.764559899827089,0.225140423607343,0.517222920633182,0.900451399522592
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","wunifrac","Weighted UniFrac","Between participants, same site",461,0.618274520318493,0.644684348051648,0.267424735846873,0.485239124531803,0.824041484357212
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","wunifrac","Weighted UniFrac","Within participant, between sites",115,0.616526268720321,0.595696461950813,0.197526741320725,0.478675068304335,0.785943107005164
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","wunifrac","Weighted UniFrac","Within participant/site, between systems",92,0.214958693413408,0.193606810297602,0.160291108119002,0.0851118238833496,0.300899621935185
"mean_abundance_ge_1pct","Mean abundance >=1%","bray","Bray-Curtis","Between participants and sites",254,0.685532501085424,0.870660313138189,0.307513190395949,0.3821477195371,0.961623553437713
"mean_abundance_ge_1pct","Mean abundance >=1%","bray","Bray-Curtis","Between participants, same site",282,0.56867580107083,0.606875425459496,0.363421339193373,0.213240299523485,0.924906398910824
"mean_abundance_ge_1pct","Mean abundance >=1%","bray","Bray-Curtis","Within participant, between sites",68,0.572876206302807,0.408526208304969,0.335203038739681,0.289950646698434,0.899421375085092
"mean_abundance_ge_1pct","Mean abundance >=1%","bray","Bray-Curtis","Within participant/site, between systems",62,0.203825292606337,0.119554118447924,0.217337880431136,0.0388444520081688,0.302756977535739
"mean_abundance_ge_1pct","Mean abundance >=1%","unifrac","Unweighted UniFrac","Between participants and sites",254,0.235781817528591,0.160108633875447,0.174256541308011,0.0988968445476104,0.385117154769893
"mean_abundance_ge_1pct","Mean abundance >=1%","unifrac","Unweighted UniFrac","Between participants, same site",282,0.226219634252382,0.167718796360383,0.186065727145016,0.0884637032707178,0.34502056522479
"mean_abundance_ge_1pct","Mean abundance >=1%","unifrac","Unweighted UniFrac","Within participant, between sites",68,0.137883045353936,0.105555841654131,0.108062131105692,0.0688725856251616,0.160108633875447
"mean_abundance_ge_1pct","Mean abundance >=1%","unifrac","Unweighted UniFrac","Within participant/site, between systems",62,0.100201228886153,0.0837551048699967,0.111538360957585,0.0114456674016473,0.135862654025738
"mean_abundance_ge_1pct","Mean abundance >=1%","wunifrac","Weighted UniFrac","Between participants and sites",254,0.654387325927817,0.754350766200875,0.30176614547384,0.359383670034775,0.946739334846007
"mean_abundance_ge_1pct","Mean abundance >=1%","wunifrac","Weighted UniFrac","Between participants, same site",282,0.539985410317381,0.515895638409059,0.358112674274225,0.180472771867992,0.91712425224703
"mean_abundance_ge_1pct","Mean abundance >=1%","wunifrac","Weighted UniFrac","Within participant, between sites",68,0.555092656824871,0.434907601074721,0.294029664422811,0.307108616159954,0.834110002415279
"mean_abundance_ge_1pct","Mean abundance >=1%","wunifrac","Weighted UniFrac","Within participant/site, between systems",62,0.113306387645554,0.0644456633842679,0.117356452175304,0.0343919885150797,0.161636606259563
"no_filter","No additional filter","bray","Bray-Curtis","Between participants and sites",500,0.815694690265487,0.899676650782846,0.184584705167605,0.72893975493533,0.965665418652144
"no_filter","No additional filter","bray","Bray-Curtis","Between participants, same site",500,0.748908781484003,0.829050374404357,0.253082705734546,0.638614703880191,0.938818924438393
"no_filter","No additional filter","bray","Bray-Curtis","Within participant, between sites",125,0.712746085772634,0.736044928522805,0.212866806705117,0.57998638529612,0.904186521443159
"no_filter","No additional filter","bray","Bray-Curtis","Within participant/site, between systems",100,0.381369979577944,0.417545949625596,0.229023968843123,0.180607556160653,0.567562968005446
"no_filter","No additional filter","unifrac","Unweighted UniFrac","Between participants and sites",500,0.829811497239755,0.850081782168826,0.101783987981927,0.780863803762895,0.901847210683105
"no_filter","No additional filter","unifrac","Unweighted UniFrac","Between participants, same site",500,0.813038101255909,0.83520857589098,0.104283454057504,0.758860441607907,0.882106927601387
"no_filter","No additional filter","unifrac","Unweighted UniFrac","Within participant, between sites",125,0.789989431333529,0.801286741099693,0.110598217211978,0.743550850173142,0.864194345250252
"no_filter","No additional filter","unifrac","Unweighted UniFrac","Within participant/site, between systems",100,0.695370522431909,0.732566967415347,0.154995548520853,0.665741414346154,0.787591269526333
