"sample_1","sample_2","distance_value","subject_1","site_1","type_1","subject_2","site_2","type_2","same_participant","same_site","same_system","comparison_group","filter_id","filter","distance_id","distance"
"001AcCUSw","001AcLUSw_3",0.0208205926107619,"S001","Antecubital","Type 5","S001","Antecubital","Type 3",TRUE,TRUE,FALSE,"Within participant/site, between systems","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcCUSw","001AcLUSw_4",0.0533490121912061,"S001","Antecubital","Type 5","S001","Antecubital","Type 4",TRUE,TRUE,FALSE,"Within participant/site, between systems","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcLUSw_3","001AcLUSw_4",0.0401169423545249,"S001","Antecubital","Type 3","S001","Antecubital","Type 4",TRUE,TRUE,FALSE,"Within participant/site, between systems","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcCUSw","001AcRUSw_1",0.160231738666999,"S001","Antecubital","Type 5","S001","Antecubital","Type 1",TRUE,TRUE,FALSE,"Within participant/site, between systems","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcLUSw_3","001AcRUSw_1",0.143245539594674,"S001","Antecubital","Type 3","S001","Antecubital","Type 1",TRUE,TRUE,FALSE,"Within participant/site, between systems","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcLUSw_4","001AcRUSw_1",0.101619702585354,"S001","Antecubital","Type 4","S001","Antecubital","Type 1",TRUE,TRUE,FALSE,"Within participant/site, between systems","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcCUSw","001AcRUSw_2",0.0843908720428861,"S001","Antecubital","Type 5","S001","Antecubital","Type 2",TRUE,TRUE,FALSE,"Within participant/site, between systems","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcLUSw_3","001AcRUSw_2",0.0896021637880192,"S001","Antecubital","Type 3","S001","Antecubital","Type 2",TRUE,TRUE,FALSE,"Within participant/site, between systems","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcLUSw_4","001AcRUSw_2",0.1229789769465,"S001","Antecubital","Type 4","S001","Antecubital","Type 2",TRUE,TRUE,FALSE,"Within participant/site, between systems","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcRUSw_1","001AcRUSw_2",0.238212989529767,"S001","Antecubital","Type 1","S001","Antecubital","Type 2",TRUE,TRUE,FALSE,"Within participant/site, between systems","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcCUSw","001FhCUSw",0.289588166024025,"S001","Antecubital","Type 5","S001","Forehead","Type 5",TRUE,FALSE,TRUE,"Within participant, between sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcLUSw_3","001FhCUSw",0.268671755143805,"S001","Antecubital","Type 3","S001","Forehead","Type 5",TRUE,FALSE,FALSE,"Within participant, between sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcLUSw_4","001FhCUSw",0.222685101519566,"S001","Antecubital","Type 4","S001","Forehead","Type 5",TRUE,FALSE,FALSE,"Within participant, between sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcRUSw_1","001FhCUSw",0.130419381840139,"S001","Antecubital","Type 1","S001","Forehead","Type 5",TRUE,FALSE,FALSE,"Within participant, between sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcRUSw_2","001FhCUSw",0.376109832062495,"S001","Antecubital","Type 2","S001","Forehead","Type 5",TRUE,FALSE,FALSE,"Within participant, between sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcCUSw","001FhLUSw_3",0.250127586698587,"S001","Antecubital","Type 5","S001","Forehead","Type 3",TRUE,FALSE,FALSE,"Within participant, between sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcLUSw_3","001FhLUSw_3",0.230865028907063,"S001","Antecubital","Type 3","S001","Forehead","Type 3",TRUE,FALSE,TRUE,"Within participant, between sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcLUSw_4","001FhLUSw_3",0.186458005752487,"S001","Antecubital","Type 4","S001","Forehead","Type 3",TRUE,FALSE,FALSE,"Within participant, between sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcRUSw_1","001FhLUSw_3",0.0927375189960366,"S001","Antecubital","Type 1","S001","Forehead","Type 3",TRUE,FALSE,FALSE,"Within participant, between sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcRUSw_2","001FhLUSw_3",0.333937573046761,"S001","Antecubital","Type 2","S001","Forehead","Type 3",TRUE,FALSE,FALSE,"Within participant, between sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
