"filter_id","filter","distance_id","distance","variable_id","variable","n_samples","permutation_strata","Df","SumOfSqs","R2","F","p_value","error"
"no_filter","No additional filter","wunifrac","Weighted UniFrac","subject_id","Participant identity",50,"None",4,0.447262795598691,0.436994214788455,8.7320326815521,1e-04,NA
"no_filter","No additional filter","wunifrac","Weighted UniFrac","site_group","Anatomical site",50,"Participant identity",1,0.275693239945867,0.269363676340134,17.6961588763625,1e-04,NA
"no_filter","No additional filter","wunifrac","Weighted UniFrac","swab_type2","Sampling system",50,"Participant identity",4,0.0253479667944581,0.0247660099494769,0.285693089837015,0.7958,NA
"no_filter","No additional filter","wunifrac","Weighted UniFrac","swab_material","Swab-tip material",50,"Participant identity",3,0.0238377502512979,0.0232904660434486,0.365636319619222,0.6536,NA
"no_filter","No additional filter","wunifrac","Weighted UniFrac","collection_medium","Collection medium",50,"Participant identity",3,0.0131596201701207,0.0128574921494611,0.199716060640206,0.855,NA
"no_filter","No additional filter","unifrac","Unweighted UniFrac","subject_id","Participant identity",50,"None",4,3.28734374600514,0.201513144368971,2.83914864491957,1e-04,NA
"no_filter","No additional filter","unifrac","Unweighted UniFrac","site_group","Anatomical site",50,"Participant identity",1,0.846317818143788,0.0518790177865916,2.62645052738206,1e-04,NA
"no_filter","No additional filter","unifrac","Unweighted UniFrac","swab_type2","Sampling system",50,"Participant identity",4,1.01651913118108,0.062312305089616,0.747597986049265,0.8412,NA
"no_filter","No additional filter","unifrac","Unweighted UniFrac","swab_material","Swab-tip material",50,"Participant identity",3,0.819137576734965,0.050212877481777,0.810635109489118,0.6036,NA
"no_filter","No additional filter","unifrac","Unweighted UniFrac","collection_medium","Collection medium",50,"Participant identity",3,0.831600966593609,0.0509768793854306,0.823631655468791,0.5526,NA
"no_filter","No additional filter","bray","Bray-Curtis","subject_id","Participant identity",50,"None",4,6.13295137458462,0.408356624521634,7.76483303333525,1e-04,NA
"no_filter","No additional filter","bray","Bray-Curtis","site_group","Anatomical site",50,"Participant identity",1,1.73339167389957,0.115416204971212,6.26280728829979,1e-04,NA
"no_filter","No additional filter","bray","Bray-Curtis","swab_type2","Sampling system",50,"Participant identity",4,0.450914317960334,0.0300236929309142,0.348221439030188,0.9943,NA
"no_filter","No additional filter","bray","Bray-Curtis","swab_material","Swab-tip material",50,"Participant identity",3,0.381590442899571,0.0254078298839827,0.399743335554767,0.9569,NA
"no_filter","No additional filter","bray","Bray-Curtis","collection_medium","Collection medium",50,"Participant identity",3,0.362685040125841,0.0241490319593987,0.379448469938264,0.9728,NA
"remove_count_le_1","Remove count <=1","wunifrac","Weighted UniFrac","subject_id","Participant identity",50,"None",4,0.4397359315137,0.434286087368643,8.63637675123074,1e-04,NA
"remove_count_le_1","Remove count <=1","wunifrac","Weighted UniFrac","site_group","Anatomical site",50,"Participant identity",1,0.277684470829963,0.274243002941913,18.1378397928946,1e-04,NA
"remove_count_le_1","Remove count <=1","wunifrac","Weighted UniFrac","swab_type2","Sampling system",50,"Participant identity",4,0.0247497612553116,0.0244430263905838,0.281873898022242,0.8008,NA
"remove_count_le_1","Remove count <=1","wunifrac","Weighted UniFrac","swab_material","Swab-tip material",50,"Participant identity",3,0.0232498852700798,0.0229617390395085,0.360354361414343,0.6616,NA
"remove_count_le_1","Remove count <=1","wunifrac","Weighted UniFrac","collection_medium","Collection medium",50,"Participant identity",3,0.0128754871729207,0.0127159154996609,0.197488619593699,0.8566,NA
"remove_count_le_1","Remove count <=1","unifrac","Unweighted UniFrac","subject_id","Participant identity",50,"None",4,3.23669654421035,0.198549834773371,2.78705493880433,1e-04,NA
"remove_count_le_1","Remove count <=1","unifrac","Unweighted UniFrac","site_group","Anatomical site",50,"Participant identity",1,0.863809392581393,0.0529889687927368,2.6857876183437,1e-04,NA
"remove_count_le_1","Remove count <=1","unifrac","Unweighted UniFrac","swab_type2","Sampling system",50,"Participant identity",4,1.00301846097365,0.0615285205087232,0.737577934811997,0.8789,NA
"remove_count_le_1","Remove count <=1","unifrac","Unweighted UniFrac","swab_material","Swab-tip material",50,"Participant identity",3,0.804217169680205,0.0493333817306833,0.795699745841763,0.6582,NA
"remove_count_le_1","Remove count <=1","unifrac","Unweighted UniFrac","collection_medium","Collection medium",50,"Participant identity",3,0.826262025277461,0.05068568719913,0.818675676299794,0.5813,NA
"remove_count_le_1","Remove count <=1","bray","Bray-Curtis","subject_id","Participant identity",50,"None",4,6.12514829218415,0.407967571507355,7.75233747101195,1e-04,NA
"remove_count_le_1","Remove count <=1","bray","Bray-Curtis","site_group","Anatomical site",50,"Participant identity",1,1.73427347389503,0.115511870688487,6.26867632170853,1e-04,NA
"remove_count_le_1","Remove count <=1","bray","Bray-Curtis","swab_type2","Sampling system",50,"Participant identity",4,0.449878384618628,0.0299643018081227,0.347511329706447,0.9947,NA
"remove_count_le_1","Remove count <=1","bray","Bray-Curtis","swab_material","Swab-tip material",50,"Participant identity",3,0.381435540887903,0.0254056430766254,0.399708033474913,0.9569,NA
"remove_count_le_1","Remove count <=1","bray","Bray-Curtis","collection_medium","Collection medium",50,"Participant identity",3,0.361296757390425,0.0240642925974766,0.378084147376921,0.9735,NA
"remove_count_le_2","Remove count <=2","wunifrac","Weighted UniFrac","subject_id","Participant identity",50,"None",4,0.445008585065697,0.43726161058456,8.74152752256026,1e-04,NA
