"filter_id","filter","sample_name","bray_curtis_to_unfiltered","composition_similarity","subject_id","site_group","swab_type2","Type"
"no_filter","No additional filter","001AcCUSw",0,1,"S001","Antecubital","Eswab","Type 5"
"no_filter","No additional filter","001AcLUSw_3",0,1,"S001","Antecubital","Puritan_buffer","Type 3"
"no_filter","No additional filter","001AcLUSw_4",0,1,"S001","Antecubital","Omni","Type 4"
"no_filter","No additional filter","001AcRUSw_1",0,1,"S001","Antecubital","Copan","Type 1"
"no_filter","No additional filter","001AcRUSw_2",0,1,"S001","Antecubital","Puritan_gel","Type 2"
"no_filter","No additional filter","001FhCUSw",0,1,"S001","Forehead","Eswab","Type 5"
"no_filter","No additional filter","001FhLUSw_3",0,1,"S001","Forehead","Puritan_buffer","Type 3"
"no_filter","No additional filter","001FhLUSw_4",0,1,"S001","Forehead","Omni","Type 4"
"no_filter","No additional filter","001FhRUSw_1",0,1,"S001","Forehead","Copan","Type 1"
"no_filter","No additional filter","001FhRUSw_2",0,1,"S001","Forehead","Puritan_gel","Type 2"
"no_filter","No additional filter","002AcCUSw",0,1,"S002","Antecubital","Eswab","Type 5"
"no_filter","No additional filter","002AcLUSw_3",0,1,"S002","Antecubital","Puritan_buffer","Type 3"
"no_filter","No additional filter","002AcLUSw_4",0,1,"S002","Antecubital","Omni","Type 4"
"no_filter","No additional filter","002AcRUSw_1",0,1,"S002","Antecubital","Copan","Type 1"
"no_filter","No additional filter","002AcRUSw_2",0,1,"S002","Antecubital","Puritan_gel","Type 2"
"no_filter","No additional filter","002FhCUSw",0,1,"S002","Forehead","Eswab","Type 5"
"no_filter","No additional filter","002FhLUSw_3",0,1,"S002","Forehead","Puritan_buffer","Type 3"
"no_filter","No additional filter","002FhLUSw_4",0,1,"S002","Forehead","Omni","Type 4"
"no_filter","No additional filter","002FhRUSw_1",0,1,"S002","Forehead","Copan","Type 1"
"no_filter","No additional filter","002FhRUSw_2",0,1,"S002","Forehead","Puritan_gel","Type 2"
"no_filter","No additional filter","003AcCUSw",0,1,"S003","Antecubital","Eswab","Type 5"
"no_filter","No additional filter","003AcLUSw_3",0,1,"S003","Antecubital","Puritan_buffer","Type 3"
"no_filter","No additional filter","003AcLUSw_4",0,1,"S003","Antecubital","Omni","Type 4"
"no_filter","No additional filter","003AcRUSw_1",0,1,"S003","Antecubital","Copan","Type 1"
"no_filter","No additional filter","003AcRUSw_2",0,1,"S003","Antecubital","Puritan_gel","Type 2"
"no_filter","No additional filter","003FhCUSw",0,1,"S003","Forehead","Eswab","Type 5"
"no_filter","No additional filter","003FhLUSw_3",0,1,"S003","Forehead","Puritan_buffer","Type 3"
"no_filter","No additional filter","003FhLUSw_4",0,1,"S003","Forehead","Omni","Type 4"
"no_filter","No additional filter","003FhRUSw_1",0,1,"S003","Forehead","Copan","Type 1"
"no_filter","No additional filter","003FhRUSw_2",0,1,"S003","Forehead","Puritan_gel","Type 2"
"no_filter","No additional filter","004AcCUSw",0,1,"S004","Antecubital","Eswab","Type 5"
"no_filter","No additional filter","004AcLUSw_3",0,1,"S004","Antecubital","Puritan_buffer","Type 3"
"no_filter","No additional filter","004AcLUSw_4",0,1,"S004","Antecubital","Omni","Type 4"
"no_filter","No additional filter","004AcRUSw_1",0,1,"S004","Antecubital","Copan","Type 1"
