"filter_id","filter","taxonomic_level","subset","retained_features","shared_by_all_five","shared_by_all_five_feature_pct","shared_by_all_five_reads","shared_by_all_five_read_pct","system_exclusive_features","system_exclusive_reads","system_exclusive_read_pct"
"no_filter","No additional filter","ASV","Total",1855,119,6.41509433962264,731295,86.324247564478,1271,28643,3.38110533093942
"no_filter","No additional filter","ASV","Antecubital",1396,95,6.80515759312321,315975,78.1957622462767,921,18650,4.615399844586
"no_filter","No additional filter","ASV","Forehead",815,34,4.17177914110429,389855,87.9900782500164,601,16752,3.78091801014294
"no_filter","No additional filter","Genus","Total",347,59,17.0028818443804,825132,97.4010475134835,147,2835,0.334651873519298
"no_filter","No additional filter","Genus","Antecubital",282,48,17.0212765957447,385842,95.4860647096381,125,2379,0.588741889022525
"no_filter","No additional filter","Genus","Forehead",214,29,13.5514018691589,431568,97.4046814590118,99,1731,0.390685833068136
"remove_count_le_1","Remove count <=1","ASV","Total",1780,119,6.68539325842697,731295,86.3318907202913,1196,28568,3.37255068624465
"remove_count_le_1","Remove count <=1","ASV","Antecubital",1348,95,7.04747774480712,315975,78.205052050075,873,18602,4.6040679744774
"remove_count_le_1","Remove count <=1","ASV","Forehead",788,34,4.31472081218274,389855,87.9954405922716,574,16725,3.77505417118093
"remove_count_le_1","Remove count <=1","Genus","Total",344,59,17.1511627906977,825080,97.4035326311515,148,2896,0.341882763489376
"remove_count_le_1","Remove count <=1","Genus","Antecubital",278,48,17.2661870503597,385808,95.488993500547,123,2398,0.593514407203354
"remove_count_le_1","Remove count <=1","Genus","Forehead",211,29,13.7440758293839,431552,97.4070061394005,100,1762,0.397706753340556
"remove_count_le_2","Remove count <=2","ASV","Total",1714,119,6.94282380396733,731295,86.3453459622973,1130,28436,3.35749083172165
"remove_count_le_2","Remove count <=2","ASV","Antecubital",1301,95,7.30207532667179,315975,78.223250977868,826,18508,4.58186859434569
"remove_count_le_2","Remove count <=2","ASV","Forehead",769,34,4.42132639791938,389855,88.0029886998253,555,16687,3.76680014988646
"remove_count_le_2","Remove count <=2","Genus","Total",334,58,17.3652694610778,824857,97.3923834217691,141,2919,0.344651699880275
"remove_count_le_2","Remove count <=2","Genus","Antecubital",271,48,17.7121771217712,385770,95.501807199089,117,2383,0.589939099866317
"remove_count_le_2","Remove count <=2","Genus","Forehead",204,29,14.2156862745098,431542,97.4131042297777,96,1830,0.413090685820832
"remove_count_le_10","Remove count <=10","ASV","Total",1190,119,10,731295,86.6780610436759,619,25289,2.99742441249225
"remove_count_le_10","Remove count <=10","ASV","Antecubital",936,95,10.1495726495726,315975,78.6629722018911,466,16289,4.05519789286052
"remove_count_le_10","Remove count <=10","ASV","Forehead",602,34,5.64784053156146,389855,88.2006927460753,391,15717,3.55580994957116
"remove_count_le_10","Remove count <=10","Genus","Total",247,54,21.8623481781377,822530,97.4918542452154,95,3544,0.420059002644333
"remove_count_le_10","Remove count <=10","Genus","Antecubital",201,45,22.3880597014925,384237,95.6570122634323,77,2594,0.645784476277254
"remove_count_le_10","Remove count <=10","Genus","Forehead",154,26,16.8831168831169,430605,97.4199620369721,69,2017,0.456325549932241
"prevalence_ge_2","Prevalence >=2 samples","ASV","Total",608,119,19.5723684210526,731295,89.2045094145373,24,1290,0.157356220327984
"prevalence_ge_2","Prevalence >=2 samples","ASV","Antecubital",572,95,16.6083916083916,315975,81.2866429819123,97,3285,0.845087814528307
"prevalence_ge_2","Prevalence >=2 samples","ASV","Forehead",392,34,8.6734693877551,389855,90.437019664609,178,4764,1.10513386177476
"prevalence_ge_2","Prevalence >=2 samples","Genus","Total",135,47,34.8148148148148,806793,98.4138736954071,5,305,0.0372043776744458
"prevalence_ge_2","Prevalence >=2 samples","Genus","Antecubital",127,38,29.9212598425197,374683,96.3896613731841,16,400,0.102902625817754
"prevalence_ge_2","Prevalence >=2 samples","Genus","Forehead",100,24,24,424251,98.4160675885395,29,604,0.140113529074717
"prevalence_ge_5","Prevalence >=5 samples","ASV","Total",197,119,60.4060913705584,731295,95.5071000669978,0,0,0
"prevalence_ge_5","Prevalence >=5 samples","ASV","Antecubital",197,95,48.2233502538071,315975,91.2449861822214,3,94,0.0271446434089052
"prevalence_ge_5","Prevalence >=5 samples","ASV","Forehead",178,34,19.1011235955056,389855,92.9545259463429,29,811,0.193369638820803
"prevalence_ge_5","Prevalence >=5 samples","Genus","Total",53,37,69.811320754717,761613,99.4666297504104,0,0,0
"prevalence_ge_5","Prevalence >=5 samples","Genus","Antecubital",53,30,56.6037735849057,339732,98.1053616446189,1,46,0.0132835489022302
"prevalence_ge_5","Prevalence >=5 samples","Genus","Forehead",50,19,38,416064,99.2036318203927,7,130,0.0309963662721386
"prevalence_ge_10pct","Prevalence >=10% samples","ASV","Total",197,119,60.4060913705584,731295,95.5071000669978,0,0,0
"prevalence_ge_10pct","Prevalence >=10% samples","ASV","Antecubital",197,95,48.2233502538071,315975,91.2449861822214,3,94,0.0271446434089052
"prevalence_ge_10pct","Prevalence >=10% samples","ASV","Forehead",178,34,19.1011235955056,389855,92.9545259463429,29,811,0.193369638820803
"prevalence_ge_10pct","Prevalence >=10% samples","Genus","Total",53,37,69.811320754717,761613,99.4666297504104,0,0,0
"prevalence_ge_10pct","Prevalence >=10% samples","Genus","Antecubital",53,30,56.6037735849057,339732,98.1053616446189,1,46,0.0132835489022302
"prevalence_ge_10pct","Prevalence >=10% samples","Genus","Forehead",50,19,38,416064,99.2036318203927,7,130,0.0309963662721386
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","ASV","Total",82,61,74.390243902439,707499,95.5338696740636,2,1613,0.217804027686632
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","ASV","Antecubital",82,57,69.5121951219512,303318,91.5599587053774,3,1644,0.496259938782533
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","ASV","Forehead",65,26,40,388416,94.8985575231617,4,84,0.0205230444470505
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","Genus","Total",28,21,75,733248,99.0107673237246,2,1613,0.217804027686632
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","Genus","Antecubital",28,19,67.8571428571429,322047,97.2135185554127,2,1613,0.48690223920695
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","Genus","Forehead",24,15,62.5,408090,99.7053477190102,2,31,0.00757398068879246
"mean_abundance_ge_1pct","Mean abundance >=1%","ASV","Total",10,10,100,573798,100,0,0,0
"mean_abundance_ge_1pct","Mean abundance >=1%","ASV","Antecubital",10,8,80,206068,99.7468427956687,0,0,0
"mean_abundance_ge_1pct","Mean abundance >=1%","ASV","Forehead",10,8,80,365812,99.6201052812174,0,0,0
"mean_abundance_ge_1pct","Mean abundance >=1%","Genus","Total",7,7,100,573798,100,0,0,0
"mean_abundance_ge_1pct","Mean abundance >=1%","Genus","Antecubital",7,6,85.7142857142857,206406,99.91045108451,0,0,0
"mean_abundance_ge_1pct","Mean abundance >=1%","Genus","Forehead",7,6,85.7142857142857,366665,99.8523993278995,0,0,0
