"filter_id","filter","taxonomic_level","exclusive_type","exclusive_features","exclusive_read_pct","median_participant_prevalence","maximum_participant_prevalence"
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","ASV","Type 1",1,0.140566641551013,1,1
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","ASV","Type 4",1,0.0772373861356191,1,1
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","Genus","Type 1",1,0.140566641551013,1,1
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","Genus","Type 4",1,0.0772373861356191,1,1
"no_filter","No additional filter","ASV","Type 1",260,0.696925806440189,1,2
"no_filter","No additional filter","ASV","Type 2",240,0.450570088614872,1,2
"no_filter","No additional filter","ASV","Type 3",277,0.63766822601455,1,1
"no_filter","No additional filter","ASV","Type 4",282,0.771056803466686,1,2
"no_filter","No additional filter","ASV","Type 5",212,0.824884406403124,1,2
"no_filter","No additional filter","Genus","Type 1",30,0.1042319591949,1,2
"no_filter","No additional filter","Genus","Type 2",32,0.054771946847603,1,2
"no_filter","No additional filter","Genus","Type 3",31,0.0552441188031857,1,2
"no_filter","No additional filter","Genus","Type 4",27,0.0659860307926941,1,2
"no_filter","No additional filter","Genus","Type 5",27,0.0544178178809159,1,2
"prevalence_ge_2","Prevalence >=2 samples","ASV","Type 1",7,0.0295195390072652,1,2
"prevalence_ge_2","Prevalence >=2 samples","ASV","Type 2",2,0.00573313360884903,2,2
"prevalence_ge_2","Prevalence >=2 samples","ASV","Type 3",2,0.0115882487838438,1,1
"prevalence_ge_2","Prevalence >=2 samples","ASV","Type 4",8,0.0578192623530732,2,2
"prevalence_ge_2","Prevalence >=2 samples","ASV","Type 5",5,0.0526960365749528,1,2
"prevalence_ge_2","Prevalence >=2 samples","Genus","Type 1",1,0.00268359445520593,2,2
"prevalence_ge_2","Prevalence >=2 samples","Genus","Type 3",1,0.00951456215936648,1,1
"prevalence_ge_2","Prevalence >=2 samples","Genus","Type 4",3,0.0250062210598734,2,2
"remove_count_le_1","Remove count <=1","ASV","Type 1",250,0.695806977902757,1,2
"remove_count_le_1","Remove count <=1","ASV","Type 2",227,0.449075287401101,1,2
"remove_count_le_1","Remove count <=1","ASV","Type 3",255,0.63512750952101,1,1
"remove_count_le_1","Remove count <=1","ASV","Type 4",265,0.769118164410665,1,2
"remove_count_le_1","Remove count <=1","ASV","Type 5",199,0.823422747009116,1,2
"remove_count_le_1","Remove count <=1","Genus","Type 1",30,0.104005081020076,1,2
"remove_count_le_1","Remove count <=1","Genus","Type 2",34,0.0587906133348444,1,2
"remove_count_le_1","Remove count <=1","Genus","Type 3",31,0.055249010121902,1,2
"remove_count_le_1","Remove count <=1","Genus","Type 4",27,0.0695334764141031,1,2
"remove_count_le_1","Remove count <=1","Genus","Type 5",26,0.0543045825984507,1,2
"remove_count_le_10","Remove count <=10","ASV","Type 1",112,0.605553454997149,1,2
"remove_count_le_10","Remove count <=10","ASV","Type 2",121,0.374900289323935,1,2
"remove_count_le_10","Remove count <=10","ASV","Type 3",119,0.551386704373995,1,1
"remove_count_le_10","Remove count <=10","ASV","Type 4",162,0.697411730123944,1,2
"remove_count_le_10","Remove count <=10","ASV","Type 5",105,0.768172233673229,1,2
"remove_count_le_10","Remove count <=10","Genus","Type 1",13,0.0996810443633984,1,1
"remove_count_le_10","Remove count <=10","Genus","Type 2",27,0.093991757645868,1,2
"remove_count_le_10","Remove count <=10","Genus","Type 3",19,0.0650712168317547,1,1
"remove_count_le_10","Remove count <=10","Genus","Type 4",24,0.107740867213233,1,2
"remove_count_le_10","Remove count <=10","Genus","Type 5",12,0.0535741165900786,1,1
"remove_count_le_2","Remove count <=2","ASV","Type 1",235,0.692373267590933,1,2
"remove_count_le_2","Remove count <=2","ASV","Type 2",220,0.447492272198096,1,2
"remove_count_le_2","Remove count <=2","ASV","Type 3",231,0.629559048907717,1,1
"remove_count_le_2","Remove count <=2","ASV","Type 4",256,0.767112742076789,1,2
"remove_count_le_2","Remove count <=2","ASV","Type 5",188,0.820953500948117,1,2
"remove_count_le_2","Remove count <=2","Genus","Type 1",28,0.105083937270793,1,2
"remove_count_le_2","Remove count <=2","Genus","Type 2",34,0.0587997761357921,1,2
"remove_count_le_2","Remove count <=2","Genus","Type 3",27,0.0540769025505879,1,2
"remove_count_le_2","Remove count <=2","Genus","Type 4",27,0.0690720261836112,1,2
"remove_count_le_2","Remove count <=2","Genus","Type 5",25,0.057619057739491,1,2
