"Rank","Taxa","Type1","Type2","Type3","Type4","Type5","Average"
"Phylum","Actinobacteriota",58.14,67.04,59.72,52.1,62.96,59.99
"Phylum","Firmicutes",33.9,26.65,30.7,34.27,26.99,30.5
"Phylum","Proteobacteria",7.07,5.74,8.51,9.91,9.64,8.17
"Phylum","Others",0.89,0.58,1.07,3.72,0.4,1.33
"Genus","Staphylococcus",28.25,21.12,19.54,19.88,23.3,22.42
"Genus","Cutibacterium",31.6,19.23,19.93,17.43,18.98,21.43
"Genus","Corynebacterium",7.86,21.49,11.72,11.45,11.75,12.85
"Genus","Corynebacteriaceae_f",7.73,14.59,15.16,7.05,11.25,11.16
"Genus","Streptococcus",2.56,4.06,6.99,10.61,2.99,5.44
"Genus","Rothia",0.75,0.37,1.12,1.46,8.79,2.5
"Genus","Williamsia",3.26,1.57,1.19,3.71,2.59,2.46
"Genus","Gordonia",1.43,0.58,0.85,1.5,1.69,1.21
"Genus","Dietzia",1.28,0.89,0.56,1.56,0.9,1.04
"Genus","Neisseriaceae_f",0.14,0,0,0.04,0.09,0.05
"Genus","Others",15.14,16.1,22.94,25.32,17.67,19.44
"Species","Staphylococcus_g",28.25,21.12,19.54,19.88,23.3,22.42
"Species","Cutibacterium_g",31.6,19.23,19.93,17.43,18.98,21.43
"Species","Corynebacterium_g",7.86,21.49,11.72,11.45,11.75,12.85
"Species","Corynebacteriaceae_f",7.73,14.59,15.16,7.05,11.25,11.16
"Species","Streptococcus_g",2.56,4.06,6.99,10.61,2.99,5.44
"Species","Rothia_g",0.75,0.37,1.12,1.46,8.79,2.5
"Species","Williamsia_g",3.26,1.57,1.19,3.71,2.59,2.46
"Species","Gordonia_g",1.43,0.58,0.85,1.5,1.69,1.21
"Species","Dietzia_g",1.28,0.89,0.56,1.56,0.9,1.04
"Species","Neisseriaceae_f",0.14,0,0,0.04,0.09,0.05
"Species","Others",15.14,16.1,22.94,25.32,17.67,19.44
