"Rank","Taxa","Type1","Type2","Type3","Type4","Type5","Average"
"Phylum","Actinobacteriota",73.79,71.31,68.95,77.59,79.51,74.23
"Phylum","Proteobacteria",19.88,21.58,21.53,16.55,15.26,18.96
"Phylum","Firmicutes",5.19,5.8,8.88,5,4.97,5.97
"Phylum","Others",1.14,1.31,0.64,0.86,0.27,0.84
"Genus","Cutibacterium",59.08,51.84,49.8,61.06,69.34,58.22
"Genus","Neisseriaceae_f",17.68,19.82,19.42,15.76,12.14,16.97
"Genus","Staphylococcus",3.35,4.54,8.11,4.52,2.4,4.58
"Genus","Gordonia",4.93,3.91,5.08,4.69,0.4,3.8
"Genus","Corynebacterium",2.95,5.41,3.95,2.04,2.06,3.28
"Genus","Williamsia",2.46,3.6,4.3,4.46,0.72,3.11
"Genus","Corynebacteriaceae_f",1.18,1.95,1.66,1.17,1.72,1.54
"Genus","Dietzia",0.84,1.05,1.63,1.27,0.48,1.05
"Genus","Streptococcus",1.34,0.56,0.27,0.26,2.24,0.93
"Genus","Rothia",0.08,0.1,0.14,0.06,2.04,0.48
"Genus","Others",6.1,7.23,5.64,4.71,6.45,6.03
"Species","Cutibacterium_g",59.08,51.84,49.8,61.06,69.34,58.22
"Species","Neisseriaceae_f",17.68,19.82,19.42,15.76,12.14,16.97
"Species","Staphylococcus_g",3.35,4.54,8.11,4.52,2.4,4.58
"Species","Gordonia_g",4.93,3.91,5.08,4.69,0.4,3.8
"Species","Corynebacterium_g",2.95,5.41,3.95,2.04,2.06,3.28
"Species","Williamsia_g",2.46,3.6,4.3,4.46,0.72,3.11
"Species","Corynebacteriaceae_f",1.18,1.95,1.66,1.17,1.72,1.54
"Species","Dietzia_g",0.84,1.05,1.63,1.27,0.48,1.05
"Species","Streptococcus_g",1.34,0.56,0.27,0.26,2.24,0.93
"Species","Rothia_g",0.08,0.1,0.14,0.06,2.04,0.48
"Species","Others",6.1,7.23,5.64,4.71,6.45,6.03
