"Type 1","Type 2","Type 3","Type 4","Type 5","taxon_id","Genus"
TRUE,TRUE,FALSE,FALSE,FALSE,"2e914ff49c78ff61df377999bbc52463","Marmoricola"
TRUE,FALSE,FALSE,FALSE,FALSE,"ac4224d32dea1c7253ed5070a65a1b3e","Nocardioides"
FALSE,FALSE,FALSE,TRUE,TRUE,"37640dc68ceb2f67423497241ff862f3","Friedmanniella"
FALSE,FALSE,FALSE,TRUE,FALSE,"3859ddfb4885964844ff7ada513a2597","Microlunatus"
FALSE,FALSE,TRUE,FALSE,FALSE,"892feb56530bc24bd758934e83f18b92","Micropruina"
FALSE,FALSE,FALSE,FALSE,TRUE,"d8e59a58b1954757c26b879a9829c4a7","Tessaracoccus"
FALSE,FALSE,TRUE,TRUE,TRUE,"c14e1054ccbbabd5f6ed8a6dab092c54","Marinilutecoccus"
FALSE,FALSE,FALSE,TRUE,TRUE,"3270d6c06b6b0f0e2af3d81851a3993f","Scardovia"
FALSE,TRUE,FALSE,FALSE,FALSE,"e523791eca087d243d36477d28789915","Varibaculum"
TRUE,TRUE,TRUE,TRUE,FALSE,"39b80e4af59dd44a181b5a148a6f8a0d","Actinomycetaceae"
TRUE,TRUE,TRUE,TRUE,TRUE,"ada74c108a4de9611526f0c0c7ad4fc9","Actinomyces"
FALSE,FALSE,TRUE,FALSE,FALSE,"10338681707ca5771140ff6bd4937dd3","Georgenia"
FALSE,FALSE,FALSE,TRUE,FALSE,"668ddc46cdbec2642f49fddde18308d2","Propioniciclava"
TRUE,TRUE,TRUE,TRUE,TRUE,"856925f916eba95f669698c572f88d93","Propionibacteriaceae_f"
TRUE,TRUE,TRUE,TRUE,TRUE,"2c38d9d5742202da694d4721608fd637","Cutibacterium"
TRUE,TRUE,TRUE,TRUE,FALSE,"01cef7193e22002921dd48ed9ba9882b","Antricoccus"
TRUE,TRUE,TRUE,TRUE,FALSE,"30e001262d5e22bc9879c1a6b14058cc","Nakamurella"
FALSE,FALSE,TRUE,FALSE,FALSE,"f86053770615e8c2bed9d08c8218914b","Nocardiopsis"
FALSE,FALSE,TRUE,FALSE,FALSE,"0246880f263e5f9d050691d5c089a905","Jiangella"
FALSE,TRUE,FALSE,TRUE,FALSE,"fd06b5bd8feab452ba90c4c2eb3729ac","Micromonosporaceae_f"
FALSE,TRUE,FALSE,FALSE,FALSE,"2e728bead79d32a1b0788c8f2d3d8420","Babeliaceae"
TRUE,FALSE,FALSE,FALSE,FALSE,"11aa9d4b0a51ee2a4e2a067c3db710f6","JGI_0001001-H03"
TRUE,FALSE,FALSE,FALSE,FALSE,"34085f1836e0fbc2e8a1843a65e93757","Oscillibacter"
FALSE,TRUE,FALSE,FALSE,FALSE,"92201a0da9fc3ee6db6f359cdc9ae158","Colidextribacter"
FALSE,TRUE,FALSE,FALSE,FALSE,"2e9cafa6d587316096144e3d099fb30a","Incertae_Sedis"
FALSE,FALSE,FALSE,FALSE,TRUE,"ca9f4bee4554e862e06ba4c488055776","Christensenellaceae_R-7_group"
TRUE,FALSE,TRUE,FALSE,FALSE,"a0cd40d7714e666b1d764840b3cdf319","Clostridia_UCG-014"
TRUE,FALSE,FALSE,FALSE,FALSE,"7b789ab34a526249c04870ec1e3b14fb","Stomatobaculum"
FALSE,TRUE,FALSE,TRUE,TRUE,"17a056ac493560449848261b2f51d68f","Oribacterium"
TRUE,TRUE,FALSE,TRUE,FALSE,"27325c30c47914898ef234447825ab83","Lachnospiraceae_f"
TRUE,TRUE,TRUE,TRUE,FALSE,"0cdb0219ef84707001971bd8592d6a11","Lachnospiraceae_NK4A136_group"
TRUE,TRUE,FALSE,FALSE,FALSE,"69ff34f58e584c0b1b02a7bcfdf855fd","Lachnoanaerobaculum"
TRUE,TRUE,TRUE,TRUE,TRUE,"72558b780028629aa73abc3c75849338","Anaerococcus"
FALSE,FALSE,TRUE,FALSE,FALSE,"15287379f901b0787b04f6432a2f8bcf","Fenollaria"
TRUE,TRUE,TRUE,TRUE,TRUE,"f3c298b72522fa8756d13ae50332f012","Finegoldia"
TRUE,FALSE,TRUE,TRUE,TRUE,"f62c486b44892e1e1254d83edcef4f0b","Parvimonas"
FALSE,TRUE,FALSE,FALSE,FALSE,"545e02d32bf168637a36e7689eb58894","Ezakiella"
TRUE,FALSE,FALSE,FALSE,FALSE,"3647fcaddec766838b3532f38d53e49b","Family_XI_f"
FALSE,TRUE,FALSE,TRUE,FALSE,"029c76efcff7044afc7a4d56e859c483","Tissierella"
TRUE,TRUE,TRUE,TRUE,TRUE,"e7a499f9a323eb7371e4433ae24c2ba5","Peptoniphilus"
TRUE,TRUE,TRUE,TRUE,TRUE,"fe3c004d8197f1b22882116b5be2deda","Mogibacterium"
