"Type 1","Type 2","Type 3","Type 4","Type 5","taxon_id","Genus"
FALSE,FALSE,FALSE,FALSE,TRUE,"3859ddfb4885964844ff7ada513a2597","Microlunatus"
FALSE,FALSE,FALSE,TRUE,FALSE,"892feb56530bc24bd758934e83f18b92","Micropruina"
FALSE,FALSE,FALSE,FALSE,TRUE,"c456d3718aa91dcf3ef7d19a8499d593","Naumannella"
TRUE,FALSE,TRUE,TRUE,TRUE,"c14e1054ccbbabd5f6ed8a6dab092c54","Marinilutecoccus"
FALSE,FALSE,TRUE,FALSE,FALSE,"5d3f0656e47a33688c5d82c089cee67a","Mobiluncus"
TRUE,FALSE,FALSE,FALSE,FALSE,"39b80e4af59dd44a181b5a148a6f8a0d","Actinomycetaceae"
TRUE,TRUE,TRUE,FALSE,TRUE,"ada74c108a4de9611526f0c0c7ad4fc9","Actinomyces"
FALSE,TRUE,FALSE,FALSE,FALSE,"10338681707ca5771140ff6bd4937dd3","Georgenia"
TRUE,TRUE,TRUE,TRUE,TRUE,"856925f916eba95f669698c572f88d93","Propionibacteriaceae_f"
TRUE,TRUE,TRUE,TRUE,TRUE,"2c38d9d5742202da694d4721608fd637","Cutibacterium"
FALSE,TRUE,FALSE,FALSE,FALSE,"e8a982d893c071c22434b8c9bdcaa162","Propionibacterium"
FALSE,FALSE,FALSE,FALSE,TRUE,"82e8fc4d3afec356107df3637c36de02","Pseudopropionibacterium"
TRUE,TRUE,TRUE,TRUE,TRUE,"01cef7193e22002921dd48ed9ba9882b","Antricoccus"
FALSE,TRUE,FALSE,TRUE,FALSE,"30e001262d5e22bc9879c1a6b14058cc","Nakamurella"
FALSE,TRUE,FALSE,FALSE,FALSE,"963569a5bb9a8b1e06a8096993b64a24","Acidobacteriaceae_(Subgroup_1)_f"
FALSE,TRUE,FALSE,FALSE,FALSE,"11aa9d4b0a51ee2a4e2a067c3db710f6","JGI_0001001-H03"
FALSE,FALSE,TRUE,FALSE,FALSE,"5cbed13e671ef6879845c96f0efcfcae","Aridibacter"
TRUE,FALSE,TRUE,FALSE,FALSE,"c67f047c0ed1a8beade5ac9b982881e5","Oscillospiraceae_f"
FALSE,TRUE,FALSE,FALSE,TRUE,"f7c6068b3dede3a9d48719319aa5cc1e","Dorea"
FALSE,FALSE,TRUE,FALSE,FALSE,"0cdb0219ef84707001971bd8592d6a11","Lachnospiraceae_NK4A136_group"
FALSE,TRUE,FALSE,FALSE,FALSE,"69ff34f58e584c0b1b02a7bcfdf855fd","Lachnoanaerobaculum"
TRUE,TRUE,TRUE,TRUE,TRUE,"72558b780028629aa73abc3c75849338","Anaerococcus"
TRUE,TRUE,TRUE,TRUE,TRUE,"f3c298b72522fa8756d13ae50332f012","Finegoldia"
FALSE,TRUE,FALSE,FALSE,TRUE,"f62c486b44892e1e1254d83edcef4f0b","Parvimonas"
FALSE,FALSE,TRUE,FALSE,FALSE,"545e02d32bf168637a36e7689eb58894","Ezakiella"
FALSE,FALSE,TRUE,FALSE,FALSE,"3647fcaddec766838b3532f38d53e49b","Family_XI_f"
TRUE,TRUE,TRUE,TRUE,TRUE,"e7a499f9a323eb7371e4433ae24c2ba5","Peptoniphilus"
FALSE,FALSE,TRUE,TRUE,FALSE,"ff4a81e61c87662b972b90e3ab36e375","[Eubacterium]_saphenum_group"
TRUE,TRUE,TRUE,FALSE,FALSE,"fe3c004d8197f1b22882116b5be2deda","Mogibacterium"
FALSE,FALSE,TRUE,FALSE,FALSE,"bd70ff86d44ce073392ba44cc682ed77","S5-A14a"
TRUE,FALSE,TRUE,FALSE,FALSE,"21aa4b4f658decb90eb33740ce2886c0","[Eubacterium]_brachy_group"
FALSE,TRUE,TRUE,FALSE,FALSE,"a13dce895add088f18d0e430280854b1","Romboutsia"
FALSE,FALSE,TRUE,FALSE,FALSE,"ca98c2f71fa7860e8be3b69cc0e6c6c1","Peptostreptococcaceae_f"
TRUE,FALSE,TRUE,TRUE,FALSE,"94280c1f9f716fbaaac5ea7d1925a3ac","Peptostreptococcus"
