"Rank","Taxa","Mean_cutoff"
"Phylum","Actinobacteriota",">1%"
"Phylum","Firmicutes",">1%"
"Phylum","Proteobacteria",">1%"
"Genus","Cutibacterium",">1%"
"Genus","Streptococcus",">1%"
"Genus","Staphylococcus",">1%"
"Genus","Neisseriaceae_f",">1%"
"Genus","Rothia",">1%"
"Genus","Williamsia",">1%"
"Genus","Gordonia",">1%"
"Genus","Dietzia",">1%"
"Genus","Corynebacteriaceae_f",">1%"
"Genus","Corynebacterium",">1%"
"Species","Cutibacterium_g",">1%"
"Species","Streptococcus_g",">1%"
"Species","Staphylococcus_g",">1%"
"Species","Neisseriaceae_f",">1%"
"Species","Rothia_g",">1%"
"Species","Williamsia_g",">1%"
"Species","Gordonia_g",">1%"
"Species","Dietzia_g",">1%"
"Species","Corynebacteriaceae_f",">1%"
"Species","Corynebacterium_g",">1%"
