"omitted_participant","distance","variable","n_samples","n_participants","df","pseudo_F","R2","p_value","permutations","permutation_scheme"
"S001","weighted_unifrac","subject_id",40,4,3,8.65885337431635,0.419135235505436,1e-04,9999,"unrestricted"
"S001","weighted_unifrac","site_group",40,4,1,7.41758443737974,0.163319659758807,1e-04,9999,"restricted within participant"
"S001","weighted_unifrac","swab_type2",40,4,4,0.117906386187324,0.0132958537283361,0.9997,9999,"restricted within participant"
"S001","unweighted_unifrac","subject_id",40,4,3,4.14998053594542,0.256965048763291,1e-04,9999,"unrestricted"
"S001","unweighted_unifrac","site_group",40,4,1,1.94465156792213,0.0486836532949959,0.0051,9999,"restricted within participant"
"S001","unweighted_unifrac","swab_type2",40,4,4,0.669396675478159,0.0710657697664249,0.8265,9999,"restricted within participant"
"S001","bray_curtis","subject_id",40,4,3,7.65685926197101,0.389526076364819,1e-04,9999,"unrestricted"
"S001","bray_curtis","site_group",40,4,1,5.05676082421559,0.11744406052421,1e-04,9999,"restricted within participant"
"S001","bray_curtis","swab_type2",40,4,4,0.33903744412314,0.0373017985906041,0.9969,9999,"restricted within participant"
"S002","weighted_unifrac","subject_id",40,4,3,9.10311108058797,0.43136346322707,1e-04,9999,"unrestricted"
"S002","weighted_unifrac","site_group",40,4,1,7.08516304673833,0.15715065817536,1e-04,9999,"restricted within participant"
"S002","weighted_unifrac","swab_type2",40,4,4,0.154498129166105,0.0173505712421969,0.9992,9999,"restricted within participant"
"S002","unweighted_unifrac","subject_id",40,4,3,4.52530611803363,0.273840985801484,1e-04,9999,"unrestricted"
"S002","unweighted_unifrac","site_group",40,4,1,1.93706732349131,0.0485029936675374,0.004,9999,"restricted within participant"
"S002","unweighted_unifrac","swab_type2",40,4,4,0.652831823867021,0.0694292779128465,0.8374,9999,"restricted within participant"
"S002","bray_curtis","subject_id",40,4,3,7.54775327124756,0.386118709731692,1e-04,9999,"unrestricted"
"S002","bray_curtis","site_group",40,4,1,5.24325459757839,0.121250230732448,1e-04,9999,"restricted within participant"
"S002","bray_curtis","swab_type2",40,4,4,0.338748829935991,0.03727122800668,0.9959,9999,"restricted within participant"
"S003","weighted_unifrac","subject_id",40,4,3,8.71531566639621,0.420718458108459,1e-04,9999,"unrestricted"
"S003","weighted_unifrac","site_group",40,4,1,12.1389497314419,0.242106182847098,1e-04,9999,"restricted within participant"
"S003","weighted_unifrac","swab_type2",40,4,4,0.184855055899195,0.0206892058956396,0.9963,9999,"restricted within participant"
"S003","unweighted_unifrac","subject_id",40,4,3,4.51250662009842,0.273278111186703,1e-04,9999,"unrestricted"
"S003","unweighted_unifrac","site_group",40,4,1,2.24212693898336,0.0557159153735328,0.002,9999,"restricted within participant"
"S003","unweighted_unifrac","swab_type2",40,4,4,0.642629476730207,0.0684184847621521,0.8671,9999,"restricted within participant"
"S003","bray_curtis","subject_id",40,4,3,7.71980395000824,0.391474680457207,1e-04,9999,"unrestricted"
"S003","bray_curtis","site_group",40,4,1,6.42115205755832,0.144551677751135,1e-04,9999,"restricted within participant"
"S003","bray_curtis","swab_type2",40,4,4,0.366958449993397,0.0402500956877414,0.9938,9999,"restricted within participant"
"S004","weighted_unifrac","subject_id",40,4,3,8.49243683327496,0.41441810470706,1e-04,9999,"unrestricted"
"S004","weighted_unifrac","site_group",40,4,1,10.3292666029829,0.213726947024381,1e-04,9999,"restricted within participant"
"S004","weighted_unifrac","swab_type2",40,4,4,0.188747196901066,0.0211156208743102,0.9943,9999,"restricted within participant"
"S004","unweighted_unifrac","subject_id",40,4,3,2.23400528939201,0.156948465591545,7e-04,9999,"unrestricted"
"S004","unweighted_unifrac","site_group",40,4,1,4.07146963479094,0.0967750751312961,7e-04,9999,"restricted within participant"
"S004","unweighted_unifrac","swab_type2",40,4,4,0.724154329472852,0.076434719584428,0.8533,9999,"restricted within participant"
"S004","bray_curtis","subject_id",40,4,3,6.88412038348063,0.364545461672797,1e-04,9999,"unrestricted"
"S004","bray_curtis","site_group",40,4,1,6.73898922971055,0.150629000470026,1e-04,9999,"restricted within participant"
"S004","bray_curtis","swab_type2",40,4,4,0.372321569962298,0.0408143439262508,0.9815,9999,"restricted within participant"
"S005","weighted_unifrac","subject_id",40,4,3,10.7209541470079,0.47185316592084,1e-04,9999,"unrestricted"
"S005","weighted_unifrac","site_group",40,4,1,8.45879145739692,0.182070845840958,1e-04,9999,"restricted within participant"
"S005","weighted_unifrac","swab_type2",40,4,4,0.235019664899243,0.026156833670311,0.9767,9999,"restricted within participant"
"S005","unweighted_unifrac","subject_id",40,4,3,4.63167283690477,0.278485085795299,1e-04,9999,"unrestricted"
"S005","unweighted_unifrac","site_group",40,4,1,5.24090593552215,0.121202500783333,1e-04,9999,"restricted within participant"
"S005","unweighted_unifrac","swab_type2",40,4,4,0.626446624099592,0.0668106639128604,0.8522,9999,"restricted within participant"
"S005","bray_curtis","subject_id",40,4,3,9.12373431580815,0.431918626669164,1e-04,9999,"unrestricted"
"S005","bray_curtis","site_group",40,4,1,5.8199815559739,0.13281570072182,1e-04,9999,"restricted within participant"
"S005","bray_curtis","swab_type2",40,4,4,0.301181135485387,0.0332753406408583,0.994,9999,"restricted within participant"
