"omitted_participant","distance","variable","n_samples","F","p_value","permutations","permutation_scheme"
"S001","weighted_unifrac","swab_type2",40,0.110198029346766,0.9769,9999,"restricted within participant"
"S001","unweighted_unifrac","swab_type2",40,0.160982548070234,0.9258,9999,"restricted within participant"
"S001","bray_curtis","swab_type2",40,0.2239428411208,0.8711,9999,"restricted within participant"
"S002","weighted_unifrac","swab_type2",40,0.0185004642357596,0.9995,9999,"restricted within participant"
"S002","unweighted_unifrac","swab_type2",40,0.339324413879354,0.7401,9999,"restricted within participant"
"S002","bray_curtis","swab_type2",40,0.240547303354679,0.8505,9999,"restricted within participant"
"S003","weighted_unifrac","swab_type2",40,0.222046354099456,0.9049,9999,"restricted within participant"
"S003","unweighted_unifrac","swab_type2",40,0.121802737289277,0.9593,9999,"restricted within participant"
"S003","bray_curtis","swab_type2",40,0.202025688061463,0.8439,9999,"restricted within participant"
"S004","weighted_unifrac","swab_type2",40,0.107484101078066,0.972,9999,"restricted within participant"
"S004","unweighted_unifrac","swab_type2",40,0.122341214856871,0.9791,9999,"restricted within participant"
"S004","bray_curtis","swab_type2",40,0.230881773937861,0.7652,9999,"restricted within participant"
"S005","weighted_unifrac","swab_type2",40,0.0455169407746305,0.9917,9999,"restricted within participant"
"S005","unweighted_unifrac","swab_type2",40,0.137839057850139,0.9304,9999,"restricted within participant"
"S005","bray_curtis","swab_type2",40,0.214448234057825,0.6564,9999,"restricted within participant"
