"sample_1","sample_2","dissimilarity","distance","subject_1","site_1","system_1","subject_2","site_2","system_2","comparison"
"001AcCUSw","001AcLUSw_3",0.161679093345338,"weighted_unifrac","S001","Antecubital","Eswab","S001","Antecubital","Puritan_buffer","Within participant-site: different systems"
"001AcCUSw","001AcLUSw_4",0.225156265976609,"weighted_unifrac","S001","Antecubital","Eswab","S001","Antecubital","Omni","Within participant-site: different systems"
"001AcLUSw_3","001AcLUSw_4",0.0922195304361873,"weighted_unifrac","S001","Antecubital","Puritan_buffer","S001","Antecubital","Omni","Within participant-site: different systems"
"001AcCUSw","001AcRUSw_1",0.285287002932999,"weighted_unifrac","S001","Antecubital","Eswab","S001","Antecubital","Copan","Within participant-site: different systems"
"001AcLUSw_3","001AcRUSw_1",0.267077181959976,"weighted_unifrac","S001","Antecubital","Puritan_buffer","S001","Antecubital","Copan","Within participant-site: different systems"
"001AcLUSw_4","001AcRUSw_1",0.220767378315188,"weighted_unifrac","S001","Antecubital","Omni","S001","Antecubital","Copan","Within participant-site: different systems"
"001AcCUSw","001AcRUSw_2",0.228454539048903,"weighted_unifrac","S001","Antecubital","Eswab","S001","Antecubital","Puritan_gel","Within participant-site: different systems"
"001AcLUSw_3","001AcRUSw_2",0.282566456738188,"weighted_unifrac","S001","Antecubital","Puritan_buffer","S001","Antecubital","Puritan_gel","Within participant-site: different systems"
"001AcLUSw_4","001AcRUSw_2",0.342518193157691,"weighted_unifrac","S001","Antecubital","Omni","S001","Antecubital","Puritan_gel","Within participant-site: different systems"
"001AcRUSw_1","001AcRUSw_2",0.395106842403427,"weighted_unifrac","S001","Antecubital","Copan","S001","Antecubital","Puritan_gel","Within participant-site: different systems"
"001AcCUSw","001FhCUSw",0.492905141598109,"weighted_unifrac","S001","Antecubital","Eswab","S001","Forehead","Eswab","Within participant: different sites, same system"
"001AcLUSw_3","001FhLUSw_3",0.417783183708329,"weighted_unifrac","S001","Antecubital","Puritan_buffer","S001","Forehead","Puritan_buffer","Within participant: different sites, same system"
"001FhCUSw","001FhLUSw_3",0.0814361638989563,"weighted_unifrac","S001","Forehead","Eswab","S001","Forehead","Puritan_buffer","Within participant-site: different systems"
"001AcLUSw_4","001FhLUSw_4",0.337860306349372,"weighted_unifrac","S001","Antecubital","Omni","S001","Forehead","Omni","Within participant: different sites, same system"
"001FhCUSw","001FhLUSw_4",0.113435947867251,"weighted_unifrac","S001","Forehead","Eswab","S001","Forehead","Omni","Within participant-site: different systems"
"001FhLUSw_3","001FhLUSw_4",0.0359455538497386,"weighted_unifrac","S001","Forehead","Puritan_buffer","S001","Forehead","Omni","Within participant-site: different systems"
"001AcRUSw_1","001FhRUSw_1",0.216436217869065,"weighted_unifrac","S001","Antecubital","Copan","S001","Forehead","Copan","Within participant: different sites, same system"
"001FhCUSw","001FhRUSw_1",0.0286655503777923,"weighted_unifrac","S001","Forehead","Eswab","S001","Forehead","Copan","Within participant-site: different systems"
"001FhLUSw_3","001FhRUSw_1",0.0538668813431062,"weighted_unifrac","S001","Forehead","Puritan_buffer","S001","Forehead","Copan","Within participant-site: different systems"
"001FhLUSw_4","001FhRUSw_1",0.0861106982276852,"weighted_unifrac","S001","Forehead","Omni","S001","Forehead","Copan","Within participant-site: different systems"
"001AcRUSw_2","001FhRUSw_2",0.542312860087691,"weighted_unifrac","S001","Antecubital","Puritan_gel","S001","Forehead","Puritan_gel","Within participant: different sites, same system"
"001FhCUSw","001FhRUSw_2",0.0574017340499522,"weighted_unifrac","S001","Forehead","Eswab","S001","Forehead","Puritan_gel","Within participant-site: different systems"
"001FhLUSw_3","001FhRUSw_2",0.0257048027444504,"weighted_unifrac","S001","Forehead","Puritan_buffer","S001","Forehead","Puritan_gel","Within participant-site: different systems"
"001FhLUSw_4","001FhRUSw_2",0.0584173744049389,"weighted_unifrac","S001","Forehead","Omni","S001","Forehead","Puritan_gel","Within participant-site: different systems"
"001FhRUSw_1","001FhRUSw_2",0.0296086064948578,"weighted_unifrac","S001","Forehead","Copan","S001","Forehead","Puritan_gel","Within participant-site: different systems"
"001AcCUSw","002AcCUSw",0.299443440463737,"weighted_unifrac","S001","Antecubital","Eswab","S002","Antecubital","Eswab","Between participants: same site and system"
"001AcLUSw_3","002AcLUSw_3",0.16077661998374,"weighted_unifrac","S001","Antecubital","Puritan_buffer","S002","Antecubital","Puritan_buffer","Between participants: same site and system"
"002AcCUSw","002AcLUSw_3",0.306369358299643,"weighted_unifrac","S002","Antecubital","Eswab","S002","Antecubital","Puritan_buffer","Within participant-site: different systems"
"001AcLUSw_4","002AcLUSw_4",0.373696002582929,"weighted_unifrac","S001","Antecubital","Omni","S002","Antecubital","Omni","Between participants: same site and system"
"002AcCUSw","002AcLUSw_4",0.425868160121413,"weighted_unifrac","S002","Antecubital","Eswab","S002","Antecubital","Omni","Within participant-site: different systems"
"002AcLUSw_3","002AcLUSw_4",0.350117371010535,"weighted_unifrac","S002","Antecubital","Puritan_buffer","S002","Antecubital","Omni","Within participant-site: different systems"
"001AcRUSw_1","002AcRUSw_1",0.109339626678263,"weighted_unifrac","S001","Antecubital","Copan","S002","Antecubital","Copan","Between participants: same site and system"
"002AcCUSw","002AcRUSw_1",0.309764506836298,"weighted_unifrac","S002","Antecubital","Eswab","S002","Antecubital","Copan","Within participant-site: different systems"
"002AcLUSw_3","002AcRUSw_1",0.164746112986712,"weighted_unifrac","S002","Antecubital","Puritan_buffer","S002","Antecubital","Copan","Within participant-site: different systems"
"002AcLUSw_4","002AcRUSw_1",0.428504674121927,"weighted_unifrac","S002","Antecubital","Omni","S002","Antecubital","Copan","Within participant-site: different systems"
"001AcRUSw_2","002AcRUSw_2",0.348645596654979,"weighted_unifrac","S001","Antecubital","Puritan_gel","S002","Antecubital","Puritan_gel","Between participants: same site and system"
"002AcCUSw","002AcRUSw_2",0.272582963719516,"weighted_unifrac","S002","Antecubital","Eswab","S002","Antecubital","Puritan_gel","Within participant-site: different systems"
"002AcLUSw_3","002AcRUSw_2",0.0967095473110671,"weighted_unifrac","S002","Antecubital","Puritan_buffer","S002","Antecubital","Puritan_gel","Within participant-site: different systems"
"002AcLUSw_4","002AcRUSw_2",0.413041114347987,"weighted_unifrac","S002","Antecubital","Omni","S002","Antecubital","Puritan_gel","Within participant-site: different systems"
