"distance","block","subject_id","site_group","median_within_block_distance"
"bray_curtis","S001__Antecubital","S001","Antecubital",0.393209666439755
"bray_curtis","S001__Forehead","S001","Forehead",0.0560755616065351
"bray_curtis","S002__Antecubital","S002","Antecubital",0.500765827093261
"bray_curtis","S002__Forehead","S002","Forehead",0.0573519400953029
"bray_curtis","S003__Antecubital","S003","Antecubital",0.531739278420694
"bray_curtis","S003__Forehead","S003","Forehead",0.19213750850919
"bray_curtis","S004__Antecubital","S004","Antecubital",0.631892443839347
"bray_curtis","S004__Forehead","S004","Forehead",0.357811436351259
"bray_curtis","S005__Antecubital","S005","Antecubital",0.50068073519401
"bray_curtis","S005__Forehead","S005","Forehead",0.589091218515997
"unweighted_unifrac","S001__Antecubital","S001","Antecubital",0.518533632856839
"unweighted_unifrac","S001__Forehead","S001","Forehead",0.528036969492923
"unweighted_unifrac","S002__Antecubital","S002","Antecubital",0.616925988094071
"unweighted_unifrac","S002__Forehead","S002","Forehead",0.492394739444848
"unweighted_unifrac","S003__Antecubital","S003","Antecubital",0.655170504228565
"unweighted_unifrac","S003__Forehead","S003","Forehead",0.534606403470264
"unweighted_unifrac","S004__Antecubital","S004","Antecubital",0.50889996836587
"unweighted_unifrac","S004__Forehead","S004","Forehead",0.554685851596869
"unweighted_unifrac","S005__Antecubital","S005","Antecubital",0.671014764431405
"unweighted_unifrac","S005__Forehead","S005","Forehead",0.621512632079722
"weighted_unifrac","S001__Antecubital","S001","Antecubital",0.24776586050444
"weighted_unifrac","S001__Forehead","S001","Forehead",0.0556343076965292
"weighted_unifrac","S002__Antecubital","S002","Antecubital",0.30806693256797
"weighted_unifrac","S002__Forehead","S002","Forehead",0.0755195754470304
"weighted_unifrac","S003__Antecubital","S003","Antecubital",0.225066114018803
"weighted_unifrac","S003__Forehead","S003","Forehead",0.123342052675238
"weighted_unifrac","S004__Antecubital","S004","Antecubital",0.219627629214354
"weighted_unifrac","S004__Forehead","S004","Forehead",0.204498584784844
"weighted_unifrac","S005__Antecubital","S005","Antecubital",0.0989257705796479
"weighted_unifrac","S005__Forehead","S005","Forehead",0.297171530984728
