"taxonomic_level","subject_id","site_group","systems_present","union_features","shared_all_five_features","intersection_over_union","shared_all_five_read_pct"
"ASV","S001","Antecubital",5,234,31,0.132478632478632,90.1576966980933
"ASV","S001","Forehead",5,66,8,0.121212121212121,98.078952216658
"ASV","S002","Antecubital",5,332,14,0.0421686746987952,80.1522676280031
"ASV","S002","Forehead",5,53,3,0.0566037735849057,98.0082161085522
"ASV","S003","Antecubital",5,290,5,0.0172413793103448,46.2187811314819
"ASV","S003","Forehead",5,56,2,0.0357142857142857,91.8305663848614
"ASV","S004","Antecubital",5,652,38,0.0582822085889571,53.473188150055
"ASV","S004","Forehead",5,446,24,0.0538116591928251,79.192669985742
"ASV","S005","Antecubital",5,129,7,0.0542635658914729,74.2320306273111
"ASV","S005","Forehead",5,284,6,0.0211267605633803,57.166218777993
"Genus","S001","Antecubital",5,82,11,0.134146341463415,98.1038346087177
"Genus","S001","Forehead",5,21,6,0.285714285714286,99.7772455490981
"Genus","S002","Antecubital",5,104,11,0.105769230769231,94.888698414299
"Genus","S002","Forehead",5,18,5,0.277777777777778,99.7572513382298
"Genus","S003","Antecubital",5,94,7,0.074468085106383,81.2573186290788
"Genus","S003","Forehead",5,25,3,0.12,96.9862893687853
"Genus","S004","Antecubital",5,185,35,0.189189189189189,82.2863252299197
"Genus","S004","Forehead",5,161,18,0.111801242236025,90.779047752612
"Genus","S005","Antecubital",5,44,3,0.0681818181818182,95.3431852926189
"Genus","S005","Forehead",5,99,7,0.0707070707070707,88.7954919484199
