"threshold","threshold_numeric","contaminant_asvs","true_asvs_before_singleton","true_asvs_after_singleton","true_reads","true_reads_retained_pct","control_reads","control_reads_retained_pct","samples_below_5876","samples_available_at_5876","minimum_true_sample_depth"
"None",0,0,1956,1881,924394,100,90999,100,0,50,6422
"0.1",0.1,61,1901,1826,894199,96.7335357001452,34884,38.3344871921669,0,50,6363
"0.2",0.2,90,1872,1797,880763,95.2800429254193,23415,25.7310519895823,0,50,6100
"0.3",0.3,96,1866,1791,872654,94.4028195769337,22849,25.1090671326059,0,50,6100
"0.4",0.4,104,1858,1783,849590,91.9077795831648,22302,24.5079616259519,0,50,5995
"0.5",0.5,107,1855,1780,847149,91.6437146930854,22133,24.3222452993989,0,50,5876
"0.6",0.6,339,1623,1548,454177,49.1324045807307,8228,9.0418576028308,17,33,158
"0.7",0.7,562,1400,1325,398879,43.1503233469711,8228,9.0418576028308,18,32,151
"0.8",0.8,639,1323,1248,326978,35.3721465089561,7512,8.25503576962384,20,30,143
"0.9",0.9,695,1267,1192,188536,20.3956321655052,7512,8.25503576962384,36,14,46
