"sample_name","threshold","threshold_numeric","reads_before","reads_after","reads_removed","removed_pct","subject_id","site_group","swab_type2","control_status"
"001AcCUSw","None",0,18641,18641,0,0,"S001","Antecubital","Eswab","sample"
"001AcLUSw_3","None",0,18155,18155,0,0,"S001","Antecubital","Puritan_buffer","sample"
"001AcLUSw_4","None",0,19841,19841,0,0,"S001","Antecubital","Omni","sample"
"001AcRUSw_1","None",0,23169,23169,0,0,"S001","Antecubital","Copan","sample"
"001AcRUSw_2","None",0,16556,16556,0,0,"S001","Antecubital","Puritan_gel","sample"
"001FhCUSw","None",0,21239,21239,0,0,"S001","Forehead","Eswab","sample"
"001FhLUSw_3","None",0,24471,24471,0,0,"S001","Forehead","Puritan_buffer","sample"
"001FhLUSw_4","None",0,15080,15080,0,0,"S001","Forehead","Omni","sample"
"001FhRUSw_1","None",0,31711,31711,0,0,"S001","Forehead","Copan","sample"
"001FhRUSw_2","None",0,26963,26963,0,0,"S001","Forehead","Puritan_gel","sample"
"001NCXUSw","None",0,21949,21949,0,0,"Control","NC","Copan","control"
"002AcCUSw","None",0,8182,8182,0,0,"S002","Antecubital","Eswab","sample"
"002AcLUSw_3","None",0,23229,23229,0,0,"S002","Antecubital","Puritan_buffer","sample"
"002AcLUSw_4","None",0,6705,6705,0,0,"S002","Antecubital","Omni","sample"
"002AcRUSw_1","None",0,22930,22930,0,0,"S002","Antecubital","Copan","sample"
"002AcRUSw_2","None",0,20552,20552,0,0,"S002","Antecubital","Puritan_gel","sample"
"002FhCUSw","None",0,18372,18372,0,0,"S002","Forehead","Eswab","sample"
"002FhLUSw_3","None",0,19696,19696,0,0,"S002","Forehead","Puritan_buffer","sample"
"002FhLUSw_4","None",0,20113,20113,0,0,"S002","Forehead","Omni","sample"
"002FhRUSw_1","None",0,12350,12350,0,0,"S002","Forehead","Copan","sample"
"002FhRUSw_2","None",0,25944,25944,0,0,"S002","Forehead","Puritan_gel","sample"
"002NCXUSw","None",0,23836,23836,0,0,"Control","NC","Puritan_gel","control"
"003AcCUSw","None",0,13439,13439,0,0,"S003","Antecubital","Eswab","sample"
"003AcLUSw_3","None",0,6422,6422,0,0,"S003","Antecubital","Puritan_buffer","sample"
"003AcLUSw_4","None",0,18541,18541,0,0,"S003","Antecubital","Omni","sample"
"003AcRUSw_1","None",0,15562,15562,0,0,"S003","Antecubital","Copan","sample"
"003AcRUSw_2","None",0,7635,7635,0,0,"S003","Antecubital","Puritan_gel","sample"
"003FhCUSw","None",0,8249,8249,0,0,"S003","Forehead","Eswab","sample"
"003FhLUSw_3","None",0,18909,18909,0,0,"S003","Forehead","Puritan_buffer","sample"
"003FhLUSw_4","None",0,14961,14961,0,0,"S003","Forehead","Omni","sample"
"003FhRUSw_1","None",0,11048,11048,0,0,"S003","Forehead","Copan","sample"
"003FhRUSw_2","None",0,14496,14496,0,0,"S003","Forehead","Puritan_gel","sample"
"003NCXUSw","None",0,16784,16784,0,0,"Control","NC","Puritan_buffer","control"
"004AcCUSw","None",0,19097,19097,0,0,"S004","Antecubital","Eswab","sample"
"004AcLUSw_3","None",0,23544,23544,0,0,"S004","Antecubital","Puritan_buffer","sample"
"004AcLUSw_4","None",0,26755,26755,0,0,"S004","Antecubital","Omni","sample"
"004AcRUSw_1","None",0,21430,21430,0,0,"S004","Antecubital","Copan","sample"
"004AcRUSw_2","None",0,23333,23333,0,0,"S004","Antecubital","Puritan_gel","sample"
"004FhCUSw","None",0,21899,21899,0,0,"S004","Forehead","Eswab","sample"
"004FhLUSw_3","None",0,11781,11781,0,0,"S004","Forehead","Puritan_buffer","sample"
"004FhLUSw_4","None",0,28264,28264,0,0,"S004","Forehead","Omni","sample"
"004FhRUSw_1","None",0,18119,18119,0,0,"S004","Forehead","Copan","sample"
"004FhRUSw_2","None",0,18028,18028,0,0,"S004","Forehead","Puritan_gel","sample"
"004NCXUSw","None",0,15524,15524,0,0,"Control","NC","Omni","control"
"005AcCUSw","None",0,15894,15894,0,0,"S005","Antecubital","Eswab","sample"
"005AcLUSw_3","None",0,15165,15165,0,0,"S005","Antecubital","Puritan_buffer","sample"
"005AcLUSw_4","None",0,17054,17054,0,0,"S005","Antecubital","Omni","sample"
"005AcRUSw_1","None",0,17943,17943,0,0,"S005","Antecubital","Copan","sample"
"005AcRUSw_2","None",0,18217,18217,0,0,"S005","Antecubital","Puritan_gel","sample"
"005FhCUSw","None",0,24839,24839,0,0,"S005","Forehead","Eswab","sample"
"005FhLUSw_3","None",0,26598,26598,0,0,"S005","Forehead","Puritan_buffer","sample"
"005FhLUSw_4","None",0,12274,12274,0,0,"S005","Forehead","Omni","sample"
