"threshold","site_group","n_participants","n_systems","statistic","df","p_value","test","p_adjusted_BH"
"0.1","Antecubital",5,5,2.72,4,0.605719433610392,"Friedman repeated-measures omnibus test",0.938448064449895
"0.1","Forehead",5,5,4.47058823529412,4,0.346049214198671,"Friedman repeated-measures omnibus test",0.55276713022185
"0.2","Antecubital",5,5,0.8,4,0.938448064449895,"Friedman repeated-measures omnibus test",0.938448064449895
"0.2","Forehead",5,5,3.5959595959596,4,0.463438243689336,"Friedman repeated-measures omnibus test",0.55276713022185
"0.3","Antecubital",5,5,3.2,4,0.524930946786104,"Friedman repeated-measures omnibus test",0.938448064449895
"0.3","Forehead",5,5,4.4040404040404,4,0.354077919574332,"Friedman repeated-measures omnibus test",0.55276713022185
"0.4","Antecubital",5,5,2.08,4,0.721047551195912,"Friedman repeated-measures omnibus test",0.938448064449895
"0.4","Forehead",5,5,3.03030303030303,4,0.55276713022185,"Friedman repeated-measures omnibus test",0.55276713022185
"0.5","Antecubital",5,5,5.92,4,0.205202912003994,"Friedman repeated-measures omnibus test",0.938448064449895
"0.5","Forehead",5,5,3.35353535353535,4,0.500494984670193,"Friedman repeated-measures omnibus test",0.55276713022185
"0.6","Antecubital",5,5,1.12,4,0.891086139604151,"Friedman repeated-measures omnibus test",0.938448064449895
"0.6","Forehead",5,5,10.72,4,0.0298977628442296,"Friedman repeated-measures omnibus test",0.0896932885326889
"0.7","Antecubital",5,5,0.96,4,0.915799419873088,"Friedman repeated-measures omnibus test",0.938448064449895
"0.7","Forehead",5,5,10.72,4,0.0298977628442296,"Friedman repeated-measures omnibus test",0.0896932885326889
"0.8","Antecubital",5,5,3.68,4,0.451041490143655,"Friedman repeated-measures omnibus test",0.938448064449895
"0.8","Forehead",5,5,10.72,4,0.0298977628442296,"Friedman repeated-measures omnibus test",0.0896932885326889
"0.9","Antecubital",5,5,1.6,4,0.808792135410999,"Friedman repeated-measures omnibus test",0.938448064449895
"0.9","Forehead",5,5,3.2,4,0.524930946786104,"Friedman repeated-measures omnibus test",0.55276713022185
