"condition_axis","condition_id","distance","n_samples","F","p_value","permutations","permutation_scheme"
"decontam_threshold","None","weighted_unifrac",50,0.207204721162155,0.9236,9999,"restricted within participant"
"decontam_threshold","None","unweighted_unifrac",50,0.487536994369237,0.5416,9999,"restricted within participant"
"decontam_threshold","None","bray_curtis",50,0.152461160636696,0.8717,9999,"restricted within participant"
"decontam_threshold","0.1","weighted_unifrac",50,0.21560102680805,0.9242,9999,"restricted within participant"
"decontam_threshold","0.1","unweighted_unifrac",50,0.554501523336227,0.4691,9999,"restricted within participant"
"decontam_threshold","0.1","bray_curtis",50,0.159900177219101,0.8637,9999,"restricted within participant"
"decontam_threshold","0.2","weighted_unifrac",50,0.212838173497311,0.9285,9999,"restricted within participant"
"decontam_threshold","0.2","unweighted_unifrac",50,0.442172888861016,0.6035,9999,"restricted within participant"
"decontam_threshold","0.2","bray_curtis",50,0.175488465318185,0.8451,9999,"restricted within participant"
"decontam_threshold","0.3","weighted_unifrac",50,0.200602602342953,0.9025,9999,"restricted within participant"
"decontam_threshold","0.3","unweighted_unifrac",50,0.186800952463273,0.8965,9999,"restricted within participant"
"decontam_threshold","0.3","bray_curtis",50,0.188084995794309,0.8285,9999,"restricted within participant"
"decontam_threshold","0.4","weighted_unifrac",50,0.194531710748485,0.9087,9999,"restricted within participant"
"decontam_threshold","0.4","unweighted_unifrac",50,0.239409864148102,0.8517,9999,"restricted within participant"
"decontam_threshold","0.4","bray_curtis",50,0.210096991333271,0.8037,9999,"restricted within participant"
"decontam_threshold","0.5","weighted_unifrac",50,0.18526722275158,0.9151,9999,"restricted within participant"
"decontam_threshold","0.5","unweighted_unifrac",50,0.131493412141842,0.9418,9999,"restricted within participant"
"decontam_threshold","0.5","bray_curtis",50,0.212254221733721,0.7993,9999,"restricted within participant"
"decontam_threshold","0.6","weighted_unifrac",33,1.51259262464723,0.2594,9999,"restricted within participant"
"decontam_threshold","0.6","unweighted_unifrac",33,0.650876602146951,0.5852,9999,"restricted within participant"
"decontam_threshold","0.6","bray_curtis",33,0.289042929534376,0.8671,9999,"restricted within participant"
"decontam_threshold","0.7","weighted_unifrac",32,1.50516100458669,0.2478,9999,"restricted within participant"
"decontam_threshold","0.7","unweighted_unifrac",32,1.11454139338523,0.336,9999,"restricted within participant"
"decontam_threshold","0.7","bray_curtis",32,0.31566498326582,0.845,9999,"restricted within participant"
"decontam_threshold","0.8","weighted_unifrac",30,0.920456207144313,0.4337,9999,"restricted within participant"
"decontam_threshold","0.8","unweighted_unifrac",30,0.777403667332851,0.5341,9999,"restricted within participant"
"decontam_threshold","0.8","bray_curtis",30,0.399526507820805,0.7594,9999,"restricted within participant"
"decontam_threshold","0.9","weighted_unifrac",14,0.694309656844782,0.3844,9999,"restricted within participant"
"decontam_threshold","0.9","unweighted_unifrac",14,3.83264391153024,1e-04,9999,"restricted within participant"
"decontam_threshold","0.9","bray_curtis",14,0.337122421712442,0.8472,9999,"restricted within participant"
"filter_at_threshold_0.5","no_filter","weighted_unifrac",50,0.190651942877151,0.9097,9999,"restricted within participant"
"filter_at_threshold_0.5","no_filter","unweighted_unifrac",50,0.129717484871816,0.9458,9999,"restricted within participant"
"filter_at_threshold_0.5","no_filter","bray_curtis",50,0.210946127346847,0.8025,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_1","weighted_unifrac",50,0.18526722275158,0.9151,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_1","unweighted_unifrac",50,0.131493412141842,0.9418,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_1","bray_curtis",50,0.212254221733721,0.7993,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_2","weighted_unifrac",50,0.187743430164111,0.9129,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_2","unweighted_unifrac",50,0.108702356890587,0.9581,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_2","bray_curtis",50,0.210071773841825,0.803,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_10","weighted_unifrac",50,0.153626605430898,0.9459,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_10","unweighted_unifrac",50,0.264267089170763,0.807,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_10","bray_curtis",50,0.210175383915502,0.8025,9999,"restricted within participant"
"filter_at_threshold_0.5","prevalence_ge_2","weighted_unifrac",48,1.83672575612352,0.1293,9999,"restricted within participant"
"filter_at_threshold_0.5","prevalence_ge_2","unweighted_unifrac",48,0.110825594411848,0.9187,9999,"restricted within participant"
"filter_at_threshold_0.5","prevalence_ge_2","bray_curtis",48,0.218540635061041,0.8242,9999,"restricted within participant"
"filter_at_threshold_0.5","prevalence_ge_5","weighted_unifrac",48,1.61282922629995,0.0973,9999,"restricted within participant"
"filter_at_threshold_0.5","prevalence_ge_5","unweighted_unifrac",48,0.314717023436125,0.3911,9999,"restricted within participant"
"filter_at_threshold_0.5","prevalence_ge_5","bray_curtis",48,0.267736991635783,0.781,9999,"restricted within participant"
"filter_at_threshold_0.5","prevalence_ge_10pct","weighted_unifrac",48,1.61282922629995,0.0973,9999,"restricted within participant"
"filter_at_threshold_0.5","prevalence_ge_10pct","unweighted_unifrac",48,0.314717023436125,0.3911,9999,"restricted within participant"
"filter_at_threshold_0.5","prevalence_ge_10pct","bray_curtis",48,0.267736991635783,0.781,9999,"restricted within participant"
"filter_at_threshold_0.5","mean_abundance_ge_0.1pct","weighted_unifrac",48,0.14238772494403,0.9401,9999,"restricted within participant"
"filter_at_threshold_0.5","mean_abundance_ge_0.1pct","unweighted_unifrac",48,0.165730918932981,0.6172,9999,"restricted within participant"
"filter_at_threshold_0.5","mean_abundance_ge_0.1pct","bray_curtis",48,0.241529923667523,0.805,9999,"restricted within participant"
"filter_at_threshold_0.5","mean_abundance_ge_1pct","weighted_unifrac",37,0.240414546161608,0.8188,9999,"restricted within participant"
"filter_at_threshold_0.5","mean_abundance_ge_1pct","unweighted_unifrac",37,0.90983613141745,0.1491,9999,"restricted within participant"
"filter_at_threshold_0.5","mean_abundance_ge_1pct","bray_curtis",37,0.329912155746578,0.7232,9999,"restricted within participant"
