"condition_axis","condition_id","site_group","response","n_samples","n_participants","statistic","df","p_value","complete_5_by_5_design"
"decontam_threshold","None","Antecubital","Shannon",25,5,5.76,4,0.217802879796439,TRUE
"decontam_threshold","None","Antecubital","Observed",25,5,6.74747474747475,4,0.14985014825417,TRUE
"decontam_threshold","None","Forehead","Shannon",25,5,1.44,4,0.837213880251151,TRUE
"decontam_threshold","None","Forehead","Observed",25,5,2.62626262626263,4,0.622177933948167,TRUE
"decontam_threshold","0.1","Antecubital","Shannon",25,5,5.76,4,0.217802879796439,TRUE
"decontam_threshold","0.1","Antecubital","Observed",25,5,5.6,4,0.231078237975828,TRUE
"decontam_threshold","0.1","Forehead","Shannon",25,5,1.12,4,0.891086139604151,TRUE
"decontam_threshold","0.1","Forehead","Observed",25,5,2.70707070707071,4,0.607977897724075,TRUE
"decontam_threshold","0.2","Antecubital","Shannon",25,5,5.92,4,0.205202912003994,TRUE
"decontam_threshold","0.2","Antecubital","Observed",25,5,5.92,4,0.205202912003994,TRUE
"decontam_threshold","0.2","Forehead","Shannon",25,5,1.12,4,0.891086139604151,TRUE
"decontam_threshold","0.2","Forehead","Observed",25,5,2.53061224489796,4,0.639162713536324,TRUE
"decontam_threshold","0.3","Antecubital","Shannon",25,5,5.92,4,0.205202912003994,TRUE
"decontam_threshold","0.3","Antecubital","Observed",25,5,6.4,4,0.171201256709138,TRUE
"decontam_threshold","0.3","Forehead","Shannon",25,5,1.12,4,0.891086139604151,TRUE
"decontam_threshold","0.3","Forehead","Observed",25,5,2.56,4,0.633925045033283,TRUE
"decontam_threshold","0.4","Antecubital","Shannon",25,5,5.92,4,0.205202912003994,TRUE
"decontam_threshold","0.4","Antecubital","Observed",25,5,7.47474747474747,4,0.112827991505066,TRUE
"decontam_threshold","0.4","Forehead","Shannon",25,5,1.12,4,0.891086139604151,TRUE
"decontam_threshold","0.4","Forehead","Observed",25,5,2.62626262626263,4,0.622177933948167,TRUE
"decontam_threshold","0.5","Antecubital","Shannon",25,5,5.92,4,0.205202912003994,TRUE
"decontam_threshold","0.5","Antecubital","Observed",25,5,7.02040816326531,4,0.134813669720188,TRUE
"decontam_threshold","0.5","Forehead","Shannon",25,5,1.12,4,0.891086139604151,TRUE
"decontam_threshold","0.5","Forehead","Observed",25,5,2.56,4,0.633925045033283,TRUE
"decontam_threshold","0.6","Antecubital","Shannon",21,5,NA,NA,NA,FALSE
"decontam_threshold","0.6","Antecubital","Observed",21,5,NA,NA,NA,FALSE
"decontam_threshold","0.6","Forehead","Shannon",12,3,NA,NA,NA,FALSE
"decontam_threshold","0.6","Forehead","Observed",12,3,NA,NA,NA,FALSE
"decontam_threshold","0.7","Antecubital","Shannon",20,5,NA,NA,NA,FALSE
"decontam_threshold","0.7","Antecubital","Observed",20,5,NA,NA,NA,FALSE
"decontam_threshold","0.7","Forehead","Shannon",12,3,NA,NA,NA,FALSE
"decontam_threshold","0.7","Forehead","Observed",12,3,NA,NA,NA,FALSE
"decontam_threshold","0.8","Antecubital","Shannon",19,5,NA,NA,NA,FALSE
"decontam_threshold","0.8","Antecubital","Observed",19,5,NA,NA,NA,FALSE
"decontam_threshold","0.8","Forehead","Shannon",11,3,NA,NA,NA,FALSE
"decontam_threshold","0.8","Forehead","Observed",11,3,NA,NA,NA,FALSE
"decontam_threshold","0.9","Antecubital","Shannon",11,5,NA,NA,NA,FALSE
"decontam_threshold","0.9","Antecubital","Observed",11,5,NA,NA,NA,FALSE
"decontam_threshold","0.9","Forehead","Shannon",3,2,NA,NA,NA,FALSE
"decontam_threshold","0.9","Forehead","Observed",3,2,NA,NA,NA,FALSE
"filter_at_threshold_0.5","no_filter","Antecubital","Shannon",25,5,5.92,4,0.205202912003994,TRUE
"filter_at_threshold_0.5","no_filter","Antecubital","Observed",25,5,7.79591836734694,4,0.0993465974739842,TRUE
"filter_at_threshold_0.5","no_filter","Forehead","Shannon",25,5,1.12,4,0.891086139604151,TRUE
"filter_at_threshold_0.5","no_filter","Forehead","Observed",25,5,2.72,4,0.605719433610392,TRUE
"filter_at_threshold_0.5","remove_count_le_1","Antecubital","Shannon",25,5,5.92,4,0.205202912003994,TRUE
"filter_at_threshold_0.5","remove_count_le_1","Antecubital","Observed",25,5,7.02040816326531,4,0.134813669720188,TRUE
"filter_at_threshold_0.5","remove_count_le_1","Forehead","Shannon",25,5,1.12,4,0.891086139604151,TRUE
"filter_at_threshold_0.5","remove_count_le_1","Forehead","Observed",25,5,2.56,4,0.633925045033283,TRUE
"filter_at_threshold_0.5","remove_count_le_2","Antecubital","Shannon",25,5,5.92,4,0.205202912003994,TRUE
"filter_at_threshold_0.5","remove_count_le_2","Antecubital","Observed",25,5,6.26262626262626,4,0.180374898355683,TRUE
"filter_at_threshold_0.5","remove_count_le_2","Forehead","Shannon",25,5,1.12,4,0.891086139604151,TRUE
"filter_at_threshold_0.5","remove_count_le_2","Forehead","Observed",25,5,2.56,4,0.633925045033283,TRUE
"filter_at_threshold_0.5","remove_count_le_10","Antecubital","Shannon",25,5,5.92,4,0.205202912003994,TRUE
"filter_at_threshold_0.5","remove_count_le_10","Antecubital","Observed",25,5,6.66666666666667,4,0.15458730450476,TRUE
"filter_at_threshold_0.5","remove_count_le_10","Forehead","Shannon",25,5,1.12,4,0.891086139604151,TRUE
"filter_at_threshold_0.5","remove_count_le_10","Forehead","Observed",25,5,1.79591836734694,4,0.773229028805749,TRUE
"filter_at_threshold_0.5","prevalence_ge_2","Antecubital","Shannon",23,5,NA,NA,NA,FALSE
"filter_at_threshold_0.5","prevalence_ge_2","Antecubital","Observed",23,5,NA,NA,NA,FALSE
"filter_at_threshold_0.5","prevalence_ge_2","Forehead","Shannon",25,5,1.44,4,0.837213880251151,TRUE
"filter_at_threshold_0.5","prevalence_ge_2","Forehead","Observed",25,5,6.40816326530612,4,0.17066959885384,TRUE
"filter_at_threshold_0.5","prevalence_ge_5","Antecubital","Shannon",23,5,NA,NA,NA,FALSE
"filter_at_threshold_0.5","prevalence_ge_5","Antecubital","Observed",23,5,NA,NA,NA,FALSE
