"condition_axis","condition_id","mean_similarity","median_similarity","minimum_similarity"
"decontam_threshold","None",1,1,1
"decontam_threshold","0.1",0.968896789898826,0.993138267573534,0.770218755498211
"decontam_threshold","0.2",0.954318428047685,0.988147735393839,0.743240865638379
"decontam_threshold","0.3",0.946247928905493,0.986712334248519,0.729962464120115
"decontam_threshold","0.4",0.913511065399073,0.96104970559741,0.624103200883002
"decontam_threshold","0.5",0.910540765915381,0.958439713054531,0.624103200883002
"decontam_threshold","0.6",0.521933089715822,0.600387839209876,0.00860004354452426
"decontam_threshold","0.7",0.462144954263983,0.531895889450271,0.00821902895710858
"decontam_threshold","0.8",0.382243711830734,0.417922482390546,0.00778358371434795
"decontam_threshold","0.9",0.215153575673359,0.162346670196986,0.00317328918322302
"filter_at_threshold_0.5","no_filter",0.910540765915381,0.958439713054531,0.624103200883002
"filter_at_threshold_0.5","remove_count_le_1",0.910540765915381,0.958439713054531,0.624103200883002
"filter_at_threshold_0.5","remove_count_le_2",0.910388936495141,0.95829057062351,0.624103200883002
"filter_at_threshold_0.5","remove_count_le_10",0.90673293898111,0.950274918323437,0.623275386313466
"filter_at_threshold_0.5","prevalence_ge_2",0.881159013907609,0.920476927813244,0.623275386313466
"filter_at_threshold_0.5","prevalence_ge_5",0.821912356188269,0.845707015068142,0.464749496421377
"filter_at_threshold_0.5","prevalence_ge_10pct",0.821912356188269,0.845707015068142,0.464749496421377
"filter_at_threshold_0.5","mean_abundance_ge_0.1pct",0.798018470777794,0.822178757415934,0.433175071965307
"filter_at_threshold_0.5","mean_abundance_ge_1pct",0.615290132107023,0.620781560739312,0.058153859224332
