"condition_axis","condition_id","taxonomic_level","total_features","shared_all_systems_features","shared_all_systems_read_pct","system_exclusive_features","system_exclusive_read_pct"
"decontam_threshold","None","ASV",1881,138,85.561802797519,1217,3.17942182298535
"decontam_threshold","None","Genus",355,72,97.2442414361276,150,0.351285649218506
"decontam_threshold","0.1","ASV",1826,130,86.4961683166988,1198,3.22740470001924
"decontam_threshold","0.1","Genus",352,65,97.5972012830435,148,0.358563241787493
"decontam_threshold","0.2","ASV",1797,125,86.6723516160093,1196,3.24382755300402
"decontam_threshold","0.2","Genus",351,62,97.4796976908962,150,0.391852733317588
"decontam_threshold","0.3","ASV",1791,124,86.644991456361,1196,3.273972901021
"decontam_threshold","0.3","Genus",351,61,97.4780506979884,151,0.400766005141082
"decontam_threshold","0.4","ASV",1783,122,86.371164723401,1196,3.36285998481487
"decontam_threshold","0.4","Genus",351,59,97.3650847836707,153,0.41211750233957
"decontam_threshold","0.5","ASV",1780,119,86.3318907202913,1196,3.37255068624465
"decontam_threshold","0.5","Genus",351,59,97.3574917893832,153,0.413305094950382
"decontam_threshold","0.6","ASV",1548,118,78.0710060735253,1173,6.02948236299334
"decontam_threshold","0.6","Genus",331,58,96.1336880260382,159,1.11759032111728
"decontam_threshold","0.7","ASV",1325,109,86.1714024934554,1172,6.83995145485
"decontam_threshold","0.7","Genus",317,43,96.2560556062627,164,1.27380868797705
"decontam_threshold","0.8","ASV",1248,70,89.6091501148659,1172,8.34437126609422
"decontam_threshold","0.8","Genus",313,34,95.6485562995751,168,1.5671315344307
"decontam_threshold","0.9","ASV",1192,18,83.8640355298974,1172,14.474082170847
"decontam_threshold","0.9","Genus",313,23,91.9251197860565,171,2.74804866789415
"filter_at_threshold_0.5","no_filter","ASV",1855,119,86.324247564478,1271,3.38110533093942
"filter_at_threshold_0.5","no_filter","Genus",354,59,97.3550107478141,152,0.406067881801194
"filter_at_threshold_0.5","remove_count_le_1","ASV",1780,119,86.3318907202913,1196,3.37255068624465
"filter_at_threshold_0.5","remove_count_le_1","Genus",351,59,97.3574917893832,153,0.413305094950382
"filter_at_threshold_0.5","remove_count_le_2","ASV",1714,119,86.3453459622973,1130,3.35749083172165
"filter_at_threshold_0.5","remove_count_le_2","Genus",340,58,97.3463354043134,144,0.414077941582777
"filter_at_threshold_0.5","remove_count_le_10","ASV",1190,119,86.6780610436759,619,2.99742441249225
"filter_at_threshold_0.5","remove_count_le_10","Genus",252,53,97.4248865994778,98,0.495086471231766
"filter_at_threshold_0.5","prevalence_ge_2","ASV",608,119,89.2045094145373,24,0.157356220327984
"filter_at_threshold_0.5","prevalence_ge_2","Genus",137,47,98.3988699627712,5,0.0372043776744458
"filter_at_threshold_0.5","prevalence_ge_5","ASV",197,119,95.5071000669978,0,0
"filter_at_threshold_0.5","prevalence_ge_5","Genus",53,37,99.4666297504104,0,0
"filter_at_threshold_0.5","prevalence_ge_10pct","ASV",197,119,95.5071000669978,0,0
"filter_at_threshold_0.5","prevalence_ge_10pct","Genus",53,37,99.4666297504104,0,0
"filter_at_threshold_0.5","mean_abundance_ge_0.1pct","ASV",82,61,95.5338696740636,2,0.217804027686632
"filter_at_threshold_0.5","mean_abundance_ge_0.1pct","Genus",28,21,99.0107673237246,2,0.217804027686632
"filter_at_threshold_0.5","mean_abundance_ge_1pct","ASV",10,10,100,0,0
"filter_at_threshold_0.5","mean_abundance_ge_1pct","Genus",7,7,100,0,0
