"condition_axis","condition_id","taxonomic_level","subject_id","site_group","systems_present","union_features","shared_all_five_features","intersection_over_union","shared_all_five_read_pct"
"decontam_threshold","None","ASV","S001","Antecubital",5,254,33,0.12992125984252,89.861540697071
"decontam_threshold","None","ASV","S001","Forehead",5,70,8,0.114285714285714,98.0428267675668
"decontam_threshold","None","ASV","S002","Antecubital",5,367,17,0.0463215258855586,79.283762087434
"decontam_threshold","None","ASV","S002","Forehead",5,58,3,0.0517241379310345,97.9289756825673
"decontam_threshold","None","ASV","S003","Antecubital",5,326,5,0.0153374233128834,42.935770879335
"decontam_threshold","None","ASV","S003","Forehead",5,65,3,0.0461538461538462,94.108779190068
"decontam_threshold","None","ASV","S004","Antecubital",5,712,40,0.0561797752808989,51.3220142977292
"decontam_threshold","None","ASV","S004","Forehead",5,500,27,0.054,73.0798641911112
"decontam_threshold","None","ASV","S005","Antecubital",5,169,8,0.0473372781065089,68.2702805335359
"decontam_threshold","None","ASV","S005","Forehead",5,331,9,0.027190332326284,56.4844085764768
"decontam_threshold","None","Genus","S001","Antecubital",5,91,14,0.153846153846154,97.9853860046084
"decontam_threshold","None","Genus","S001","Forehead",5,25,6,0.24,99.7404945671282
"decontam_threshold","None","Genus","S002","Antecubital",5,112,14,0.125,94.5938989864327
"decontam_threshold","None","Genus","S002","Forehead",5,20,5,0.25,99.7087298132139
"decontam_threshold","None","Genus","S003","Antecubital",5,105,7,0.0666666666666667,76.3768021821016
"decontam_threshold","None","Genus","S003","Forehead",5,30,3,0.1,97.5879396984925
"decontam_threshold","None","Genus","S004","Antecubital",5,198,38,0.191919191919192,81.5277193720213
"decontam_threshold","None","Genus","S004","Forehead",5,174,23,0.132183908045977,86.4904821623385
"decontam_threshold","None","Genus","S005","Antecubital",5,53,4,0.0754716981132075,91.3039350643186
"decontam_threshold","None","Genus","S005","Forehead",5,112,12,0.107142857142857,86.7188768444678
"decontam_threshold","0.1","ASV","S001","Antecubital",5,245,33,0.13469387755102,89.9885666770606
"decontam_threshold","0.1","ASV","S001","Forehead",5,69,8,0.115942028985507,98.0551392714517
"decontam_threshold","0.1","ASV","S002","Antecubital",5,349,17,0.0487106017191977,79.9243875016988
"decontam_threshold","0.1","ASV","S002","Forehead",5,57,3,0.0526315789473684,97.9320210218615
"decontam_threshold","0.1","ASV","S003","Antecubital",5,310,5,0.0161290322580645,43.5559581651981
"decontam_threshold","0.1","ASV","S003","Forehead",5,62,3,0.0483870967741935,94.2243662784675
"decontam_threshold","0.1","ASV","S004","Antecubital",5,682,40,0.0586510263929619,55.937398544774
"decontam_threshold","0.1","ASV","S004","Forehead",5,475,26,0.0547368421052632,78.6386716373331
"decontam_threshold","0.1","ASV","S005","Antecubital",5,140,8,0.0571428571428571,74.1891804758527
"decontam_threshold","0.1","ASV","S005","Forehead",5,306,7,0.0228758169934641,57.0333962697675
"decontam_threshold","0.1","Genus","S001","Antecubital",5,87,14,0.160919540229885,98.0927138551086
"decontam_threshold","0.1","Genus","S001","Forehead",5,24,6,0.25,99.7530202690823
"decontam_threshold","0.1","Genus","S002","Antecubital",5,108,13,0.12037037037037,94.8084359826536
"decontam_threshold","0.1","Genus","S002","Forehead",5,20,5,0.25,99.7118304982845
"decontam_threshold","0.1","Genus","S003","Antecubital",5,102,7,0.0686274509803922,77.48002964671
"decontam_threshold","0.1","Genus","S003","Forehead",5,28,3,0.107142857142857,97.7077999911212
"decontam_threshold","0.1","Genus","S004","Antecubital",5,194,37,0.190721649484536,83.5379943853484
"decontam_threshold","0.1","Genus","S004","Forehead",5,169,21,0.124260355029586,90.4067612863259
"decontam_threshold","0.1","Genus","S005","Antecubital",5,47,4,0.0851063829787234,95.1911793152363
"decontam_threshold","0.1","Genus","S005","Forehead",5,106,8,0.0754716981132075,87.6205032916754
"decontam_threshold","0.2","ASV","S001","Antecubital",5,238,31,0.130252100840336,89.9978898501794
"decontam_threshold","0.2","ASV","S001","Forehead",5,66,8,0.121212121212121,98.078952216658
"decontam_threshold","0.2","ASV","S002","Antecubital",5,340,16,0.0470588235294118,80.0943267088938
"decontam_threshold","0.2","ASV","S002","Forehead",5,55,3,0.0545454545454545,97.976707768571
"decontam_threshold","0.2","ASV","S003","Antecubital",5,301,5,0.0166112956810631,44.9829049652146
"decontam_threshold","0.2","ASV","S003","Forehead",5,59,3,0.0508474576271186,94.372397029835
"decontam_threshold","0.2","ASV","S004","Antecubital",5,665,39,0.0586466165413534,55.4054450938354
"decontam_threshold","0.2","ASV","S004","Forehead",5,458,25,0.0545851528384279,79.3476156308015
"decontam_threshold","0.2","ASV","S005","Antecubital",5,133,7,0.0526315789473684,74.1216225031638
"decontam_threshold","0.2","ASV","S005","Forehead",5,293,6,0.0204778156996587,56.6662880860686
"decontam_threshold","0.2","Genus","S001","Antecubital",5,83,11,0.132530120481928,98.0681578392066
"decontam_threshold","0.2","Genus","S001","Forehead",5,21,6,0.285714285714286,99.7772455490981
"decontam_threshold","0.2","Genus","S002","Antecubital",5,106,11,0.10377358490566,94.8779850421235
