"condition_axis","condition_id","distance","n_samples","procrustes_correlation","protest_p_value","permutations","permutation_scheme"
"decontam_threshold","None","weighted_unifrac",50,1,NA,9999,"not applicable: self-comparison"
"decontam_threshold","None","unweighted_unifrac",50,1,NA,9999,"not applicable: self-comparison"
"decontam_threshold","None","bray_curtis",50,1,NA,9999,"not applicable: self-comparison"
"decontam_threshold","0.1","weighted_unifrac",50,0.999232518287012,1e-04,9999,"restricted within participant"
"decontam_threshold","0.1","unweighted_unifrac",50,0.985990610208483,1e-04,9999,"restricted within participant"
"decontam_threshold","0.1","bray_curtis",50,0.995186331363249,1e-04,9999,"restricted within participant"
"decontam_threshold","0.2","weighted_unifrac",50,0.99827694903235,1e-04,9999,"restricted within participant"
"decontam_threshold","0.2","unweighted_unifrac",50,0.98658866438884,1e-04,9999,"restricted within participant"
"decontam_threshold","0.2","bray_curtis",50,0.991461770686698,1e-04,9999,"restricted within participant"
"decontam_threshold","0.3","weighted_unifrac",50,0.971578532691227,1e-04,9999,"restricted within participant"
"decontam_threshold","0.3","unweighted_unifrac",50,0.91698249353258,1e-04,9999,"restricted within participant"
"decontam_threshold","0.3","bray_curtis",50,0.991855804796758,1e-04,9999,"restricted within participant"
"decontam_threshold","0.4","weighted_unifrac",50,0.972109792661367,1e-04,9999,"restricted within participant"
"decontam_threshold","0.4","unweighted_unifrac",50,0.927129357162967,1e-04,9999,"restricted within participant"
"decontam_threshold","0.4","bray_curtis",50,0.98288701199712,1e-04,9999,"restricted within participant"
"decontam_threshold","0.5","weighted_unifrac",50,0.972158562055733,1e-04,9999,"restricted within participant"
"decontam_threshold","0.5","unweighted_unifrac",50,0.924891489542955,1e-04,9999,"restricted within participant"
"decontam_threshold","0.5","bray_curtis",50,0.981935968134391,1e-04,9999,"restricted within participant"
"decontam_threshold","0.6","weighted_unifrac",33,0.52114823961238,0.0041,9999,"restricted within participant"
"decontam_threshold","0.6","unweighted_unifrac",33,0.893022416925312,1e-04,9999,"restricted within participant"
"decontam_threshold","0.6","bray_curtis",33,0.888113864687299,0.0026,9999,"restricted within participant"
"decontam_threshold","0.7","weighted_unifrac",32,0.60453385987661,0.0057,9999,"restricted within participant"
"decontam_threshold","0.7","unweighted_unifrac",32,0.840963712768562,1e-04,9999,"restricted within participant"
"decontam_threshold","0.7","bray_curtis",32,0.881958215532725,0.0061,9999,"restricted within participant"
"decontam_threshold","0.8","weighted_unifrac",30,0.784979192669034,0.0175,9999,"restricted within participant"
"decontam_threshold","0.8","unweighted_unifrac",30,0.802468369496943,1e-04,9999,"restricted within participant"
"decontam_threshold","0.8","bray_curtis",30,0.858787776664958,0.0239,9999,"restricted within participant"
"decontam_threshold","0.9","weighted_unifrac",14,0.641254858460417,0.1696,9999,"restricted within participant"
"decontam_threshold","0.9","unweighted_unifrac",14,0.543142557722718,0.0754,9999,"restricted within participant"
"decontam_threshold","0.9","bray_curtis",14,0.923049518447103,0.0018,9999,"restricted within participant"
"filter_at_threshold_0.5","no_filter","weighted_unifrac",50,1,NA,9999,"not applicable: self-comparison"
"filter_at_threshold_0.5","no_filter","unweighted_unifrac",50,1,NA,9999,"not applicable: self-comparison"
"filter_at_threshold_0.5","no_filter","bray_curtis",50,1,NA,9999,"not applicable: self-comparison"
"filter_at_threshold_0.5","remove_count_le_1","weighted_unifrac",50,0.999919143460522,1e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_1","unweighted_unifrac",50,0.998545874952899,1e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_1","bray_curtis",50,0.999987092305107,1e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_2","weighted_unifrac",50,0.999861518278057,1e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_2","unweighted_unifrac",50,0.995900112515948,1e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_2","bray_curtis",50,0.999993640183444,1e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_10","weighted_unifrac",50,0.997828886844515,1e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_10","unweighted_unifrac",50,0.928161898373554,1e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_10","bray_curtis",50,0.999936650411255,1e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","prevalence_ge_2","weighted_unifrac",48,0.774004238490137,1e-04,9999,"restricted within participant"
