"ASV","Phylum","Genus","Species","true_sample_reads","control_reads","total_reads","true_sample_prevalence","control_prevalence"
"6475007d4c6299318792536d385f164c","Proteobacteria","Sphingomonas","Sphingomonas_g",11406,21271,32677,18,4
"708bcbad2b130c9860e0af56df57dcae","Proteobacteria","uncultured","uncultured_g",21865,34,21899,8,1
"842729d0c73a0e276c22067d98067374","Proteobacteria","Sphingomonas","Sphingomonas_g",7447,9403,16850,40,5
"416480b43f1ae4a764980f50b7535604","Actinobacteriota","Kocuria","Kocuria_g",7267,258,7525,14,2
"88345f78cecaaa6880139b3ce07b02ab","Proteobacteria","Acidovorax","Acidovorax_g",2585,4733,7318,29,5
"1ebf82770d39e7dea4cdd6525d634ae2","Proteobacteria","Brevundimonas","Brevundimonas_g",2017,5295,7312,11,4
"4cf4516cf4c31fdeb7320abe6d620f5f","Proteobacteria","Pseudomonas","Pseudomonas_g",1917,3937,5854,14,4
"c0f3e9ab9c5425114f971dee2fbcda67","Proteobacteria","Acinetobacter","Acinetobacter_g",1849,3771,5620,15,4
"f0ca4c55069212f52e5475a7252bd203","Proteobacteria","Aquabacterium","Aquabacterium_g",1587,2692,4279,15,4
"597c178a32c8e105554890ac672203a1","Firmicutes","Lactococcus","Lactococcus_g",2154,759,2913,7,5
"f7c74ae8ba237267fafee0b17dd9e25b","Proteobacteria","Brevundimonas","Brevundimonas_g",875,1730,2605,11,4
"daaaef75203e565e99ae0771a9444f21","Proteobacteria","Acetobacter","Acetobacter_g",565,951,1516,13,5
"e81d19fdebac3afb7580eb6b34bc313b","Proteobacteria","Roseomonas","Roseomonas_g",1088,269,1357,16,3
"d30795b2d4d7ef1a4e833cda2dc45fb7","Actinobacteriota","Rothia","Rothia_g",1280,76,1356,19,2
"8a8681bd58fa527cb40dc43c44a5f7cc","Actinobacteriota","Dermacoccus","Dermacoccus_g",1074,223,1297,15,3
"eafd5ed5949335dcc9571e96a30c242a","Proteobacteria","Pseudomonas","Pseudomonas_g",459,793,1252,7,4
"db5feda280235363e4c8712675e1bfac","Proteobacteria","Sphingomonas","Sphingomonas_g",110,1094,1204,3,4
"b94a8e609e84f35c93506768aac4ec3f","Proteobacteria","Acetobacter","Acetobacter_g",423,668,1091,14,5
"dc48fa77e362e32c1c0cd76272dddec9","Proteobacteria","Sphingomonas","Sphingomonas_g",264,728,992,4,3
"89f92a98c085f073bc78411e3801a85d","Proteobacteria","Enhydrobacter","Enhydrobacter_g",781,122,903,8,2
"515173287266f7569f063b717a04424b","Proteobacteria","Phreatobacter","Phreatobacter_g",373,506,879,10,3
