"Genus","removed_asvs","true_sample_reads","control_reads","total_reads"
"Sphingomonas",13,19791,33942,53733
"uncultured",1,21865,34,21899
"Brevundimonas",3,3092,7122,10214
"Kocuria",2,7393,305,7698
"Acidovorax",1,2585,4733,7318
"Pseudomonas",4,2432,4793,7225
"Acinetobacter",5,2066,4434,6500
"Aquabacterium",1,1587,2692,4279
"Lactococcus",2,2719,961,3680
"Acetobacter",5,1117,2434,3551
"Thermus",12,784,856,1640
"Enhydrobacter",3,1061,451,1512
"Sphingomonadaceae_f",5,483,967,1450
"Roseomonas",1,1088,269,1357
"Rothia",1,1280,76,1356
"Dermacoccus",1,1074,223,1297
"Methylobacterium-Methylorubrum",4,771,386,1157
"Massilia",4,409,704,1113
"Streptococcus",3,897,118,1015
"Phreatobacter",1,373,506,879
"Saccharimonadaceae",1,325,439,764
"TM7x",1,716,37,753
"Corynebacterium",3,547,149,696
"Atopostipes",3,237,442,679
"Asticcacaulis",2,507,148,655
"Novosphingobium",3,371,258,629
"Pelomonas",2,306,176,482
"Staphylococcus",3,228,220,448
"Cutibacterium",1,239,80,319
"Delftia",2,145,167,312
"Rhodovarius",1,156,101,257
"Chryseobacterium",1,146,34,180
"Sphingobium",1,40,112,152
"Methyloversatilis",1,115,34,149
"Devosia",1,81,66,147
"Cloacibacterium",1,25,116,141
"Finegoldia",1,58,53,111
"Gluconobacter",1,21,88,109
"Neisseria",1,44,17,61
"Dechloromonas",1,12,37,49
"Muribaculaceae",1,11,34,45
"Candidatus_Obscuribacter",1,15,28,43
"Variovorax",1,23,17,40
"Alicycliphilus",1,10,7,17
