"condition_id","filter","retained_asvs","retained_reads","reads_retained_vs_v05_pct","samples_below_5876","samples_available_at_5876","minimum_depth","distance","n_samples","R2_subject_id","R2_site_group","R2_swab_type2","p_value_subject_id","p_value_site_group","p_value_swab_type2","system_permdisp_p","condition_axis","mean_similarity","median_similarity","minimum_similarity","shared_genus_read_pct","exclusive_genus_read_pct"
"no_filter","No additional filter",1855,847149,100,0,50,5876,"weighted_unifrac",50,0.436994214788455,0.269363676340134,0.0247660099494769,1e-04,1e-04,0.7958,0.9097,"filter_at_threshold_0.5",0.910540765915381,0.958439713054531,0.624103200883002,97.3550107478141,0.406067881801194
"no_filter","No additional filter",1855,847149,100,0,50,5876,"unweighted_unifrac",50,0.201513144368971,0.0518790177865916,0.062312305089616,1e-04,1e-04,0.8515,0.9458,"filter_at_threshold_0.5",0.910540765915381,0.958439713054531,0.624103200883002,97.3550107478141,0.406067881801194
"no_filter","No additional filter",1855,847149,100,0,50,5876,"bray_curtis",50,0.408356624521634,0.115416204971212,0.0300236929309142,1e-04,1e-04,0.9945,0.8025,"filter_at_threshold_0.5",0.910540765915381,0.958439713054531,0.624103200883002,97.3550107478141,0.406067881801194
"remove_count_le_1","Singleton removal",1780,847074,99.9911467758328,0,50,5876,"weighted_unifrac",50,0.434286087368643,0.274243002941913,0.0244430263905838,1e-04,1e-04,0.8027,0.9151,"filter_at_threshold_0.5",0.910540765915381,0.958439713054531,0.624103200883002,97.3574917893832,0.413305094950382
"remove_count_le_1","Singleton removal",1780,847074,99.9911467758328,0,50,5876,"unweighted_unifrac",50,0.198549834773371,0.0529889687927368,0.0615285205087232,1e-04,1e-04,0.8826,0.9418,"filter_at_threshold_0.5",0.910540765915381,0.958439713054531,0.624103200883002,97.3574917893832,0.413305094950382
"remove_count_le_1","Singleton removal",1780,847074,99.9911467758328,0,50,5876,"bray_curtis",50,0.407967571507355,0.115511870688487,0.0299643018081227,1e-04,1e-04,0.9947,0.7993,"filter_at_threshold_0.5",0.910540765915381,0.958439713054531,0.624103200883002,97.3574917893832,0.413305094950382
"remove_count_le_2","Remove total count <=2",1714,846942,99.9755651012986,0,50,5876,"weighted_unifrac",50,0.43726161058456,0.273126045389205,0.0247402858088281,1e-04,1e-04,0.7932,0.9129,"filter_at_threshold_0.5",0.910388936495141,0.95829057062351,0.624103200883002,97.3463354043134,0.414077941582777
"remove_count_le_2","Remove total count <=2",1714,846942,99.9755651012986,0,50,5876,"unweighted_unifrac",50,0.208293463872898,0.0528184087259982,0.0625866185783149,1e-04,2e-04,0.8082,0.9581,"filter_at_threshold_0.5",0.910388936495141,0.95829057062351,0.624103200883002,97.3463354043134,0.414077941582777
"remove_count_le_2","Remove total count <=2",1714,846942,99.9755651012986,0,50,5876,"bray_curtis",50,0.408205941217227,0.115132983786338,0.0299096057494111,1e-04,1e-04,0.9947,0.803,"filter_at_threshold_0.5",0.910388936495141,0.95829057062351,0.624103200883002,97.3463354043134,0.414077941582777
"remove_count_le_10","Remove total count <=10",1190,843691,99.5918073443987,0,50,5876,"weighted_unifrac",50,0.450611212024801,0.266876495426932,0.0256630941030382,1e-04,1e-04,0.7813,0.9459,"filter_at_threshold_0.5",0.90673293898111,0.950274918323437,0.623275386313466,97.4248865994778,0.495086471231766
"remove_count_le_10","Remove total count <=10",1190,843691,99.5918073443987,0,50,5876,"unweighted_unifrac",50,0.236145292045451,0.0583091255392501,0.0664516257250991,1e-04,3e-04,0.5001,0.807,"filter_at_threshold_0.5",0.90673293898111,0.950274918323437,0.623275386313466,97.4248865994778,0.495086471231766
"remove_count_le_10","Remove total count <=10",1190,843691,99.5918073443987,0,50,5876,"bray_curtis",50,0.409078067328355,0.115956453019596,0.0296173983454271,1e-04,1e-04,0.9948,0.8025,"filter_at_threshold_0.5",0.90673293898111,0.950274918323437,0.623275386313466,97.4248865994778,0.495086471231766
"prevalence_ge_2","Prevalence >=2 samples",608,819796,96.771170124736,2,48,5278,"weighted_unifrac",48,0.448578919167646,0.175046046172232,0.0202969314846851,1e-04,1e-04,0.9693,0.1293,"filter_at_threshold_0.5",0.881159013907609,0.920476927813244,0.623275386313466,98.3988699627712,0.0372043776744458
"prevalence_ge_2","Prevalence >=2 samples",608,819796,96.771170124736,2,48,5278,"unweighted_unifrac",48,0.347944297491059,0.0650675883719704,0.0499492552568752,1e-04,2e-04,0.8833,0.9187,"filter_at_threshold_0.5",0.881159013907609,0.920476927813244,0.623275386313466,98.3988699627712,0.0372043776744458
"prevalence_ge_2","Prevalence >=2 samples",608,819796,96.771170124736,2,48,5278,"bray_curtis",48,0.435400852080106,0.117232758964881,0.030227656084764,1e-04,1e-04,0.9935,0.8242,"filter_at_threshold_0.5",0.881159013907609,0.920476927813244,0.623275386313466,98.3988699627712,0.0372043776744458
"prevalence_ge_5","Prevalence >=5 samples",197,765697,90.3851624684678,2,48,4543,"weighted_unifrac",48,0.483771252947948,0.15312253618716,0.0189761360738171,1e-04,1e-04,0.9748,0.0973,"filter_at_threshold_0.5",0.821912356188269,0.845707015068142,0.464749496421377,99.4666297504104,0
