"condition_id","comparison","spearman_rho"
"no_filter","0.1_vs_0.5",0.997682923087669
"no_filter","0.5_vs_1.0",0.999102792830019
"no_filter","0.1_vs_1.0",0.994099146999746
"remove_count_le_1","0.1_vs_0.5",0.997714935892791
"remove_count_le_1","0.5_vs_1.0",0.999101461139105
"remove_count_le_1","0.1_vs_1.0",0.994147675383367
"remove_count_le_2","0.1_vs_0.5",0.997816647050337
"remove_count_le_2","0.5_vs_1.0",0.999123172923329
"remove_count_le_2","0.1_vs_1.0",0.994354315951503
"remove_count_le_10","0.1_vs_0.5",0.998471943426636
"remove_count_le_10","0.5_vs_1.0",0.999339416027422
"remove_count_le_10","0.1_vs_1.0",0.99596761379919
"prevalence_ge_2","0.1_vs_0.5",0.997889093647247
"prevalence_ge_2","0.5_vs_1.0",0.999131626549478
"prevalence_ge_2","0.1_vs_1.0",0.994500906398448
"prevalence_ge_5","0.1_vs_0.5",0.99704794805361
"prevalence_ge_5","0.5_vs_1.0",0.998841259179039
"prevalence_ge_5","0.1_vs_1.0",0.992396234186986
"prevalence_ge_10pct","0.1_vs_0.5",0.99704794805361
"prevalence_ge_10pct","0.5_vs_1.0",0.998841259179039
"prevalence_ge_10pct","0.1_vs_1.0",0.992396234186986
"mean_abundance_ge_0.1pct","0.1_vs_0.5",0.997734970007579
"mean_abundance_ge_0.1pct","0.5_vs_1.0",0.99922122193086
"mean_abundance_ge_0.1pct","0.1_vs_1.0",0.994478711549873
"mean_abundance_ge_1pct","0.1_vs_0.5",0.994260588411547
"mean_abundance_ge_1pct","0.5_vs_1.0",0.998380637736334
"mean_abundance_ge_1pct","0.1_vs_1.0",0.986901364134561
