"Type 1","Type 2","Type 3","Type 4","Type 5","taxon_id"
TRUE,TRUE,TRUE,TRUE,TRUE,"727bdda2bfd37e7ea0e3968480ee22f5"
TRUE,TRUE,TRUE,TRUE,TRUE,"2c38d9d5742202da694d4721608fd637"
TRUE,TRUE,FALSE,TRUE,TRUE,"dc4c06e76c80792a6dd6a5170e96a392"
TRUE,FALSE,FALSE,FALSE,FALSE,"89581abd011cf5b8acfed6eb39fcd3c0"
TRUE,TRUE,TRUE,TRUE,TRUE,"ecea07feade7f50cd5cf53cbcd63e01b"
TRUE,TRUE,TRUE,TRUE,FALSE,"03c8c55c4c3523259a6114fa2abffdf1"
TRUE,TRUE,TRUE,TRUE,FALSE,"6acb1c8e9ec1dcbddbeda2ffca7e53ee"
TRUE,FALSE,TRUE,FALSE,FALSE,"b2339ee5c9518a0b95176da819e0ccc5"
TRUE,TRUE,TRUE,TRUE,TRUE,"28791a195fb16e432f328fc38c217a16"
TRUE,TRUE,TRUE,TRUE,TRUE,"924d8c9600d3f00916cb328acba898ae"
TRUE,TRUE,TRUE,FALSE,TRUE,"d5e64b740ccdbdae6e43ebcae8d49c96"
TRUE,TRUE,TRUE,TRUE,FALSE,"1e002095b1f95aa73df22cf53653519e"
TRUE,FALSE,TRUE,FALSE,TRUE,"483181f68a1997d8d691fc99eb4d8919"
TRUE,TRUE,TRUE,FALSE,TRUE,"de3433571b870a3b3f49bfe307718094"
FALSE,FALSE,FALSE,FALSE,TRUE,"539869c80f1953ffa410a09326827371"
TRUE,TRUE,TRUE,TRUE,TRUE,"6f95ee027789af1674fcb8cb890b2f82"
FALSE,FALSE,TRUE,FALSE,FALSE,"c25c933a077c8f1489487077ae49d897"
TRUE,TRUE,TRUE,TRUE,TRUE,"19045d0398e54e66ed333ad6780ae0d4"
TRUE,TRUE,FALSE,FALSE,FALSE,"2c87af46c878a9884a0e448e106cfe42"
FALSE,FALSE,FALSE,TRUE,TRUE,"abfbcd31ee01d082d222b8afc5ecd572"
TRUE,TRUE,TRUE,TRUE,TRUE,"2bec1063c452ea81ad6d1f8ea021d50d"
TRUE,TRUE,TRUE,TRUE,TRUE,"ad4f149d32f95e9db8da112d6c29f733"
TRUE,TRUE,TRUE,TRUE,TRUE,"13b8688bc0b096a8da1566d3bb25a9db"
TRUE,TRUE,TRUE,TRUE,FALSE,"c3ea8ca703aa33759573fbc67dc229f8"
TRUE,TRUE,TRUE,TRUE,TRUE,"a8b79a790337f0d616816e741fdc6d37"
TRUE,TRUE,TRUE,TRUE,FALSE,"fe9c7230262391bb846c03edffb877cd"
TRUE,TRUE,TRUE,TRUE,TRUE,"cae8c4906ce36b7ac19de135348de57c"
TRUE,TRUE,TRUE,TRUE,FALSE,"1438d354d52b05f1f2f66342597ee677"
TRUE,TRUE,TRUE,TRUE,TRUE,"0de497e4baa9d071845afc073d10fba6"
TRUE,TRUE,TRUE,TRUE,TRUE,"a1d949f27725f089c27c233027c5f692"
TRUE,TRUE,TRUE,TRUE,TRUE,"daca34875367c76ab8b8452940d60fdf"
TRUE,TRUE,TRUE,TRUE,TRUE,"12785285f560428e7712a229516afc72"
TRUE,TRUE,TRUE,TRUE,TRUE,"ff504d3b0053fb086a310fe1189dae61"
TRUE,TRUE,TRUE,TRUE,TRUE,"6aece20d72ee0fc101d61af1126af807"
TRUE,TRUE,TRUE,TRUE,TRUE,"0df52bde0ac287bb20a6c5a9a66201f2"
FALSE,FALSE,FALSE,TRUE,FALSE,"d70a7746d155cfcc8137c6c386e721a6"
TRUE,TRUE,TRUE,TRUE,TRUE,"04ae6d4e93605dc0fd87868b6069bbbf"
TRUE,TRUE,TRUE,TRUE,TRUE,"8b0d7ca68dcb5662e2963b9f16ec340d"
TRUE,TRUE,TRUE,FALSE,FALSE,"e47d8fa5ccd1e79e64fe8ac9277ea5ab"
TRUE,TRUE,TRUE,TRUE,TRUE,"e352ef2edd5a7c02ebf93ed1a2794986"
TRUE,TRUE,TRUE,TRUE,FALSE,"1d0abfc6a6f0d994f033d719aba9e4f1"
TRUE,TRUE,TRUE,TRUE,FALSE,"c5566cb427ac54fd84480feba84af386"
TRUE,TRUE,TRUE,TRUE,FALSE,"991cabc442cb37e6d7ce3255246e60f2"
TRUE,TRUE,TRUE,TRUE,FALSE,"448b41b837b5c6028af79fde8c2c8ee3"
