"Type 1","Type 2","Type 3","Type 4","Type 5","taxon_id"
TRUE,TRUE,TRUE,FALSE,TRUE,"ada74c108a4de9611526f0c0c7ad4fc9"
TRUE,TRUE,TRUE,TRUE,TRUE,"2c38d9d5742202da694d4721608fd637"
TRUE,TRUE,TRUE,TRUE,TRUE,"01cef7193e22002921dd48ed9ba9882b"
TRUE,TRUE,TRUE,TRUE,TRUE,"72558b780028629aa73abc3c75849338"
TRUE,TRUE,TRUE,TRUE,TRUE,"dc4c06e76c80792a6dd6a5170e96a392"
TRUE,TRUE,TRUE,TRUE,TRUE,"28791a195fb16e432f328fc38c217a16"
TRUE,TRUE,TRUE,TRUE,TRUE,"85c44a334114a5e2ca8dbe7d74e191d7"
TRUE,TRUE,TRUE,TRUE,TRUE,"303f5cdac869c2dc02db6ebe1323e12a"
TRUE,TRUE,TRUE,TRUE,TRUE,"5dac0955f00d983d7557e718591f0f42"
TRUE,TRUE,TRUE,TRUE,TRUE,"515ecf421a951bc274a7daaa791dc894"
FALSE,FALSE,TRUE,TRUE,FALSE,"c25c933a077c8f1489487077ae49d897"
TRUE,TRUE,TRUE,TRUE,TRUE,"19045d0398e54e66ed333ad6780ae0d4"
TRUE,TRUE,FALSE,TRUE,FALSE,"2c87af46c878a9884a0e448e106cfe42"
TRUE,TRUE,TRUE,TRUE,TRUE,"443fb2d16fc7d839c24c5a7a7826dec6"
TRUE,TRUE,TRUE,TRUE,TRUE,"2bec1063c452ea81ad6d1f8ea021d50d"
TRUE,TRUE,TRUE,TRUE,TRUE,"13b8688bc0b096a8da1566d3bb25a9db"
TRUE,TRUE,TRUE,TRUE,TRUE,"0de497e4baa9d071845afc073d10fba6"
TRUE,TRUE,TRUE,TRUE,TRUE,"a1d949f27725f089c27c233027c5f692"
TRUE,TRUE,TRUE,TRUE,TRUE,"33a077fde7c403e6b08c5b967e3df0a1"
TRUE,TRUE,TRUE,TRUE,TRUE,"daca34875367c76ab8b8452940d60fdf"
TRUE,TRUE,TRUE,TRUE,TRUE,"0df52bde0ac287bb20a6c5a9a66201f2"
TRUE,TRUE,TRUE,TRUE,TRUE,"04ae6d4e93605dc0fd87868b6069bbbf"
TRUE,TRUE,TRUE,TRUE,TRUE,"b5abf1472c7313362f3234de5c1a8efa"
