"Type 1","Type 2","Type 3","Type 4","Type 5","taxon_id"
TRUE,TRUE,TRUE,TRUE,TRUE,"ada74c108a4de9611526f0c0c7ad4fc9"
TRUE,TRUE,TRUE,TRUE,TRUE,"856925f916eba95f669698c572f88d93"
TRUE,TRUE,TRUE,TRUE,TRUE,"2c38d9d5742202da694d4721608fd637"
TRUE,TRUE,TRUE,TRUE,TRUE,"01cef7193e22002921dd48ed9ba9882b"
TRUE,TRUE,TRUE,TRUE,TRUE,"72558b780028629aa73abc3c75849338"
TRUE,TRUE,TRUE,TRUE,TRUE,"f3c298b72522fa8756d13ae50332f012"
TRUE,TRUE,TRUE,TRUE,TRUE,"e7a499f9a323eb7371e4433ae24c2ba5"
TRUE,TRUE,TRUE,TRUE,TRUE,"dc4c06e76c80792a6dd6a5170e96a392"
TRUE,TRUE,TRUE,TRUE,TRUE,"28791a195fb16e432f328fc38c217a16"
FALSE,FALSE,TRUE,TRUE,TRUE,"47197ee817bb57421f861e8b877e0588"
TRUE,TRUE,TRUE,TRUE,TRUE,"85c44a334114a5e2ca8dbe7d74e191d7"
TRUE,TRUE,TRUE,TRUE,TRUE,"303f5cdac869c2dc02db6ebe1323e12a"
TRUE,TRUE,TRUE,TRUE,TRUE,"b0ce3a4407f76fe40d761ea266b304ff"
TRUE,TRUE,TRUE,TRUE,TRUE,"d8a7df9e8bf0ac6efceee3f0424a5090"
TRUE,TRUE,TRUE,TRUE,TRUE,"5dac0955f00d983d7557e718591f0f42"
TRUE,TRUE,TRUE,TRUE,TRUE,"65c9fb2233a8c0d21e99ba69d13d1e6d"
TRUE,TRUE,TRUE,TRUE,TRUE,"515ecf421a951bc274a7daaa791dc894"
TRUE,TRUE,TRUE,TRUE,TRUE,"6e52e1651130d2a07800abe723ea721e"
TRUE,FALSE,TRUE,TRUE,TRUE,"c25c933a077c8f1489487077ae49d897"
TRUE,TRUE,FALSE,TRUE,FALSE,"aa57923408765fc46bc15cbeaa7491a6"
TRUE,TRUE,TRUE,TRUE,TRUE,"97402210ae7735706d9a9a42b71b8fda"
TRUE,TRUE,TRUE,TRUE,TRUE,"1b5f84de8f1ac02d81de16f9b8ae2d0e"
TRUE,TRUE,TRUE,TRUE,TRUE,"19045d0398e54e66ed333ad6780ae0d4"
TRUE,TRUE,TRUE,TRUE,TRUE,"5325c97ed1a497a5a586815b59aed735"
TRUE,TRUE,TRUE,TRUE,TRUE,"4748e8a42d43b5abde091a50264f9a92"
TRUE,TRUE,TRUE,TRUE,TRUE,"81e7661c8ebb6e0fc435211e9aa6a47c"
TRUE,TRUE,TRUE,TRUE,TRUE,"443fb2d16fc7d839c24c5a7a7826dec6"
TRUE,TRUE,TRUE,TRUE,TRUE,"873b0b68e099323e1d2ca5d17606a11d"
TRUE,TRUE,TRUE,TRUE,TRUE,"c123804c63e25b6390ad734e64c31e6c"
TRUE,TRUE,TRUE,TRUE,TRUE,"f889bb2bb25f73012084bb11ae950a17"
TRUE,TRUE,TRUE,TRUE,TRUE,"2bec1063c452ea81ad6d1f8ea021d50d"
TRUE,TRUE,TRUE,TRUE,TRUE,"f88845e22ed4975c40c05e8f527554b3"
TRUE,TRUE,TRUE,TRUE,TRUE,"73664aa4932bcfe5379274e489d0bf1c"
TRUE,TRUE,TRUE,TRUE,TRUE,"8c78f224069832cd7fd7e9efcf616ab9"
TRUE,TRUE,TRUE,TRUE,TRUE,"13b8688bc0b096a8da1566d3bb25a9db"
TRUE,TRUE,TRUE,TRUE,TRUE,"0de497e4baa9d071845afc073d10fba6"
TRUE,TRUE,TRUE,TRUE,TRUE,"a1d949f27725f089c27c233027c5f692"
TRUE,TRUE,TRUE,TRUE,TRUE,"a8ebe6695f3741b63f135708fa4c894d"
TRUE,TRUE,FALSE,TRUE,FALSE,"78f43f7e335424a99400a11453add8ab"
TRUE,TRUE,TRUE,TRUE,TRUE,"33a077fde7c403e6b08c5b967e3df0a1"
TRUE,TRUE,TRUE,TRUE,TRUE,"daca34875367c76ab8b8452940d60fdf"
TRUE,TRUE,TRUE,TRUE,TRUE,"0df52bde0ac287bb20a6c5a9a66201f2"
TRUE,TRUE,TRUE,TRUE,TRUE,"04ae6d4e93605dc0fd87868b6069bbbf"
TRUE,TRUE,TRUE,TRUE,TRUE,"b5abf1472c7313362f3234de5c1a8efa"
