"site_group","Index",".y.","group1","group2","p","p.adj","p.format","p.signif","method","p.format.signif"
"Antecubital","Shannon index","Value","S001","S002",0.420634920634921,0.47,"0.4206","ns","Wilcoxon","p = 0.4206 ns"
"Antecubital","Shannon index","Value","S001","S003",0.420634920634921,0.47,"0.4206","ns","Wilcoxon","p = 0.4206 ns"
"Antecubital","Shannon index","Value","S002","S003",0.0555555555555556,0.11,"0.0556","ns","Wilcoxon","p = 0.0556 ns"
"Antecubital","Shannon index","Value","S001","S004",0.00793650793650794,0.026,"0.0079","**","Wilcoxon","p = 0.0079 **"
"Antecubital","Shannon index","Value","S002","S004",0.00793650793650794,0.026,"0.0079","**","Wilcoxon","p = 0.0079 **"
"Antecubital","Shannon index","Value","S003","S004",0.0317460317460317,0.079,"0.0317","*","Wilcoxon","p = 0.0317 *"
"Antecubital","Shannon index","Value","S001","S005",0.420634920634921,0.47,"0.4206","ns","Wilcoxon","p = 0.4206 ns"
"Antecubital","Shannon index","Value","S002","S005",0.841269841269841,0.84,"0.8413","ns","Wilcoxon","p = 0.8413 ns"
"Antecubital","Shannon index","Value","S003","S005",0.0952380952380952,0.16,"0.0952","ns","Wilcoxon","p = 0.0952 ns"
"Antecubital","Shannon index","Value","S004","S005",0.00793650793650794,0.026,"0.0079","**","Wilcoxon","p = 0.0079 **"
"Antecubital","Observed ASVs","Value","S001","S002",0.833534342865583,0.92,"0.8335","ns","Wilcoxon","p = 0.8335 ns"
"Antecubital","Observed ASVs","Value","S001","S003",0.675173614927125,0.84,"0.6752","ns","Wilcoxon","p = 0.6752 ns"
"Antecubital","Observed ASVs","Value","S002","S003",0.916308031083386,0.92,"0.9163","ns","Wilcoxon","p = 0.9163 ns"
"Antecubital","Observed ASVs","Value","S001","S004",0.0119252335930176,0.03,"0.0119","*","Wilcoxon","p = 0.0119 *"
"Antecubital","Observed ASVs","Value","S002","S004",0.0119252335930176,0.03,"0.0119","*","Wilcoxon","p = 0.0119 *"
"Antecubital","Observed ASVs","Value","S003","S004",0.0158730158730159,0.032,"0.0159","*","Wilcoxon","p = 0.0159 *"
"Antecubital","Observed ASVs","Value","S001","S005",0.0119252335930176,0.03,"0.0119","*","Wilcoxon","p = 0.0119 *"
"Antecubital","Observed ASVs","Value","S002","S005",0.0211766578543166,0.035,"0.0212","*","Wilcoxon","p = 0.0212 *"
"Antecubital","Observed ASVs","Value","S003","S005",0.547619047619048,0.78,"0.5476","ns","Wilcoxon","p = 0.5476 ns"
"Antecubital","Observed ASVs","Value","S004","S005",0.00793650793650794,0.03,"0.0079","**","Wilcoxon","p = 0.0079 **"
"Forehead","Shannon index","Value","S001","S002",0.150793650793651,0.19,"0.1508","ns","Wilcoxon","p = 0.1508 ns"
"Forehead","Shannon index","Value","S001","S003",0.69047619047619,0.69,"0.6905","ns","Wilcoxon","p = 0.6905 ns"
"Forehead","Shannon index","Value","S002","S003",0.222222222222222,0.25,"0.2222","ns","Wilcoxon","p = 0.2222 ns"
"Forehead","Shannon index","Value","S001","S004",0.00793650793650794,0.02,"0.0079","**","Wilcoxon","p = 0.0079 **"
"Forehead","Shannon index","Value","S002","S004",0.00793650793650794,0.02,"0.0079","**","Wilcoxon","p = 0.0079 **"
"Forehead","Shannon index","Value","S003","S004",0.0158730158730159,0.026,"0.0159","*","Wilcoxon","p = 0.0159 *"
"Forehead","Shannon index","Value","S001","S005",0.00793650793650794,0.02,"0.0079","**","Wilcoxon","p = 0.0079 **"
"Forehead","Shannon index","Value","S002","S005",0.00793650793650794,0.02,"0.0079","**","Wilcoxon","p = 0.0079 **"
"Forehead","Shannon index","Value","S003","S005",0.0158730158730159,0.026,"0.0159","*","Wilcoxon","p = 0.0159 *"
"Forehead","Shannon index","Value","S004","S005",0.0952380952380952,0.14,"0.0952","ns","Wilcoxon","p = 0.0952 ns"
"Forehead","Observed ASVs","Value","S001","S002",0.0952380952380952,0.12,"0.0952","ns","Wilcoxon","p = 0.0952 ns"
"Forehead","Observed ASVs","Value","S001","S003",0.1732171126447,0.19,"0.1732","ns","Wilcoxon","p = 0.1732 ns"
"Forehead","Observed ASVs","Value","S002","S003",1,1,"1","ns","Wilcoxon","p = 1 ns"
"Forehead","Observed ASVs","Value","S001","S004",0.00793650793650794,0.02,"0.0079","**","Wilcoxon","p = 0.0079 **"
"Forehead","Observed ASVs","Value","S002","S004",0.00793650793650794,0.02,"0.0079","**","Wilcoxon","p = 0.0079 **"
"Forehead","Observed ASVs","Value","S003","S004",0.00793650793650794,0.02,"0.0079","**","Wilcoxon","p = 0.0079 **"
"Forehead","Observed ASVs","Value","S001","S005",0.0278029624346493,0.046,"0.0278","*","Wilcoxon","p = 0.0278 *"
"Forehead","Observed ASVs","Value","S002","S005",0.00793650793650794,0.02,"0.0079","**","Wilcoxon","p = 0.0079 **"
"Forehead","Observed ASVs","Value","S003","S005",0.0159706963537801,0.032,"0.0160","*","Wilcoxon","p = 0.0160 *"
"Forehead","Observed ASVs","Value","S004","S005",0.0555555555555556,0.079,"0.0556","ns","Wilcoxon","p = 0.0556 ns"
