"site_group","Index",".y.","group1","group2","p","p.adj","p.format","p.signif","method","p.format.signif"
"Antecubital","Shannon index","Value","S001","S002",0.420634920634921,0.47,"0.4206","ns","Wilcoxon","p = 0.4206 ns"
"Antecubital","Shannon index","Value","S001","S003",0.420634920634921,0.47,"0.4206","ns","Wilcoxon","p = 0.4206 ns"
"Antecubital","Shannon index","Value","S002","S003",0.0555555555555556,0.11,"0.0556","ns","Wilcoxon","p = 0.0556 ns"
"Antecubital","Shannon index","Value","S001","S004",0.00793650793650794,0.026,"0.0079","**","Wilcoxon","p = 0.0079 **"
"Antecubital","Shannon index","Value","S002","S004",0.00793650793650794,0.026,"0.0079","**","Wilcoxon","p = 0.0079 **"
"Antecubital","Shannon index","Value","S003","S004",0.0317460317460317,0.079,"0.0317","*","Wilcoxon","p = 0.0317 *"
"Antecubital","Shannon index","Value","S001","S005",0.420634920634921,0.47,"0.4206","ns","Wilcoxon","p = 0.4206 ns"
"Antecubital","Shannon index","Value","S002","S005",0.841269841269841,0.84,"0.8413","ns","Wilcoxon","p = 0.8413 ns"
"Antecubital","Shannon index","Value","S003","S005",0.0952380952380952,0.16,"0.0952","ns","Wilcoxon","p = 0.0952 ns"
"Antecubital","Shannon index","Value","S004","S005",0.00793650793650794,0.026,"0.0079","**","Wilcoxon","p = 0.0079 **"
"Antecubital","Observed ASVs","Value","S001","S002",0.834035229790992,0.84,"0.8340","ns","Wilcoxon","p = 0.8340 ns"
"Antecubital","Observed ASVs","Value","S001","S003",0.675173614927125,0.84,"0.6752","ns","Wilcoxon","p = 0.6752 ns"
"Antecubital","Observed ASVs","Value","S002","S003",0.841269841269841,0.84,"0.8413","ns","Wilcoxon","p = 0.8413 ns"
"Antecubital","Observed ASVs","Value","S001","S004",0.0116673123433194,0.03,"0.0117","*","Wilcoxon","p = 0.0117 *"
"Antecubital","Observed ASVs","Value","S002","S004",0.0119252335930176,0.03,"0.0119","*","Wilcoxon","p = 0.0119 *"
"Antecubital","Observed ASVs","Value","S003","S004",0.0211766578543166,0.035,"0.0212","*","Wilcoxon","p = 0.0212 *"
"Antecubital","Observed ASVs","Value","S001","S005",0.0119252335930176,0.03,"0.0119","*","Wilcoxon","p = 0.0119 *"
"Antecubital","Observed ASVs","Value","S002","S005",0.0158730158730159,0.032,"0.0159","*","Wilcoxon","p = 0.0159 *"
"Antecubital","Observed ASVs","Value","S003","S005",0.600401848096969,0.84,"0.6004","ns","Wilcoxon","p = 0.6004 ns"
"Antecubital","Observed ASVs","Value","S004","S005",0.0119252335930176,0.03,"0.0119","*","Wilcoxon","p = 0.0119 *"
"Forehead","Shannon index","Value","S001","S002",0.150793650793651,0.19,"0.1508","ns","Wilcoxon","p = 0.1508 ns"
"Forehead","Shannon index","Value","S001","S003",0.69047619047619,0.69,"0.6905","ns","Wilcoxon","p = 0.6905 ns"
"Forehead","Shannon index","Value","S002","S003",0.222222222222222,0.25,"0.2222","ns","Wilcoxon","p = 0.2222 ns"
"Forehead","Shannon index","Value","S001","S004",0.00793650793650794,0.02,"0.0079","**","Wilcoxon","p = 0.0079 **"
"Forehead","Shannon index","Value","S002","S004",0.00793650793650794,0.02,"0.0079","**","Wilcoxon","p = 0.0079 **"
"Forehead","Shannon index","Value","S003","S004",0.0158730158730159,0.026,"0.0159","*","Wilcoxon","p = 0.0159 *"
"Forehead","Shannon index","Value","S001","S005",0.00793650793650794,0.02,"0.0079","**","Wilcoxon","p = 0.0079 **"
"Forehead","Shannon index","Value","S002","S005",0.00793650793650794,0.02,"0.0079","**","Wilcoxon","p = 0.0079 **"
"Forehead","Shannon index","Value","S003","S005",0.0158730158730159,0.026,"0.0159","*","Wilcoxon","p = 0.0159 *"
"Forehead","Shannon index","Value","S004","S005",0.0952380952380952,0.14,"0.0952","ns","Wilcoxon","p = 0.0952 ns"
"Forehead","Observed ASVs","Value","S001","S002",0.249152638581927,0.31,"0.2492","ns","Wilcoxon","p = 0.2492 ns"
"Forehead","Observed ASVs","Value","S001","S003",0.463343882565217,0.51,"0.4633","ns","Wilcoxon","p = 0.4633 ns"
"Forehead","Observed ASVs","Value","S002","S003",1,1,"1","ns","Wilcoxon","p = 1 ns"
"Forehead","Observed ASVs","Value","S001","S004",0.00793650793650794,0.016,"0.0079","**","Wilcoxon","p = 0.0079 **"
"Forehead","Observed ASVs","Value","S002","S004",0.00793650793650794,0.016,"0.0079","**","Wilcoxon","p = 0.0079 **"
"Forehead","Observed ASVs","Value","S003","S004",0.00793650793650794,0.016,"0.0079","**","Wilcoxon","p = 0.0079 **"
"Forehead","Observed ASVs","Value","S001","S005",0.0158730158730159,0.026,"0.0159","*","Wilcoxon","p = 0.0159 *"
"Forehead","Observed ASVs","Value","S002","S005",0.00793650793650794,0.016,"0.0079","**","Wilcoxon","p = 0.0079 **"
"Forehead","Observed ASVs","Value","S003","S005",0.00793650793650794,0.016,"0.0079","**","Wilcoxon","p = 0.0079 **"
"Forehead","Observed ASVs","Value","S004","S005",0.0555555555555556,0.079,"0.0556","ns","Wilcoxon","p = 0.0556 ns"
