"site_group","Type","Species","Abundance"
"Antecubital","Type 1","Corynebacterium_haemomassiliense",693
"Antecubital","Type 1","Corynebacterium_tuberculostearicum",7345
"Antecubital","Type 1","Cutibacterium_acnes",34149
"Antecubital","Type 1","Cutibacterium_modestum",156
"Antecubital","Type 1","Gordonia_hongkongensis",484
"Antecubital","Type 1","Other",28904
"Antecubital","Type 1","Rothia_mucilaginosa",446
"Antecubital","Type 1","Staphylococcus_epidermidis",4736
"Antecubital","Type 1","Staphylococcus_hominis",15969
"Antecubital","Type 1","Streptococcus_salivarius",819
"Antecubital","Type 1","Williamsia_muralis",2923
"Antecubital","Type 2","Corynebacterium_haemomassiliense",757
"Antecubital","Type 2","Corynebacterium_tuberculostearicum",10888
"Antecubital","Type 2","Cutibacterium_acnes",15340
"Antecubital","Type 2","Cutibacterium_modestum",0
"Antecubital","Type 2","Gordonia_hongkongensis",151
"Antecubital","Type 2","Other",34447
"Antecubital","Type 2","Rothia_mucilaginosa",223
"Antecubital","Type 2","Staphylococcus_epidermidis",2927
"Antecubital","Type 2","Staphylococcus_hominis",12334
"Antecubital","Type 2","Streptococcus_salivarius",877
"Antecubital","Type 2","Williamsia_muralis",1155
"Antecubital","Type 3","Corynebacterium_haemomassiliense",1393
"Antecubital","Type 3","Corynebacterium_tuberculostearicum",9995
"Antecubital","Type 3","Cutibacterium_acnes",19043
"Antecubital","Type 3","Cutibacterium_modestum",33
"Antecubital","Type 3","Gordonia_hongkongensis",334
"Antecubital","Type 3","Other",38090
"Antecubital","Type 3","Rothia_mucilaginosa",483
"Antecubital","Type 3","Staphylococcus_epidermidis",5033
"Antecubital","Type 3","Staphylococcus_hominis",4464
"Antecubital","Type 3","Streptococcus_salivarius",1386
"Antecubital","Type 3","Williamsia_muralis",806
"Antecubital","Type 4","Corynebacterium_haemomassiliense",1923
"Antecubital","Type 4","Corynebacterium_tuberculostearicum",5813
"Antecubital","Type 4","Cutibacterium_acnes",12624
"Antecubital","Type 4","Cutibacterium_modestum",52
"Antecubital","Type 4","Gordonia_hongkongensis",553
"Antecubital","Type 4","Other",39351
"Antecubital","Type 4","Rothia_mucilaginosa",740
"Antecubital","Type 4","Staphylococcus_epidermidis",7521
"Antecubital","Type 4","Staphylococcus_hominis",1867
"Antecubital","Type 4","Streptococcus_salivarius",2575
"Antecubital","Type 4","Williamsia_muralis",3536
"Antecubital","Type 5","Corynebacterium_haemomassiliense",1407
"Antecubital","Type 5","Corynebacterium_tuberculostearicum",8494
"Antecubital","Type 5","Cutibacterium_acnes",12032
"Antecubital","Type 5","Cutibacterium_modestum",97
"Antecubital","Type 5","Gordonia_hongkongensis",602
"Antecubital","Type 5","Other",29033
"Antecubital","Type 5","Rothia_mucilaginosa",3173
"Antecubital","Type 5","Staphylococcus_epidermidis",5499
"Antecubital","Type 5","Staphylococcus_hominis",8159
"Antecubital","Type 5","Streptococcus_salivarius",267
"Antecubital","Type 5","Williamsia_muralis",1933
"Forehead","Type 1","Corynebacterium_haemomassiliense",1180
"Forehead","Type 1","Corynebacterium_tuberculostearicum",1125
"Forehead","Type 1","Cutibacterium_acnes",61531
"Forehead","Type 1","Cutibacterium_modestum",31
"Forehead","Type 1","Gordonia_hongkongensis",1649
"Forehead","Type 1","Other",16792
"Forehead","Type 1","Rothia_mucilaginosa",40
"Forehead","Type 1","Staphylococcus_epidermidis",1597
"Forehead","Type 1","Staphylococcus_hominis",635
"Forehead","Type 1","Streptococcus_salivarius",8
"Forehead","Type 1","Williamsia_muralis",1626
"Forehead","Type 2","Corynebacterium_haemomassiliense",1690
"Forehead","Type 2","Corynebacterium_tuberculostearicum",2222
"Forehead","Type 2","Cutibacterium_acnes",59602
"Forehead","Type 2","Cutibacterium_modestum",39
"Forehead","Type 2","Gordonia_hongkongensis",1037
"Forehead","Type 2","Other",21375
"Forehead","Type 2","Rothia_mucilaginosa",85
"Forehead","Type 2","Staphylococcus_epidermidis",2934
"Forehead","Type 2","Staphylococcus_hominis",271
"Forehead","Type 2","Streptococcus_salivarius",10
"Forehead","Type 2","Williamsia_muralis",2599
"Forehead","Type 3","Corynebacterium_haemomassiliense",2651
"Forehead","Type 3","Corynebacterium_tuberculostearicum",1701
"Forehead","Type 3","Cutibacterium_acnes",54469
"Forehead","Type 3","Cutibacterium_modestum",52
"Forehead","Type 3","Gordonia_hongkongensis",1126
"Forehead","Type 3","Other",23364
"Forehead","Type 3","Rothia_mucilaginosa",63
"Forehead","Type 3","Staphylococcus_epidermidis",7226
"Forehead","Type 3","Staphylococcus_hominis",415
"Forehead","Type 3","Streptococcus_salivarius",4
"Forehead","Type 3","Williamsia_muralis",2261
"Forehead","Type 4","Corynebacterium_haemomassiliense",255
"Forehead","Type 4","Corynebacterium_tuberculostearicum",1448
"Forehead","Type 4","Cutibacterium_acnes",42836
"Forehead","Type 4","Cutibacterium_modestum",6800
"Forehead","Type 4","Gordonia_hongkongensis",2616
"Forehead","Type 4","Other",21260
"Forehead","Type 4","Rothia_mucilaginosa",68
"Forehead","Type 4","Staphylococcus_epidermidis",2148
"Forehead","Type 4","Staphylococcus_hominis",65
"Forehead","Type 4","Streptococcus_salivarius",15
"Forehead","Type 4","Williamsia_muralis",5719
"Forehead","Type 5","Corynebacterium_haemomassiliense",14
"Forehead","Type 5","Corynebacterium_tuberculostearicum",1436
"Forehead","Type 5","Cutibacterium_acnes",65241
"Forehead","Type 5","Cutibacterium_modestum",1551
"Forehead","Type 5","Gordonia_hongkongensis",120
"Forehead","Type 5","Other",15205
"Forehead","Type 5","Rothia_mucilaginosa",2124
"Forehead","Type 5","Staphylococcus_epidermidis",858
"Forehead","Type 5","Staphylococcus_hominis",210
"Forehead","Type 5","Streptococcus_salivarius",1265
