"Rank","Taxa","Type1","Type2","Type3","Type4","Type5","Average"
"Phylum","Actinobacteriota",73.94,71.49,69.23,77.66,79.56,74.37
"Phylum","Proteobacteria",19.82,21.5,21.43,16.53,15.24,18.91
"Phylum","Firmicutes",5.14,5.76,8.79,4.97,4.96,5.92
"Phylum","Others",1.1,1.25,0.56,0.84,0.24,0.8
"Genus","Cutibacterium",59.18,51.92,49.9,61.15,69.4,58.31
"Genus","Neisseriaceae_f",17.7,19.85,19.42,15.79,12.15,16.98
"Genus","Staphylococcus",3.35,4.54,8.14,4.51,2.4,4.59
"Genus","Gordonia",4.99,3.96,5.16,4.7,0.4,3.84
"Genus","Corynebacterium",2.95,5.42,3.95,2.02,2.07,3.28
"Genus","Williamsia",2.49,3.64,4.37,4.47,0.71,3.14
"Genus","Corynebacteriaceae_f",1.18,1.96,1.67,1.17,1.73,1.54
"Genus","Dietzia",0.85,1.06,1.66,1.27,0.49,1.06
"Genus","Streptococcus",1.33,0.54,0.26,0.25,2.24,0.92
"Genus","Rothia",0.08,0.1,0.14,0.06,2.04,0.48
"Genus","Others",5.89,7.01,5.33,4.62,6.38,5.84
"Species","Cutibacterium_g",59.18,51.92,49.9,61.15,69.4,58.31
"Species","Neisseriaceae_f",17.7,19.85,19.42,15.79,12.15,16.98
"Species","Staphylococcus_g",3.35,4.54,8.14,4.51,2.4,4.59
"Species","Gordonia_g",4.99,3.96,5.16,4.7,0.4,3.84
"Species","Corynebacterium_g",2.95,5.42,3.95,2.02,2.07,3.28
"Species","Williamsia_g",2.49,3.64,4.37,4.47,0.71,3.14
"Species","Corynebacteriaceae_f",1.18,1.96,1.67,1.17,1.73,1.54
"Species","Dietzia_g",0.85,1.06,1.66,1.27,0.49,1.06
"Species","Streptococcus_g",1.33,0.54,0.26,0.25,2.24,0.92
"Species","Rothia_g",0.08,0.1,0.14,0.06,2.04,0.48
"Species","Others",5.89,7.01,5.33,4.62,6.38,5.84
