"Rank","Taxa","Type 1 vs Type 2","Type 1 vs Type 3","Type 1 vs Type 4","Type 1 vs Type 5","Type 2 vs Type 3","Type 2 vs Type 4","Type 2 vs Type 5","Type 3 vs Type 4","Type 3 vs Type 5","Type 4 vs Type 5"
"Phylum","Actinobacteriota",0.408,0.937,0.906,0.937,0.413,0.405,1,1,0.904,1
"Phylum","Firmicutes",0.347,0.753,1,0.802,0.737,0.497,1,1,0.904,1
"Phylum","Proteobacteria",0.646,0.566,0.596,0.802,1,0.405,0.453,1,0.904,1
"Genus","Cutibacterium",0.646,0.405,0.642,0.848,1,1,1,1,1,1
"Genus","Streptococcus",0.408,0.405,0.596,0.848,0.413,0.405,1,1,0.904,1
"Genus","Staphylococcus",0.34,0.408,0.642,0.802,1,1,1,1,0.904,1
"Genus","Neisseriaceae_f",0.533,0.533,0.642,0.802,N/A,1,1,1,1,1
"Genus","Rothia",1,0.405,0.596,0.802,0.737,0.463,0.453,1,1,1
"Genus","Williamsia",0.646,0.937,0.79,0.937,1,0.895,0.661,1,0.771,1
"Genus","Gordonia",0.533,0.533,0.596,0.802,1,0.463,0.661,1,0.771,1
"Genus","Dietzia",0.533,1,1,1,1,1,1,1,0.771,1
"Genus","Corynebacteriaceae_f",0.347,0.408,0.906,0.802,1,0.405,1,1,0.904,0.679
"Genus","Corynebacterium",0.34,0.533,0.642,0.937,0.737,0.497,0.717,1,1,1
"Species","Cutibacterium_g",0.646,0.405,0.642,0.848,1,1,1,1,1,1
"Species","Streptococcus_g",0.408,0.405,0.596,0.848,0.413,0.405,1,1,0.904,1
"Species","Staphylococcus_g",0.34,0.408,0.642,0.802,1,1,1,1,0.904,1
"Species","Neisseriaceae_f",0.533,0.533,0.642,0.802,N/A,1,1,1,1,1
"Species","Rothia_g",1,0.405,0.596,0.802,0.737,0.463,0.453,1,1,1
"Species","Williamsia_g",0.646,0.937,0.79,0.937,1,0.895,0.661,1,0.771,1
"Species","Gordonia_g",0.533,0.533,0.596,0.802,1,0.463,0.661,1,0.771,1
"Species","Dietzia_g",0.533,1,1,1,1,1,1,1,0.771,1
"Species","Corynebacteriaceae_f",0.347,0.408,0.906,0.802,1,0.405,1,1,0.904,0.679
"Species","Corynebacterium_g",0.34,0.533,0.642,0.937,0.737,0.497,0.717,1,1,1
