"Rank","Taxa","Type 1 vs Type 2","Type 1 vs Type 3","Type 1 vs Type 4","Type 1 vs Type 5","Type 2 vs Type 3","Type 2 vs Type 4","Type 2 vs Type 5","Type 3 vs Type 4","Type 3 vs Type 5","Type 4 vs Type 5"
"Phylum","Actinobacteriota",0.717,1,0.854,1,1,0.607,0.922,1,0.34,1
"Phylum","Firmicutes",1,1,1,1,1,1,1,1,0.34,1
"Phylum","Proteobacteria",1,1,0.854,1,1,0.607,1,0.596,1,1
"Genus","Cutibacterium",0.679,0.972,1,1,1,0.802,0.922,0.596,0.522,1
"Genus","Streptococcus",0.895,0.972,0.854,1,1,1,1,1,1,1
"Genus","Staphylococcus",0.74,0.972,0.969,1,1,1,0.922,1,0.34,1
"Genus","Neisseriaceae_f",0.696,0.972,0.854,1,1,0.696,0.922,0.596,0.522,1
"Genus","Rothia",1,1,0.969,1,1,1,1,1,1,1
"Genus","Williamsia",1,1,0.854,1,1,0.802,1,0.948,1,1
"Genus","Gordonia",0.74,1,0.854,1,1,1,1,1,1,1
"Genus","Dietzia",1,1,1,1,1,1,0.948,1,1,1
"Genus","Corynebacteriaceae_f",0.696,1,1,1,1,0.607,1,0.596,1,1
"Genus","Corynebacterium",0.717,0.972,1,1,0.679,0.802,1,1,1,1
"Species","Cutibacterium_g",0.679,0.972,1,1,1,0.802,0.922,0.596,0.522,1
"Species","Streptococcus_g",0.895,0.972,0.854,1,1,1,1,1,1,1
"Species","Staphylococcus_g",0.74,0.972,0.969,1,1,1,0.922,1,0.34,1
"Species","Neisseriaceae_f",0.696,0.972,0.854,1,1,0.696,0.922,0.596,0.522,1
"Species","Rothia_g",1,1,0.969,1,1,1,1,1,1,1
"Species","Williamsia_g",1,1,0.854,1,1,0.802,1,0.948,1,1
"Species","Gordonia_g",0.74,1,0.854,1,1,1,1,1,1,1
"Species","Dietzia_g",1,1,1,1,1,1,0.948,1,1,1
"Species","Corynebacteriaceae_f",0.696,1,1,1,1,0.607,1,0.596,1,1
"Species","Corynebacterium_g",0.717,0.972,1,1,0.679,0.802,1,1,1,1
